Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki
POMORSKIE;LUBAWSKI;980;21 780;3 960;4 500;9 300
POMORSKIE;PUCKI;790;6 510;970;3 900;3 800
POMORSKIE;STAROGARDZKI;1 790;15 140;2 240;3 900;8 500
POMORSKIE;SĘPOLEŃSKI;250;14 800;2 140;4 700;4 700
POMORSKIE;TCZEWSKI;2 000;4 630;1 680;2 800;2 500
POMORSKIE;TORUŃ (MIASTO);;;;;
POMORSKIE;TORUŃSKI;2 850;13 590;4 330;2 800;6 500
POMORSKIE;TUCHOLSKI;600;12 600;1 980;2 600;5 700
POMORSKIE;WEJHEROWSKI;100;10 700;650;3 800;6 700
POMORSKIE;WĄBRZESKI;2 520;14 650;3 300;3 300;6 800
POMORSKIE;ŚWIECKI;2 110;28 420;4 240;4 800;13 800
POZNAŃSKIE;BYDGOSKI;2 620;21 900;3 880;4 900;9 200
POZNAŃSKIE;BYDGOSZCZ (MIASTO);;;;;
POZNAŃSKIE;CHODZIESKI;510;19 460;2 370;3 100;8 300
POZNAŃSKIE;CZARNKOWSKI;290;11 190;1 220;2100;9 000
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI;1 180;16 200;3 780;4 000;13 000
POZNAŃSKIE;GOSTYŃSKI;4 140;12 200;3 690;6 000;10 500
POZNAŃSKIE;GRODZISKI;1 080;12 700;2 270;2 100;11 200
POZNAŃSKIE;INOWROCŁAW (MIASTO);;;;;
POZNAŃSKIE;INOWROCŁAWSKI;5760;19 020;7 280;3 200;7 200
POZNAŃSKIE;JAROCIŃSKI;2 250;18 280;2 950;4 900;7 600
POZNAŃSKIE;KOŚCIAŃSKI;1 840;14 780;4 060;3 200;7 500
POZNAŃSKIE;KOŹMIŃSKI;3 800;8 600;2 310;6 300;4 300
POZNAŃSKIE;KROTOSZYŃSKI;3 200;8 800;1 890;4 900;4 500
POZNAŃSKIE;KĘPIŃSKI;1 240;15 870;1 490;7 900;7 600
POZNAŃSKIE;LESZCZYŃSKI;1 780;19 060;2 360;5 100;7 500
POZNAŃSKIE;MIĘDZYCHODZKI;500;13 200;1 070;2 200;6 100
POZNAŃSKIE;MOGILEŃSKI;1 830;22 120;4 180;3 900;7 900
POZNAŃSKIE;NOWOTOMYSKI;1 120;20 200;1 380;3 200;9 100
POZNAŃSKIE;OBORNICKI;1 580;24 880;3 880;5 600;10 000
POZNAŃSKIE;ODOLANOWSKI;1 120;13 670;1 100;4 800;5 300
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI);1 100;8 570;990;2 700;4 300
POZNAŃSKIE;OSTRZESZOWSKI;460;10 580;710;3 100;4 900
POZNAŃSKIE;PLESZEWSKI;2 580;12 100;1 840;5 400;5 800
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;
POZNAŃSKIE;POZNAŃSKI;2 340;33 920;7 300;6 100;16 900
POZNAŃSKIE;RAWICKI;2 450;11 000;2 120;4 000;4 800
POZNAŃSKIE;STRZELNEŃSKI;3 620;9 100;6 060;2 100;4 900
POZNAŃSKIE;SZAMOTULSKI;2950;21 690;5090;5 200;11 100
POZNAŃSKIE;SZUBIŃSKI;1 800;20 140;3 910;3 700;8 800
POZNAŃSKIE;WITKOWSKI;1 510;15 300;3 010;2 800;6 500
POZNAŃSKIE;WOLSZTYŃSKI;870;18 630;1 900;3 100;7 700
POZNAŃSKIE;WRZESIŃSKI;1 640;17 000;3 520;3 100;7 100
POZNAŃSKIE;WYRZYSKI;2 680;24 140;6 020;5 400;11 500
POZNAŃSKIE;WĄGROWIECKI;2 050;30 950;5 610;4 900;11 500
POZNAŃSKIE;ŚMIGIELSKI;1 440;14 700;2 590;3 500;6 900
POZNAŃSKIE;ŚREDZKI;2 770;24 090;5 640;4 600;9 400
POZNAŃSKIE;ŚREMSKI;1 920;22 630;4 470;5 100;8 600
POZNAŃSKIE;ŻNIŃSKI;2 470;18 790;4 230;4 000;6 900
STANISŁAWOWSKIE;BOHORODCZAŃSKI;990;3 780;1 500;5 100;4 700
STANISŁAWOWSKIE;DOLIŃSKI;1 480;5 600;1 100;4 200;5 400
STANISŁAWOWSKIE;HORODEŃSKI;13 690;9 000;7 700;7 200;11 800
STANISŁAWOWSKIE;KAŁUSKI;3 360;4 400;5 410;7 000;7 900
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI);620;550;500;1 100;2 500
STANISŁAWOWSKIE;KOŁOMYJSKI;4 400;5 400;3 800;7 600;5 500
STANISŁAWOWSKIE;NADWÓRNIAŃSKI;380;1 370;500;3 000;3 000
STANISŁAWOWSKIE;PECZENIŻYŃSKI;100;600;400;1 100;2 300
STANISŁAWOWSKIE;ROHATYŃSKI;10 740;8 300;7 000;9 900;11 500
STANISŁAWOWSKIE;SKOLSKI;500;1 490;1 300;8 500;4 200
STANISŁAWOWSKIE;STANISŁAWOWSKI;5 050;3 100;4 330;7 900;7 700
STANISŁAWOWSKIE;STRYJSKI;1 730;2 840;1 400;7 100;4 600
STANISŁAWOWSKIE;TURCZAŃSKI;1 150;1 300;1 100;20 200;2 300
STANISŁAWOWSKIE;TŁUMACKI;4 440;3 460;4 500;10 200;9 200
STANISŁAWOWSKIE;ŚNIATYŃSKI;5 600;3 400;5560;5 400;6 700
STANISŁAWOWSKIE;ŻYDACZOWSKI;4 170;5 560;2 400;7 200;5 500
TARNOPOLSKIE;BORSZCZOWSKI;11 740;12 400;11 560;8 400;6 700
TARNOPOLSKIE;BRODZKI;8 460;5 720;4 800;8 700;6 300
TARNOPOLSKIE;BRZEŻAŃSKI;10 420;8 600;8 700;11 500;9 700
TARNOPOLSKIE;BUCZACKI;16 420;13 700;11 500;15 700;10 300
TARNOPOLSKIE;CZORTKOWSKI;9 000;9 700;5 500;4 700;6 500
TARNOPOLSKIE;KAMIONECKI;6 390;5 920;4 300;5 800;3 800
TARNOPOLSKIE;KOPYCZYNIECKI;8 040;7 500;8 400;6 000;9 300
TARNOPOLSKIE;PODHAJECKI;4 750;6 200;7 600;9 500;8 000
TARNOPOLSKIE;PRZEMYŚLAŃSKI;7 910;6 140;4 700;8 300;5 000
TARNOPOLSKIE;RADZIECHOWSKI;6 310;9 100;3 800;4 200;5 700
TARNOPOLSKIE;SKAŁACKI;9 330;7 800;9 100;8 800;9 200
TARNOPOLSKIE;TARNOPOLSKI;7 160;11 300;11 200;15 100;10 600
TARNOPOLSKIE;TREMBOWELSKI;4 580;5 700;8 180;7 500;7 000
TARNOPOLSKIE;ZALESZCZYCKI;8 740;9200;8 500;6 300;8 000
TARNOPOLSKIE;ZBARASKI;7 770;6 600;6 400;10 100;9 100
TARNOPOLSKIE;ZBOROWSKI;5 200;10 500;7 000;10 500;7 700
TARNOPOLSKIE;ZŁOCZOWSKI;5 570;4 800;6 500;9 300;8 000
WARSZAWSKIE;BŁOŃSKI;5 190;21 370;4 500;7 900;9 000
WARSZAWSKIE;CIECHANOWSKI;5350;18 700;5 800;11 400;8 700
WARSZAWSKIE;GOSTYNIŃSKI;5 450;22 660;2 500;7 600;7 200
WARSZAWSKIE;GRÓJECKI;6 300;31 060;4 300;23 800;18 400
WARSZAWSKIE;KUTNOWSKI;9 100;15 700;7 900;9 700;7 600
WARSZAWSKIE;LIPNOWSKI;7 600;29 740;7 600;12 100;11 600
WARSZAWSKIE;MAKOWSKI (MAKÓW MAZOWIECKI);1 510;18 240;1 400;7 300;8 300
WARSZAWSKIE;MIŃSKI;1 000;22 280;3 600;13 400;12 600
WARSZAWSKIE;MŁAWSKI;2 060;28 250;4 400;9 700;15300
WARSZAWSKIE;NIESZAWSKI;8 900;33 960;6 800;6 300;11 800
WARSZAWSKIE;PRZASNYCKI;5 010;19 800;2 200;7 500;7 300
WARSZAWSKIE;PUŁTUSKI;6 840;25 400;3 900;11 600;13 500
WARSZAWSKIE;PŁOCKI;6 820;32 700;5 900;16 100;10 200
WARSZAWSKIE;PŁOŃSKI;4 390;29 200;4 800;15 000;14 000
WARSZAWSKIE;RADZYMIŃSKI;500;21 500;1 700;8 600;11 100
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);2 760;30 450;4 400;18 100;15 500
WARSZAWSKIE;RYPIŃSKI;4 700;26 170;5400;11 000;12 000
WARSZAWSKIE;SIERPECKI;3 660;27 200;3 700;8 200;10 300
WARSZAWSKIE;SKIERNIEWICKI;2 290;19 100;3 000;9 900;8 300
WARSZAWSKIE;SOCHACZEWSKI;4 400;18 570;2 700;8 400;6 800
WARSZAWSKIE;WARSZAWSKI;2 300;20 220;6 080;12 800;17 300
WARSZAWSKIE;WŁOCŁAWSKI;8 000;27 100;6 800;9 000;11200
WARSZAWSKIE;ŁOWICKI;3 740;21 700;3 400;10 200;9100
WOŁYŃSKIE;DUBIEŃSKI;16 260;47 400;13 100;29 300;10 300
WOŁYŃSKIE;HOROCHOWSKI;12 060;25 900;6 900;18 000;8 100
WOŁYŃSKIE;KOSTOPOLSKI;3 140;15 290;3 300;6 600;3 500
WOŁYŃSKIE;KOWELSKI;7 010;52 900;4 300;16 100;9 600
WOŁYŃSKIE;KRZEMIENIECKI;16 860;47 100;8 800;28 900;7 100
WOŁYŃSKIE;LUBOMELSKI;2 840;15 090;3 300;7 900;4 100
WOŁYŃSKIE;RÓWIEŃSKI;9 880;42 570;8 900;20 200;9 800
WOŁYŃSKIE;WŁODZIMIERSKI;7 160;21 300;6 400;14 700;6 800
WOŁYŃSKIE;ZDOŁBUNOWSKI;11060;24 280;7 200;17 300;4 100
WOŁYŃSKIE;ŁUCKI;12 710;62 670;8 400;17 400;12 000
ZIEMIA WILEŃSKA;BRASŁAWSKI;580;27 080;7 000;10 900;5 200
ZIEMIA WILEŃSKA;DZIŚNIEŃSKI;1 300;33 400;10 400;16 800;7 300
ZIEMIA WILEŃSKA;MOŁODECZAŃSKI;;;;;
ZIEMIA WILEŃSKA;OSZMIAŃSKI;740;54 740;6 730;13 900;11 500
ZIEMIA WILEŃSKA;POSTAWSKI;1 170;44 500;10 800;12 600;12 200
ZIEMIA WILEŃSKA;WILEJSKI;2 410;53380;8 700;20 900;15 500
ZIEMIA WILEŃSKA;WILEŃSKO-TROCKI;2 780;83 740;14 100;38 500;22 000
ZIEMIA WILEŃSKA;WILNO (MIASTO);;;;;
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;1 380;61 690;12 900;26 200;20 700
ŁÓDZKIE;BRZEZIŃSKI;2 600;26 150;3 220;11 500;13 000
ŁÓDZKIE;KALISKI;6 330;26 550;5 700;15 100;14 500
ŁÓDZKIE;KOLSKI;5 700;36 010;4 500;10 400;14 700
ŁÓDZKIE;KONIŃSKI;2 370;27 940;3 200;7 600;13 400
ŁÓDZKIE;PIOTRKOWSKI;5 180;44 800;9 590;17 100;20 500
ŁÓDZKIE;RADOMSZCZAŃSKI;6 450;39 900;7 080;14 600;23 600
ŁÓDZKIE;SIERADZKI;5 900;34 660;4 000;14 400;19 700
ŁÓDZKIE;SŁUPECKI;3 690;23 060;4 420;8 400;12 600
ŁÓDZKIE;TURECKI;6 830;31 900;3 840;14 100;14 600
ŁÓDZKIE;WIELUŃSKI;1 900;45 200;5 090;19 700;18 900
ŁÓDZKIE;ŁASKI;4 290;24 780;5 600;13 300;16 700
ŁÓDZKIE;ŁÓDZKI;2 930;24 730;2 600;9 900;11 200
ŁÓDZKIE;ŁÓDŹ (MIASTO);;;;;
ŁÓDZKIE;ŁĘCZYCKI;9 400;34 970;4 700;16 600;16 800
ŚLĄSKIE;BIELSKI (BIELSKO);1 700;5 500;1 880;9300;5 100
ŚLĄSKIE;BIELSKO (MIASTO);;;;;
ŚLĄSKIE;CIESZYŃSKI;1 000;1 920;530;1 100;1 000
ŚLĄSKIE;KATOWICE (MIASTO);;;;;
ŚLĄSKIE;KATOWICKI;300;3 330;200;2 700;3 300
ŚLĄSKIE;KRÓLEWSKA HUTA;0;100;0;100;200
ŚLĄSKIE;LUBLINIECKI;200;1 430;200;1 000;1 200
ŚLĄSKIE;PSZCZYŃSKI;1 210;15 600;1 820;16 300;14 300
ŚLĄSKIE;RYBNICKI;2 680;14 900;1 830;10 900;14 200
ŚLĄSKIE;TARNOGÓRSKI;200;2 500;200;1 800;2 200
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;200;1 500;100;1 300;1 600
