Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza
KIELECKIE;CZĘSTOCHOWSKI; 28 426 ; 631 033 ; 31 678 ; 123 980 ; 2 426 550 ; 6 767 ; 1 017 ; 8 929 ; 97 
KIELECKIE;IŁŻECKI; 51 402 ; 379 023 ; 100 729 ; 206 829 ; 1 727 852 ; 34 268 ; 14 299 ; 5 974 ; -   
KIELECKIE;JĘDRZEJOWSKI; 168 809 ; 289 241 ; 99 586 ; 119 915 ; 1 650 060 ; 2 446 ; 250 ; 8 583 ; 113 
KIELECKIE;KIELECKI; 35 165 ; 256 119 ; 35 810 ; 89 956 ; 2 038 098 ; -   ; 1 229 ; 3 673 ; -   
KIELECKIE;KONECKI; 13 591 ; 283 537 ; 20 275 ; 63 855 ; 2 244 654 ; -   ; 1 216 ; 5 161 ; 28 
KIELECKIE;KOZIENICKI; 51 985 ; 421 734 ; 92 563 ; 156 110 ; 1 714 069 ; 75 100 ; 16 406 ; 12 370 ; -   
KIELECKIE;MIECHOWSKI; 285 762 ; 310 779 ; 115 632 ; 246 484 ; 1 743 963 ; 180 416 ; 108 ; 7 179 ; 1 720 
KIELECKIE;OLKUSKI; 43 732 ; 258 170 ; 45 504 ; 109 372 ; 1 690 786 ; -   ; 1 200 ; 125 ; -   
KIELECKIE;OPATOWSKI; 169 828 ; 342 257 ; 132 565 ; 273 369 ; 2 310 901 ; 459 127 ; 1 219 ; 8 220 ; 152 
KIELECKIE;OPOCZYŃSKI; 37 381 ; 595 806 ; 50 173 ; 171 163 ; 2 582 714 ; -   ; 5 426 ; 9 636 ; 30 
KIELECKIE;PIŃCZOWSKI; 189 750 ; 234 843 ; 98 545 ; 130 660 ; 1 234 005 ; 302 516 ; 567 ; 24 566 ; 732 
KIELECKIE;RADOM (MIASTO);;;;;;;;;
KIELECKIE;RADOMSKI; 60 062 ; 612 194 ; 102 376 ; 227 071 ; 3 251 905 ; -   ; 6 642 ; 16 724 ; -   
KIELECKIE;SANDOMIERSKI; 156 451 ; 250 256 ; 102 265 ; 165 424 ; 1 683 517 ; 284 432 ; 94 ; 29 848 ; 56 
KIELECKIE;SOSNOWIEC;;;;;;;;;
KIELECKIE;STOPNICKI; 147 993 ; 360 870 ; 90 227 ; 173 539 ; 1 921 827 ; 97 741 ; 1 878 ; 29 468 ; 588 
KIELECKIE;WŁOSZCZOWSKI; 107 656 ; 286 133 ; 30 254 ; 74 654 ; 1 780 634 ; -   ; 259 ; 3 069 ; 8 
KIELECKIE;ZAWIERCIAŃSKI; 17 089 ; 234 120 ; 24 490 ; 44 794 ; 1 278 934 ; -   ; 786 ; 289 ; 54 
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA); 16 056 ; 127 174 ; 10 566 ; 115 826 ; 908 202 ; 2 430 ; -   ; -   ; 42 
KRAKOWSKIE;BOCHEŃSKI; 98 511 ; 117 425 ; 30 745 ; 80 097 ; 862 151 ; 3 362 ; -   ; 1 973 ; 273 
KRAKOWSKIE;BRZESKI (BRZESKO); 84 790 ; 154 870 ; 54 073 ; 112 058 ; 1 035 660 ; 4 061 ; 56 ; 8 966 ; 2 311 
KRAKOWSKIE;CHRZANOWSKI; 13 673 ; 132 159 ; 8 967 ; 47 265 ; 652 323 ; -   ; -   ; 1 582 ; 85 
KRAKOWSKIE;DĄBROWSKI; 78 886 ; 110 288 ; 30 209 ; 61 125 ; 637 738 ; 3 417 ; 18 ; 4 118 ; 5 727 
KRAKOWSKIE;DĘBICKI; 96 105 ; 213 959 ; 43 375 ; 99 133 ; 1 438 144 ; 17 580 ; 380 ; 5 589 ; 931 
KRAKOWSKIE;GORLICKI; 54 154 ; 101 117 ; 44 919 ; 120 080 ; 660 635 ; -   ; 17 ; 846 ; 12 
KRAKOWSKIE;JASIELSKI; 88 994 ; 122 432 ; 31 395 ; 85 465 ; 953 692 ; -   ; 258 ; 3 013 ; 367 
KRAKOWSKIE;KRAKOWSKI; 146 031 ; 254 277 ; 35 225 ; 161 013 ; 1 345 035 ; 23 021 ; 62 ; 1 368 ; -   
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;
KRAKOWSKIE;LIMANOWSKI; 47 967 ; 61 283 ; 36 655 ; 95 580 ; 764 146 ; -   ; -   ; 38 ; -   
KRAKOWSKIE;MIELECKI; 79 361 ; 138 203 ; 33 765 ; 87 801 ; 1 249 422 ; -   ; 881 ; 4 820 ; 1 350 
KRAKOWSKIE;MYŚLENICKI; 70 214 ; 124 908 ; 36 353 ; 154 822 ; 984 924 ; -   ; -   ; 298 ; -   
KRAKOWSKIE;NOWOSĄDECKI; 72 505 ; 132 196 ; 85 211 ; 200 914 ; 1 047 257 ; -   ; -   ; 66 ; 57 
KRAKOWSKIE;NOWOTARSKI; 1 431 ; 44 185 ; 78 739 ; 263 332 ; 1 149 903 ; -   ; -   ; -   ; -   
KRAKOWSKIE;TARNOWSKI; 85 025 ; 156 998 ; 24 494 ; 106 231 ; 1 140 180 ; 3 321 ; 42 ; 1 541 ; 350 
KRAKOWSKIE;WADOWICKI; 74 704 ; 181 093 ; 18 838 ; 186 403 ; 1 380 691 ; 16 186 ; 6 ; 456 ; 395 
KRAKOWSKIE;ŻYWIECKI; 13 546 ; 75 379 ; 26 398 ; 155 078 ; 1 307 187 ; -   ; -   ; -   ; 125 
LUBELSKIE;BIALSKI (BIAŁA PODLASKA); 70 319 ; 453 404 ; 29 692 ; 177 620 ; 2 776 212 ; -   ; 6 549 ; 4 977 ; 84 
LUBELSKIE;BIŁGORAJSKI; 39 486 ; 172 983 ; 29 121 ; 92 342 ; 996 036 ; -   ; 33 274 ; 9 541 ; -   
LUBELSKIE;CHEŁMSKI; 196 908 ; 368 380 ; 103 199 ; 112 477 ; 1 934 196 ; 163 951 ; 12 414 ; 5 583 ; 45 
LUBELSKIE;GARWOLIŃSKI; 66 682 ; 453 591 ; 92 091 ; 180 027 ; 3 104 370 ; 8 951 ; 17 864 ; 14 575 ; 10 
LUBELSKIE;HRUBIESZOWSKI; 316 253 ; 210 065 ; 118 267 ; 168 355 ; 1 698 471 ; 346 420 ; 12 780 ; 8 264 ; 97 
LUBELSKIE;JANOWSKI; 159 962 ; 408 624 ; 129 620 ; 247 218 ; 2 329 410 ; 43 614 ; 28 698 ; 13 366 ; 55 
LUBELSKIE;KRASNOSTAWSKI; 361 774 ; 300 535 ; 125 280 ; 177 204 ; 2 077 518 ; 269 292 ; 13 902 ; 9 406 ; -   
LUBELSKIE;LUBARTOWSKI; 69 815 ; 420 770 ; 33 810 ; 92 149 ; 2 045 199 ; 37 460 ; 66 575 ; 4 340 ; -   
LUBELSKIE;LUBELSKI; 382 480 ; 487 841 ; 166 715 ; 252 885 ; 2 975 143 ; 720 857 ; 18 726 ; 9 847 ; 618 
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;
LUBELSKIE;PUŁAWSKI; 128 002 ; 372 281 ; 126 211 ; 129 120 ; 2 389 324 ; 464 916 ; 35 320 ; 18 787 ; 48 
LUBELSKIE;RADZYŃSKI; 100 066 ; 343 105 ; 15 127 ; 167 180 ; 2 308 797 ; 22 513 ; 14 879 ; 7 483 ; 24 
LUBELSKIE;SIEDLECKI; 92 521 ; 465 056 ; 23 932 ; 188 164 ; 2 814 816 ; 14 086 ; 2 207 ; 2 136 ; -   
LUBELSKIE;SOKOŁOWSKI; 82 033 ; 269 612 ; 35 460 ; 96 714 ; 2 176 932 ; 264 709 ; 1 179 ; 2 444 ; 56 
LUBELSKIE;TOMASZOWSKI; 207 453 ; 208 138 ; 105 521 ; 142 219 ; 1 291 286 ; 298 467 ; 12 052 ; 9 447 ; 480 
LUBELSKIE;WĘGROWSKI; 57 488 ; 291 509 ; 24 750 ; 100 861 ; 1 707 731 ; 61 270 ; 3 144 ; 4 514 ; -   
LUBELSKIE;WŁODAWSKI; 75 692 ; 381 210 ; 24 888 ; 129 614 ; 2 143 250 ; 9 628 ; 10 217 ; 8 812 ; -   
LUBELSKIE;ZAMOJSKI; 289 331 ; 261 918 ; 114 700 ; 170 013 ; 1 927 520 ; 335 282 ; 12 566 ; 6 630 ; 20 
LUBELSKIE;ŁUKOWSKI; 51 165 ; 519 193 ; 33 971 ; 191 661 ; 2 772 469 ; -   ; 23 589 ; 5 623 ; -   
LWOWSKIE;BRZOZOWSKI; 54 440 ; 90 315 ; 27 734 ; 57 655 ; 611 592 ; 4 810 ; 54 ; 719 ; 160 
LWOWSKIE;BÓBRECKI; 116 367 ; 76 326 ; 26 340 ; 64 146 ; 980 478 ; 249 537 ; 3 012 ; 6 972 ; 10 576 
LWOWSKIE;DOBROMILSKI; 50 638 ; 80 155 ; 15 738 ; 76 443 ; 556 936 ; 5 086 ; 603 ; 602 ; 624 
LWOWSKIE;DROHOBYCKI; 34 956 ; 99 914 ; 22 186 ; 91 482 ; 795 264 ; -   ; 616 ; 4 295 ; 1 217 
LWOWSKIE;GRÓDECKI; 55 709 ; 102 237 ; 28 048 ; 70 820 ; 666 044 ; 10 747 ; 6 943 ; 5 457 ; 271 
LWOWSKIE;JAROSŁAWSKI; 130 843 ; 273 592 ; 53 389 ; 95 863 ; 1 184 820 ; 259 497 ; 3 461 ; 8 182 ; 673 
LWOWSKIE;JAWOROWSKI; 30 670 ; 146 877 ; 19 995 ; 81 354 ; 885 904 ; 446 ; 5 821 ; 7 135 ; 167 
LWOWSKIE;KOLBUSZOWSKI; 24 525 ; 145 586 ; 24 519 ; 46 710 ; 809 000 ; -   ; 3 509 ; 4 920 ; 60 
LWOWSKIE;KROŚNIEŃSKI; 115 069 ; 130 007 ; 38 204 ; 102 984 ; 1 137 958 ; 3 079 ; 234 ; 564 ; 58 
LWOWSKIE;LESKI; 22 712 ; 112 010 ; 21 167 ; 298 348 ; 1 314 378 ; -   ; 32 ; 208 ; 25 
LWOWSKIE;LUBACZOWSKI; 58 082 ; 154 920 ; 25 542 ; 96 971 ; 975 046 ; -   ; 15 490 ; 8 473 ; 84 
LWOWSKIE;LWOWSKI; 151 287 ; 157 607 ; 31 412 ; 132 088 ; 1 026 077 ; 26 674 ; 9 009 ; 5 827 ; 2 121 
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;
LWOWSKIE;MOŚCISKI; 71 264 ; 128 098 ; 20 291 ; 47 036 ; 842 575 ; 7 615 ; 1 923 ; 5 294 ; 1 518 
LWOWSKIE;NIŻAŃSKI; 32 980 ; 119 843 ; 18 002 ; 33 375 ; 804 572 ; 1 452 ; 5 169 ; 9 977 ; 237 
LWOWSKIE;PRZEMYSKI; 125 596 ; 150 069 ; 27 923 ; 64 141 ; 1 012 067 ; 90 946 ; 503 ; 2 973 ; 3 094 
LWOWSKIE;PRZEWORSKI; 61 831 ; 94 264 ; 12 241 ; 41 932 ; 435 144 ; 298 452 ; 376 ; 2 001 ; 217 
LWOWSKIE;RAWSKI (RAWA RUSKA); 142 904 ; 185 798 ; 67 736 ; 93 271 ; 1 119 831 ; 41 536 ; 8 919 ; 5 632 ; 553 
LWOWSKIE;RUDECKI; 87 379 ; 105 688 ; 33 957 ; 68 931 ; 1 103 485 ; 28 012 ; 4 117 ; 10 039 ; 6 978 
LWOWSKIE;RZESZOWSKI; 136 926 ; 215 481 ; 64 194 ; 119 051 ; 1 294 997 ; 14 924 ; 410 ; 3 464 ; 950 
LWOWSKIE;SAMBORSKI; 86 212 ; 159 785 ; 42 092 ; 96 071 ; 1 066 224 ; 3 403 ; 1 151 ; 8 131 ; 1 850 
LWOWSKIE;SANOCKI; 82 809 ; 125 434 ; 41 914 ; 129 716 ; 1 140 358 ; 8 693 ; 4 ; 715 ; 15 
LWOWSKIE;SOKALSKI; 228 160 ; 152 792 ; 61 828 ; 109 995 ; 1 297 936 ; 72 012 ; 5 474 ; 8 881 ; 1 001 
LWOWSKIE;TARNOBRZESKI; 39 131 ; 129 900 ; 36 917 ; 64 159 ; 1 333 084 ; 36 665 ; 1 714 ; 10 747 ; -   
LWOWSKIE;TURCZAŃSKI; 4 047 ; 63 581 ; 7 843 ; 149 314 ; 698 805 ; -   ; 4 ; 12 ; -   
LWOWSKIE;ŁAŃCUCKI; 63 935 ; 166 561 ; 36 166 ; 78 926 ; 792 410 ; 65 361 ; 4 346 ; 9 896 ; 135 
LWOWSKIE;ŻÓŁKIEWSKI; 92 618 ; 112 776 ; 19 297 ; 51 027 ; 678 699 ; 3 278 ; 7 538 ; 6 928 ; 999 
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI; 28 819 ; 447 710 ; 57 805 ; 155 386 ; 2 040 686 ; -   ; 49 028 ; 272 ; 82 
NOWOGRÓDZKIE;LIDZKI; 13 374 ; 590 002 ; 110 360 ; 219 761 ; 1 942 641 ; -   ; 49 065 ; -   ; 56 
NOWOGRÓDZKIE;NIEŚWIESKI; 49 472 ; 377 554 ; 53 658 ; 143 284 ; 2 353 320 ; -   ; 16 776 ; 587 ; -   
NOWOGRÓDZKIE;NOWOGRÓDZKI; 67 413 ; 450 447 ; 104 994 ; 231 909 ; 1 931 032 ; -   ; 38 411 ; 568 ; -   
NOWOGRÓDZKIE;STOŁPECKI; 21 674 ; 298 013 ; 36 466 ; 87 769 ; 1 479 952 ; -   ; 20 633 ; 9 ; -   
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE); 14 566 ; 259 555 ; 61 956 ; 101 647 ; 991 386 ; -   ; 12 644 ; 7 ; -   
NOWOGRÓDZKIE;SŁONIMSKI; 30 411 ; 416 070 ; 45 040 ; 99 702 ; 1 749 058 ; -   ; 40 649 ; 304 ; -   
NOWOGRÓDZKIE;WOŁOŻYŃSKI; 12 229 ; 235 116 ; 55 956 ; 94 061 ; 1 263 761 ; -   ; 8 848 ; -   ; -   
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.); 98 175 ; 726 228 ; 80 823 ; 204 978 ; 4 151 316 ; -   ; 28 929 ; 20 777 ; -   
POLESKIE;DROHICKI; 25 931 ; 235 531 ; 33 152 ; 110 083 ; 1 528 850 ; -   ; 11 120 ; 13 166 ; 8 
POLESKIE;IWACEWICKI; 6 705 ; 237 321 ; 18 969 ; 66 738 ; 1 386 847 ; -   ; 14 968 ; 2 837 ; 5 
POLESKIE;KOBRYŃSKI; 51 443 ; 474 527 ; 36 518 ; 91 483 ; 1 590 852 ; -   ; 16 281 ; 17 155 ; 14 
POLESKIE;KOSZYRSKI; 5 037 ; 227 105 ; 20 705 ; 44 600 ; 1 071 524 ; -   ; 10 293 ; 12 104 ; 331 
POLESKIE;PIŃSKI; 10 696 ; 420 785 ; 28 677 ; 103 254 ; 2 242 758 ; -   ; 22 986 ; 28 241 ; 72 
POLESKIE;PRUŻAŃSKI; 24 328 ; 357 198 ; 28 462 ; 91 570 ; 1 660 951 ; -   ; 11 059 ; 3 889 ; -   
POLESKIE;STOLIŃSKI; 11 205 ; 259 409 ; 15 376 ; 51 478 ; 1 087 152 ; -   ; 16 452 ; 41 994 ; 372 
POLESKIE;ŁUNINIECKI; 3 310 ; 162 148 ; 8 239 ; 36 611 ; 1 272 811 ; -   ; 11 873 ; 13 410 ; 102 
POMORSKIE;BRODNICKI; 48 499 ; 444 880 ; 204 713 ; 50 579 ; 1 012 423 ; 1 725 936 ; 30 ; 181 ; 2 701 
POMORSKIE;BYDGOSKI; 65 416 ; 229 301 ; 12 585 ; 92 446 ; 1 128 469 ; -   ; 466 ; -   ; 55 
POMORSKIE;BYDGOSZCZ (MIASTO);;;;;;;;;
POMORSKIE;CHEŁMIŃSKI; 159 315 ; 258 897 ; 16 308 ; 65 784 ; 977 484 ; 3 042 ; 2 914 ; 15 ; 15 
POMORSKIE;CHOJNICKI; 9 254 ; 513 600 ; 112 453 ; 68 455 ; 1 216 962 ; 344 026 ; 2 091 ; 72 ; 30 
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;;;
POMORSKIE;GRUDZIĄDZKI; 135 052 ; 284 915 ; 81 766 ; 62 998 ; 949 658 ; 28 174 ; 16 ; -   ; 93 
POMORSKIE;INOWROCŁAW (MIASTO);;;;;;;;;
POMORSKIE;INOWROCŁAWSKI; 245 605 ; 417 766 ; 83 978 ; 59 141 ; 1 838 928 ; 299 955 ; 489 ; 97 ; 882 
POMORSKIE;KARTUSKI; 3 463 ; 178 495 ; 117 303 ; 68 795 ; 597 876 ; 546 284 ; -   ; -   ; 690 
POMORSKIE;KOŚCIERSKI; 6 962 ; 263 986 ; 94 705 ; 45 523 ; 722 301 ; 819 977 ; 408 ; 267 ; 658 
POMORSKIE;LIPNOWSKI; 59 862 ; 207 374 ; 40 012 ; 36 622 ; 601 235 ; 44 360 ; 151 ; 7 ; 30 
POMORSKIE;LUBAWSKI; 30 494 ; 241 203 ; 91 984 ; 45 371 ; 666 660 ; 306 516 ; 672 ; 170 ; 1 140 
POMORSKIE;MORSKI; 7 462 ; 313 921 ; 111 913 ; 49 361 ; 1 110 820 ; 86 317 ; 85 ; 10 ; 467 
POMORSKIE;NIESZAWSKI; 227 932 ; 392 371 ; 104 319 ; 74 010 ; 1 144 284 ; 154 211 ; 63 ; -   ; 616 
POMORSKIE;RYPIŃSKI; 59 652 ; 218 352 ; 143 734 ; 52 551 ; 603 390 ; 858 732 ; 37 ; 128 ; 1 169 
POMORSKIE;STAROGARDZKI; 39 261 ; 213 581 ; 105 421 ; 69 186 ; 586 124 ; 380 682 ; 40 ; 30 ; 385 
POMORSKIE;SZUBIŃSKI; 43 536 ; 221 688 ; 14 615 ; 96 238 ; 996 392 ; 1 821 ; 226 ; -   ; 131 
POMORSKIE;SĘPOLEŃSKI; 13 942 ; 337 128 ; 27 464 ; 73 116 ; 1 297 719 ; 3 572 ; 7 301 ; 56 ; 50 
POMORSKIE;TCZEWSKI; 155 684 ; 437 584 ; 107 588 ; 62 915 ; 1 085 282 ; 302 302 ; 2 035 ; 351 ; -   
POMORSKIE;TORUŃ (MIASTO);;;;;;;;;
POMORSKIE;TORUŃSKI; 143 062 ; 235 639 ; 51 120 ; 76 264 ; 822 325 ; 37 304 ; 76 ; -   ; 72 
POMORSKIE;TUCHOLSKI; 16 457 ; 249 518 ; 47 539 ; 49 572 ; 991 521 ; 72 236 ; 101 ; 22 ; 506 
POMORSKIE;WYRZYSKI; 93 844 ; 442 873 ; 136 147 ; 83 455 ; 1 727 775 ; 444 298 ; -   ; 137 ; 742 
POMORSKIE;WĄBRZESKI; 91 018 ; 356 975 ; 85 293 ; 61 395 ; 874 792 ; 266 007 ; 58 ; 276 ; 1 075 
POMORSKIE;WŁOCŁAWSKI; 132 235 ; 544 948 ; 145 644 ; 66 502 ; 1 113 406 ; 702 557 ; 600 ; 97 ; 261 
POMORSKIE;ŚWIECKI; 65 160 ; 689 293 ; 199 454 ; 61 238 ; 1 123 670 ; 717 119 ; 102 ; 210 ; 226 
POZNAŃSKIE;CHODZIESKI; 10 074 ; 243 790 ; 38 680 ; 50 119 ; 1 125 076 ; 26 178 ; 40 ; 10 ; 266 
POZNAŃSKIE;CZARNKOWSKI; 12 550 ; 228 685 ; 22 025 ; 43 260 ; 936 054 ; 38 465 ; 21 ; -   ; 506 
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI; 68 492 ; 516 725 ; 104 672 ; 90 696 ; 1 173 250 ; 415 506 ; 251 ; 18 ; 1 773 
POZNAŃSKIE;GOSTYŃSKI; 146 469 ; 260 168 ; 89 298 ; 106 196 ; 1 213 276 ; 561 217 ; 286 ; 467 ; 2 521 
POZNAŃSKIE;JAROCIŃSKI; 114 298 ; 534 137 ; 74 544 ; 169 987 ; 1 569 375 ; 523 872 ; 8 ; 51 ; 5 102 
POZNAŃSKIE;KALISKI; 142 545 ; 624 803 ; 44 691 ; 163 049 ; 1 926 478 ; 354 924 ; 1 971 ; 2 136 ; 352 
POZNAŃSKIE;KOLSKI; 98 245 ; 536 655 ; 51 483 ; 66 699 ; 1 561 604 ; 185 478 ; 796 ; 991 ; 89 
POZNAŃSKIE;KONIŃSKI; 103 617 ; 1 053 152 ; 81 223 ; 128 256 ; 2 942 628 ; 356 814 ; 1 108 ; 856 ; 615 
POZNAŃSKIE;KOŚCIAŃSKI; 114 109 ; 468 266 ; 99 429 ; 109 436 ; 2 155 384 ; 511 488 ; 19 ; 570 ; 2 674 
POZNAŃSKIE;KROTOSZYŃSKI; 156 482 ; 286 675 ; 62 804 ; 175 955 ; 1 063 312 ; 469 362 ; -   ; 254 ; 1 541 
POZNAŃSKIE;KĘPIŃSKI; 39 222 ; 501 708 ; 27 545 ; 159 810 ; 1 916 614 ; 110 731 ; 101 ; 128 ; 578 
POZNAŃSKIE;LESZCZYŃSKI; 67 825 ; 311 132 ; 48 632 ; 84 513 ; 1 318 392 ; 294 661 ; 48 ; 566 ; 2 191 
POZNAŃSKIE;MIĘDZYCHODZKI; 14 698 ; 229 024 ; 21 203 ; 37 965 ; 933 436 ; 79 641 ; 4 ; -   ; 654 
POZNAŃSKIE;MOGILEŃSKI; 99 891 ; 494 775 ; 144 570 ; 68 049 ; 945 410 ; 1 059 993 ; 120 ; 135 ; 1 338 
POZNAŃSKIE;NOWOTOMYSKI; 91 343 ; 576 675 ; 73 312 ; 100 059 ; 2 502 709 ; 533 700 ; 60 ; 62 ; 2 365 
POZNAŃSKIE;OBORNICKI; 61 965 ; 376 858 ; 65 216 ; 84 865 ; 1 285 587 ; 226 360 ; 161 ; 7 ; 729 
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI); 61 482 ; 412 383 ; 36 673 ; 119 049 ; 1 645 731 ; 103 492 ; 136 ; 396 ; 669 
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;;;;
POZNAŃSKIE;POZNAŃSKI; 68 555 ; 577 824 ; 114 182 ; 105 925 ; 2 259 647 ; 428 084 ; 59 ; 108 ; 4 112 
POZNAŃSKIE;RAWICKI; 69 576 ; 197 553 ; 38 699 ; 62 032 ; 685 358 ; 441 096 ; 104 ; 501 ; 232 
POZNAŃSKIE;SZAMOTULSKI; 95 463 ; 399 948 ; 85 400 ; 75 853 ; 1 740 708 ; 606 695 ; 316 ; -   ; 1 042 
POZNAŃSKIE;TURECKI; 73 612 ; 546 917 ; 19 293 ; 95 088 ; 1 837 016 ; 120 085 ; 1 109 ; 3 144 ; 152 
POZNAŃSKIE;WOLSZTYŃSKI; 16 305 ; 299 238 ; 16 666 ; 45 974 ; 1 147 416 ; 74 614 ; 16 ; 142 ; 486 
POZNAŃSKIE;WRZESIŃSKI; 63 640 ; 288 445 ; 64 554 ; 51 980 ; 771 748 ; 604 104 ; 20 ; 20 ; 630 
POZNAŃSKIE;WĄGROWIECKI; 38 517 ; 398 715 ; 84 729 ; 83 111 ; 1 601 652 ; 203 974 ; 44 ; 21 ; 2 076 
POZNAŃSKIE;ŚREDZKI; 87 615 ; 432 454 ; 99 165 ; 81 642 ; 1 437 573 ; 553 116 ; 226 ; 220 ; 3 573 
POZNAŃSKIE;ŚREMSKI; 60 327 ; 354 941 ; 60 044 ; 75 081 ; 1 294 360 ; 243 672 ; 284 ; 230 ; 1 649 
POZNAŃSKIE;ŻNIŃSKI; 66 428 ; 329 715 ; 101 789 ; 69 787 ; 910 621 ; 345 155 ; 35 ; 48 ; 1 031 
STANISŁAWOWSKIE;DOLIŃSKI; 8 756 ; 74 714 ; 2 930 ; 64 428 ; 553 563 ; -   ; 113 ; 1 491 ; 1 040 
STANISŁAWOWSKIE;HORODEŃSKI; 185 326 ; 122 038 ; 70 293 ; 39 167 ; 942 648 ; 386 589 ; 1 551 ; 1 989 ; 59 236 
STANISŁAWOWSKIE;KAŁUSKI; 43 518 ; 86 934 ; 7 180 ; 74 335 ; 951 022 ; 697 ; 5 222 ; 9 887 ; 13 555 
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI); 7 088 ; 9 993 ; 2 836 ; 5 098 ; 354 324 ; -   ; -   ; -   ; 46 102 
STANISŁAWOWSKIE;KOŁOMYJSKI; 152 225 ; 174 030 ; 37 686 ; 91 603 ; 1 110 906 ; 43 842 ; 347 ; 1 410 ; 114 014 
STANISŁAWOWSKIE;NADWÓRNIAŃSKI; 12 454 ; 101 432 ; 4 470 ; 61 017 ; 1 222 850 ; -   ; 1 620 ; 927 ; 12 297 
STANISŁAWOWSKIE;ROHATYŃSKI; 194 916 ; 161 503 ; 57 378 ; 100 844 ; 1 679 880 ; 160 442 ; 6 472 ; 7 601 ; 47 842 
STANISŁAWOWSKIE;STANISŁAWOWSKI; 104 005 ; 180 423 ; 13 224 ; 100 381 ; 1 631 340 ; 17 436 ; 3 625 ; 8 959 ; 59 475 
STANISŁAWOWSKIE;STRYJSKI; 29 559 ; 102 896 ; 8 526 ; 128 324 ; 975 486 ; -   ; 1 103 ; 3 697 ; 976 
