District;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Pozostające do odbudowy 01-01-1923;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Zniszczone w ogóle
LWÓW (MIASTO);2325,784946;7046,967742
M. ST. WARSZAWA;398,7443635;1410,405827
MAKOWSKI (MAKÓW MAZOWIECKI);1174;3832
MIECHOWSKI;73;758
MIELECKI;102;1145
MIĘDZYCHODZKI;0;0
MIŃSKI;0;23
MOGILEŃSKI;0;0
MOŚCISKI;216;7155
MYŚLENICKI;0;0
MŁAWSKI;779;2231
NADWÓRNIAŃSKI;3281;9102
NIESZAWSKI;0;18
NIEŚWIESKI;879;3858
NIŻAŃSKI;1665;7853
NOWOGRÓDZKI;20068;32742
NOWOSĄDECKI;25;123
NOWOTARSKI;0;0
NOWOTOMYSKI;0;0
OBORNICKI;0;0
ODOLANOWSKI;0;0
OLKUSKI;844;3864
OPATOWSKI;1979;5446
OPOCZYŃSKI;2273;11897
OSTROGSKI;581;641
OSTROWSKI (OSTRÓW MAZOWIECKA);1476;6173
OSTROWSKI (OSTRÓW WIELKOPOLSKI);0;0
OSTROŁĘCKI;6213;15771
OSTRZESZOWSKI;0;0
OŚWIĘCIMSKI;0;0
PECZENIŻYŃSKI;901;1617
PILZNEŃSKI;32;1459
PIOTRKOWSKI;321;808
PIŃCZOWSKI;1800;4894
PIŃSKI;23333;32408
PLESZEWSKI;0;0
PODGÓRSKI;168;296
PODHAJECKI;10476;23846
POZNAŃ (MIASTO);0;0
POZNAŃSKI WSCHODNI;0;0
POZNAŃSKI ZACHODNI;0;0
PRUŻAŃSKI;13932;15056
PRZASNYCKI;3991;9165
PRZEMYSKI;5268;22989
PRZEMYŚLAŃSKI;2884;10277
PRZEWORSKI;337;1043
PUCKI;0;0
PUŁAWSKI;3448;8805
PUŁTUSKI;1834;6816
PŁOCKI;956;3528
PŁOŃSKI;2035;6335
RADOMSKI;4683;12512
RADOMSZCZAŃSKI;410;1020
RADZIECHOWSKI;5015;8335
RADZYMIŃSKI;171;337
RADZYŃSKI;1978;6852
RAWICKI;0;0
RAWSKI (RAWA MAZOWIECKA);4249;8883
RAWSKI (RAWA RUSKA);4443;8801
ROHATYŃSKI;11157;18711
ROPCZYCKI;632;1531
RUDECKI;917;4615
RYPIŃSKI;0;192
RZESZOWSKI;632;1531
RÓWIEŃSKI;2126;8478
SAMBORSKI;566;1420
SANDOMIERSKI;1599;3413
SANOCKI;1413;2919
SARNEŃSKI;7621;1295
SEJNEŃSKI;1061;2064
SIEDLECKI;33;844
SIERADZKI;73;297
SIERPECKI;154;834
SKAŁACKI;1923;8342
SKIERNIEWICKI;3391;10056
SKOLSKI;2209;4339
SOCHACZEWSKI;4534;13798
SOKALSKI;4075;9716
SOKOŁOWSKI;211;1428
SOKÓLSKI;1654;5348
SPISKO-ORAWSKI;0;0
STANISŁAWOWSKI;12264;24243
STAROGARDZKI;0;0
STAROSAMBORSKI;51;2649
STOPNICKI;69;412
STOŁPECKI;664;1612
STRYJSKI;1864;3934
STRZELNEŃSKI;0;0
STRZYŻOWSKI;474;1563
SUWALSKI;4036;8196
SZAMOTULSKI;0;0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);726;4316
SZUBIŃSKI;0;0
SĘPOLEŃSKI;0;0
SŁONIMSKI;16338;36565
SŁUPECKI;0;0
TARNOBRZESKI;1133;4467
TARNOPOLSKI;11823;19992
TARNOWSKI;1232;5883
TCZEWSKI;0;0
TOMASZOWSKI;5222;12092
TORUŃ (MIASTO);0;0
TORUŃSKI;0;0
TREMBOWELSKI;2284;4898
TUCHOLSKI;0;0
TURCZAŃSKI;1524;3858
TURECKI;0;28
TŁUMACKI;2453;8322
WADOWICKI;0;2
WARSZAWSKI;746,2556365;2639,594173
WEJHEROWSKI;0;0
WIELICKI;73;470
WIELUŃSKI;37;186
WILEJSKI;;
WITKOWSKI;0;0
WOLSZTYŃSKI;0;0
WOŁKOWYSKI;14098;21659
WOŁOŻYŃSKI;7090;15911
WRZESIŃSKI;0;0
WYRZYSKI;0;0
WYSOKOMAZOWIECKI;4036;6489
WĄBRZESKI;0;0
WĄGROWIECKI;0;0
WĘGROWSKI;59;1402
WŁOCŁAWSKI;54;205
WŁODAWSKI;18259;26543
WŁODZIMIERSKI;7446;11635
WŁOSZCZOWSKI;0;254
ZALESZCZYCKI;5983;9210
ZAMOJSKI;1311;6538
ZBARASKI;1794;9001
ZBOROWSKI;17658;28407
ZŁOCZOWSKI;4240;12072
ŁASKI;73;1306
ŁAŃCUCKI;391;2992
ŁOMŻYŃSKI;4903;15368
ŁOWICKI;1623;7418
ŁUCKI;8877;30413
ŁUKOWSKI;817;4167
ŁUNINIECKI;996;1905
ŁÓDZKI;93,15667707;1355,488611
ŁÓDŹ (MIASTO);64,84332293;943,5113886
ŁĘCZYCKI;30;156
ŚMIGIELSKI;0;0
ŚNIATYŃSKI;1926;3624
ŚREDZKI;0;0
ŚREMSKI;0;0
ŚWIECKI;0;0
ŻNIŃSKI;0;0
ŻYDACZOWSKI;1904;3946
ŻYWIECKI;0;0
ŻÓŁKIEWSKI;723;3535
