Region;District;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Pozostające do odbudowy 01-01-1923;Zniszczenia Wojenne 1914-1920/Zniszczone budynki/Zniszczone w ogóle
;OPATOWSKI;0;0
;OPOCZYŃSKI;0;0
;OSTROGSKI;0;0
;OSTROWSKI (OSTRÓW MAZOWIECKA);0;0
;OSTROWSKI (OSTRÓW WIELKOPOLSKI);0;0
;OSTROŁĘCKI;0;0
;OSTRZESZOWSKI;0;0
ZIEMIA WILEŃSKA;OSZMIAŃSKI;6844;13515
;OŚWIĘCIMSKI;0;0
;PECZENIŻYŃSKI;0;0
;PILZNEŃSKI;0;0
;PIOTRKOWSKI;0;0
;PIŃCZOWSKI;0;0
;PIŃSKI;0;0
;PLESZEWSKI;0;0
;PODGÓRSKI;0;0
;PODHAJECKI;0;0
;POZNAŃ (MIASTO);0;0
;POZNAŃSKI WSCHODNI;;
;POZNAŃSKI ZACHODNI;;
;PRUŻAŃSKI;0;0
;PRZASNYCKI;0;0
;PRZEMYSKI;0;0
;PRZEMYŚLAŃSKI;0;0
;PRZEWORSKI;0;0
ŚLĄSKIE;PSZCZYŃSKI;0;0
 ;PUCKI;0;0
;PUŁAWSKI;0;0
;PUŁTUSKI;0;0
;Poznańsko-wschodni;0;0
;Poznańsko-zachodni;0;0
;PŁOCKI;0;0
;PŁOŃSKI;0;0
;RADOMSKI;0;0
;RADOMSZCZAŃSKI;0;0
;RADZIECHOWSKI;0;0
;RADZYMIŃSKI;0;0
;RADZYŃSKI;0;0
;RAWICKI;0;0
;RAWSKI (RAWA MAZOWIECKA);0;0
;RAWSKI (RAWA RUSKA);0;0
;ROHATYŃSKI;0;0
;ROPCZYCKI;0;0
;RUDECKI;0;0
ŚLĄSKIE;RUDZKI;0;0
ŚLĄSKIE;RYBNICKI;0;0
;RYPIŃSKI;0;0
;RZESZOWSKI;0;0
;RÓWIEŃSKI;0;0
;SAMBORSKI;0;0
;SANDOMIERSKI;0;0
;SANOCKI;0;0
;SARNEŃSKI;0;0
;SEJNEŃSKI;0;0
;SIEDLECKI;0;0
;SIERADZKI;0;0
;SIERPECKI;0;0
;SKAŁACKI;0;0
;SKIERNIEWICKI;0;0
;SKOLSKI;0;0
;SOCHACZEWSKI;0;0
;SOKALSKI;0;0
;SOKOŁOWSKI;0;0
;SOKÓLSKI;0;0
;SPISKO-ORAWSKI;0;0
;STANISŁAWOWSKI;0;0
;STAROGARDZKI;0;0
;STAROSAMBORSKI;0;0
;STOPNICKI;0;0
;STOŁPECKI;0;0
;STRYJSKI;0;0
;STRZELNEŃSKI;0;0
;STRZYŻOWSKI;0;0
;SUWALSKI;0;0
;SZAMOTULSKI;0;0
;SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE);0;0
;SZUBIŃSKI;0;0
;SĘPOLEŃSKI;0;0
;SŁONIMSKI;0;0
;SŁUPECKI;0;0
;TARNOBRZESKI;0;0
ŚLĄSKIE;TARNOGÓRSKI;0;0
;TARNOPOLSKI;0;0
;TARNOWSKI;0;0
;TCZEWSKI;0;0
;TOMASZOWSKI;0;0
;TORUŃ (MIASTO);0;0
;TORUŃSKI;0;0
;TREMBOWELSKI;0;0
ZIEMIA WILEŃSKA;TROCKI;423;559
;TUCHOLSKI;0;0
;TURCZAŃSKI;0;0
;TURECKI;0;0
;TŁUMACKI;0;0
;WADOWICKI;0;2
;WARSZAWSKI;0;0
;WEJHEROWSKI;0;0
;WIELICKI;0;0
;WIELUŃSKI;0;0
ZIEMIA WILEŃSKA;WILEJSKI;3298;12234
ZIEMIA WILEŃSKA;WILEŃSKI;839;1110
ZIEMIA WILEŃSKA;WILNO (MIASTO);588;777
;WITKOWSKI;0;0
;WOLSZTYŃSKI;0;0
;WOŁKOWYSKI;0;0
;WOŁOŻYŃSKI;0;0
;WRZESIŃSKI;0;0
;WYRZYSKI;0;0
;WYSOKOMAZOWIECKI;0;0
;WĄBRZESKI;0;0
;WĄGROWIECKI;0;0
;WĘGROWSKI;0;0
;WŁOCŁAWSKI;0;0
;WŁODAWSKI;0;0
;WŁODZIMIERSKI;0;0
;WŁOSZCZOWSKI;0;0
;ZALESZCZYCKI;0;0
;ZAMOJSKI;0;0
;ZBARASKI;0;0
;ZBOROWSKI;0;0
;ZŁOCZOWSKI;0;0
;ŁASKI;0;0
;ŁAŃCUCKI;0;0
;ŁOMŻYŃSKI;0;0
;ŁOWICKI;0;0
;ŁUCKI;0;0
;ŁUKOWSKI;0;0
;ŁUNINIECKI;0;0
;ŁÓDZKI;0;0
;ŁÓDŹ (MIASTO);0;0
;ŁĘCZYCKI;0;0
;ŚMIGIELSKI;0;0
;ŚNIATYŃSKI;0;0
;ŚREDZKI;0;0
;ŚREMSKI;0;0
;ŚWIECKI;0;0
ZIEMIA WILEŃSKA;ŚWIĘCIAŃSKI;11562;15543
ŚLĄSKIE;ŚWIĘTOCHŁOWICKI;0;0
;ŻNIŃSKI;0;0
;ŻYDACZOWSKI;0;0
;ŻYWIECKI;0;0
;ŻÓŁKIEWSKI;0;0
