Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza
LUBELSKIE;ZAMOJSKI; 18 432 ; 18 032 ; 8 545 ; 11 813 ; 12 382 ; 1 844 ; 1 442 ; 510 ; 2 
LUBELSKIE;ŁUKOWSKI; 4 442 ; 43 441 ; 2 912 ; 14 560 ; 19 375 ; -   ; 2 679 ; 406 ; -   
LWOWSKIE;BRZOZOWSKI; 6 479 ; 10 060 ; 3 966 ; 5 953 ; 6 336 ; 33 ; 6 ; 58 ; 10 
LWOWSKIE;BÓBRECKI; 10 861 ; 7 686 ; 2 878 ; 6 374 ; 8 652 ; 1 420 ; 408 ; 581 ; 848 
LWOWSKIE;DOBROMILSKI; 6 568 ; 9 106 ; 1 887 ; 8 444 ; 6 607 ; 23 ; 116 ; 49 ; 55 
LWOWSKIE;DROHOBYCKI; 4 501 ; 10 312 ; 3 033 ; 10 410 ; 10 443 ; -   ; 95 ; 353 ; 108 
LWOWSKIE;GRÓDECKI; 6 190 ; 10 013 ; 3 305 ; 6 752 ; 6 992 ; 62 ; 874 ; 491 ; 28 
LWOWSKIE;JAROSŁAWSKI; 11 605 ; 23 247 ; 5 322 ; 9 674 ; 10 662 ; 1 206 ; 526 ; 653 ; 51 
LWOWSKIE;JAWOROWSKI; 3 862 ; 15 326 ; 2 845 ; 8 671 ; 8 728 ; 3 ; 937 ; 750 ; 17 
LWOWSKIE;KOLBUSZOWSKI; 2 910 ; 16 165 ; 3 214 ; 4 976 ; 9 064 ; -   ; 532 ; 447 ; 6 
LWOWSKIE;KROŚNIEŃSKI; 7 679 ; 11 784 ; 4 287 ; 7 484 ; 8 618 ; 23 ; 38 ; 46 ; 7 
LWOWSKIE;LESKI; 3 041 ; 10 603 ; 2 400 ; 25 159 ; 11 180 ; -   ; 4 ; 28 ; 2 
LWOWSKIE;LUBACZOWSKI; 5 875 ; 13 614 ; 2 969 ; 9 145 ; 8 438 ; -   ; 1 783 ; 780 ; 6 
LWOWSKIE;LWOWSKI; 13 172 ; 14 355 ; 3 489 ; 11 702 ; 11 872 ; 137 ; 1 086 ; 432 ; 128 
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;
LWOWSKIE;MOŚCISKI; 8 502 ; 14 105 ; 2 546 ; 5 666 ; 8 098 ; 51 ; 308 ; 585 ; 146 
LWOWSKIE;NIŻAŃSKI; 4 028 ; 12 605 ; 2 017 ; 3 997 ; 8 540 ; 11 ; 568 ; 768 ; 11 
LWOWSKIE;PRZEMYSKI; 13 482 ; 15 529 ; 3 134 ; 7 080 ; 9 245 ; 455 ; 76 ; 240 ; 177 
LWOWSKIE;PRZEWORSKI; 6 199 ; 8 102 ; 1 063 ; 3 763 ; 3 729 ; 1 432 ; 71 ; 152 ; 15 
LWOWSKIE;RAWSKI (RAWA RUSKA); 13 165 ; 16 422 ; 7 008 ; 7 966 ; 11 576 ; 272 ; 1 305 ; 517 ; 34 
LWOWSKIE;RUDECKI; 6 372 ; 7 237 ; 2 455 ; 4 739 ; 7 835 ; 161 ; 394 ; 627 ; 401 
LWOWSKIE;RZESZOWSKI; 14 730 ; 20 750 ; 6 470 ; 10 124 ; 11 149 ; 105 ; 73 ; 293 ; 69 
LWOWSKIE;SAMBORSKI; 9 533 ; 15 487 ; 4 822 ; 8 846 ; 11 563 ; 21 ; 129 ; 512 ; 113 
LWOWSKIE;SANOCKI; 8 822 ; 12 263 ; 4 784 ; 12 199 ; 10 174 ; 52 ; 1 ; 55 ; 1 
LWOWSKIE;SOKALSKI; 19 928 ; 12 995 ; 6 088 ; 8 907 ; 11 527 ; 413 ; 718 ; 699 ; 69 
LWOWSKIE;TARNOBRZESKI; 3 282 ; 11 122 ; 3 486 ; 4 552 ; 8 955 ; 224 ; 208 ; 746 ; -   
LWOWSKIE;TURCZAŃSKI; 672 ; 6 851 ; 1 266 ; 33 152 ; 9 057 ; -   ; 1 ; 1 ; -   
LWOWSKIE;ŁAŃCUCKI; 8 218 ; 18 410 ; 4 103 ; 8 388 ; 8 374 ; 377 ; 776 ; 1 010 ; 9 
LWOWSKIE;ŻÓŁKIEWSKI; 9 884 ; 11 721 ; 3 098 ; 6 348 ; 8 379 ; 18 ; 1 019 ; 598 ; 93 
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI; 3 815 ; 42 142 ; 8 035 ; 18 070 ; 19 893 ; -   ; 6 177 ; 29 ; 7 
NOWOGRÓDZKIE;LIDZKI; 1 487 ; 54 897 ; 12 081 ; 22 522 ; 18 063 ; -   ; 8 305 ; -   ; 7 
NOWOGRÓDZKIE;NIEŚWIESKI; 4 638 ; 29 893 ; 7 365 ; 16 661 ; 18 230 ; -   ; 2 214 ; 48 ; -   
NOWOGRÓDZKIE;NOWOGRÓDZKI; 6 219 ; 36 556 ; 8 703 ; 20 324 ; 16 882 ; -   ; 4 608 ; 71 ; -   
NOWOGRÓDZKIE;STOŁPECKI; 3 032 ; 29 697 ; 6 069 ; 12 828 ; 14 068 ; -   ; 2 703 ; 3 ; -   
NOWOGRÓDZKIE;SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE); 1 583 ; 24 796 ; 6 519 ; 10 687 ; 9 122 ; -   ; 2 139 ; 1 ; -   
NOWOGRÓDZKIE;SŁONIMSKI; 3 842 ; 41 995 ; 5 963 ; 13 952 ; 16 467 ; -   ; 6 429 ; 36 ; -   
NOWOGRÓDZKIE;WOŁOŻYŃSKI; 1 534 ; 25 517 ; 8 328 ; 13 171 ; 12 224 ; -   ; 1 749 ; -   ; -   
POLESKIE;BRZESKI (BRZEŚĆ N.BUG.); 9 403 ; 59 260 ; 9 074 ; 20 433 ; 32 382 ; -   ; 3 808 ; 1 840 ; -   
POLESKIE;DROHICKI; 2 626 ; 21 748 ; 3 596 ; 10 755 ; 12 481 ; -   ; 1 142 ; 896 ; 1 
POLESKIE;IWACEWICKI; 925 ; 23 374 ; 3 146 ; 9 346 ; 11 779 ; -   ; 2 105 ; 263 ; 1 
POLESKIE;KOBRYŃSKI; 4 940 ; 35 497 ; 4 543 ; 9 646 ; 17 177 ; -   ; 2 423 ; 1 282 ; 2 
POLESKIE;KOSZYRSKI; 696 ; 26 888 ; 3 381 ; 7 404 ; 12 671 ; -   ; 1 983 ; 1 241 ; 32 
POLESKIE;PIŃSKI; 1 313 ; 45 236 ; 3 715 ; 14 663 ; 20 089 ; -   ; 3 351 ; 2 347 ; 6 
POLESKIE;PRUŻAŃSKI; 3 298 ; 34 631 ; 5 153 ; 13 606 ; 17 590 ; -   ; 1 728 ; 412 ; -   
POLESKIE;STOLIŃSKI; 1 427 ; 25 483 ; 2 227 ; 5 904 ; 12 884 ; -   ; 2 746 ; 3 003 ; 28 
POLESKIE;ŁUNINIECKI; 487 ; 18 615 ; 1 578 ; 4 513 ; 11 854 ; -   ; 2 280 ; 1 425 ; 6 
POMORSKIE;BRODNICKI; 2 768 ; 18 484 ; 5 863 ; 2 688 ; 8 972 ; 431 ; 13 ; 1 ; 16 
POMORSKIE;BYDGOSKI; 3 597 ; 25 559 ; 5 824 ; 4 210 ; 10 160 ; 651 ; 18 ; -   ; 35 
POMORSKIE;BYDGOSZCZ (MIASTO);;;;;;;;;
POMORSKIE;CHEŁMIŃSKI; 7 227 ; 10 557 ; 6 510 ; 2 481 ; 5 988 ; 3 683 ; 6 ; 15 ; 52 
POMORSKIE;CHOJNICKI; 703 ; 28 284 ; 2 381 ; 5 416 ; 11 246 ; 18 ; 973 ; 7 ; 14 
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;
POMORSKIE;GRUDZIĄDZ (MIASTO);;;;;;;;;
POMORSKIE;GRUDZIĄDZKI; 7 762 ; 12 354 ; 5 576 ; 3 660 ; 5 042 ; 1 712 ; 4 ; 3 ; 17 
POMORSKIE;INOWROCŁAW (MIASTO);;;;;;;;;
POMORSKIE;INOWROCŁAWSKI; 11 958 ; 23 100 ; 10 682 ; 2 751 ; 10 633 ; 7 518 ; 6 ; 1 ; 127 
POMORSKIE;KARTUSKI; 283 ; 26 512 ; 1 218 ; 9 649 ; 13 910 ; -   ; 38 ; -   ; 5 
POMORSKIE;KOŚCIERSKI; 442 ; 21 436 ; 1 259 ; 5 201 ; 8 886 ; 15 ; 527 ; 1 ; 1 
POMORSKIE;LIPNOWSKI; 4 265 ; 38 640 ; 7 583 ; 5 227 ; 12 999 ; 1 743 ; 292 ; 8 ; 2 
POMORSKIE;LUBAWSKI; 2 006 ; 19 329 ; 5 064 ; 3 813 ; 7 969 ; 131 ; 2 ; -   ; 5 
POMORSKIE;MORSKI; 533 ; 19 220 ; 1 311 ; 7 287 ; 9 431 ; 9 ; 25 ; -   ; 12 
POMORSKIE;NIESZAWSKI; 11 839 ; 38 732 ; 9 716 ; 2 983 ; 13 852 ; 3 300 ; 13 ; 14 ; 14 
POMORSKIE;RYPIŃSKI; 3 623 ; 31 239 ; 6 480 ; 4 111 ; 11 654 ; 1 523 ; 348 ; 42 ; -   
POMORSKIE;STAROGARDZKI; 2 233 ; 18 070 ; 2 692 ; 3 129 ; 8 586 ; 336 ; 43 ; 1 ; 24 
POMORSKIE;SZUBIŃSKI; 2 320 ; 22 353 ; 4 602 ; 3 320 ; 8 846 ; 1 141 ; 15 ; 14 ; 41 
POMORSKIE;SĘPOLEŃSKI; 756 ; 16 132 ; 2 744 ; 4 107 ; 6 092 ; 159 ; 16 ; -   ; 3 
POMORSKIE;TCZEWSKI; 7 667 ; 9 564 ; 6 102 ; 3 576 ; 5 794 ; 2 324 ; -   ; -   ; 32 
POMORSKIE;TORUŃ (MIASTO);;;;;;;;;
POMORSKIE;TORUŃSKI; 7 220 ; 14 226 ; 4 928 ; 2 391 ; 7 011 ; 3 734 ; 51 ; 32 ; 39 
POMORSKIE;TUCHOLSKI; 1 047 ; 16 842 ; 3 267 ; 2 789 ; 6 581 ; 224 ; 24 ; 1 ; 3 
POMORSKIE;WYRZYSKI; 4 710 ; 25 205 ; 7 605 ; 4 491 ; 13 485 ; 1 863 ; -   ; 7 ; 63 
POMORSKIE;WĄBRZESKI; 5 276 ; 14 362 ; 5 605 ; 2 614 ; 6 991 ; 1 481 ; 48 ; 15 ; 57 
POMORSKIE;WŁOCŁAWSKI; 7 634 ; 30 645 ; 8 597 ; 4 623 ; 11 678 ; 2 976 ; 96 ; 10 ; 16 
POMORSKIE;ŚWIECKI; 3 528 ; 26 162 ; 4 853 ; 3 491 ; 15 093 ; 1 167 ; 58 ; 15 ; 47 
POZNAŃSKIE;CHODZIESKI; 661 ; 19 136 ; 2 640 ; 3 493 ; 8 603 ; 122 ; 10 ; 2 ; 26 
POZNAŃSKIE;CZARNKOWSKI; 765 ; 16 700 ; 1 425 ; 2 963 ; 7 866 ; 167 ; 3 ; -   ; 29 
POZNAŃSKIE;GNIEZNO (MIASTO);;;;;;;;;
POZNAŃSKIE;GNIEŹNIEŃSKI; 4 042 ; 33 066 ; 6 432 ; 5 547 ; 13 625 ; 1 845 ; 55 ; 1 ; 142 
POZNAŃSKIE;GOSTYŃSKI; 6 932 ; 13 267 ; 4 220 ; 5 391 ; 8 356 ; 2 829 ; 34 ; 35 ; 98 
POZNAŃSKIE;JAROCIŃSKI; 6 037 ; 29 066 ; 4 019 ; 8 831 ; 14 627 ; 2 656 ; 2 ; 6 ; 241 
POZNAŃSKIE;KALISKI; 8 370 ; 37 398 ; 2 711 ; 9 317 ; 16 257 ; 1 705 ; 225 ; 146 ; 30 
POZNAŃSKIE;KOLSKI; 6 154 ; 37 809 ; 3 251 ; 4 887 ; 15 025 ; 907 ; 122 ; 78 ; 5 
POZNAŃSKIE;KONIŃSKI; 7 055 ; 72 403 ; 5 718 ; 9 722 ; 27 292 ; 1 810 ; 161 ; 75 ; 36 
POZNAŃSKIE;KOŚCIAŃSKI; 5 303 ; 24 905 ; 4 840 ; 5 238 ; 13 679 ; 2 400 ; 2 ; 38 ; 142 
POZNAŃSKIE;KROTOSZYŃSKI; 8 595 ; 17 905 ; 3 696 ; 9 443 ; 9 472 ; 2 163 ; -   ; 22 ; 97 
POZNAŃSKIE;KĘPIŃSKI; 2 274 ; 32 851 ; 1 665 ; 9 146 ; 14 034 ; 639 ; 14 ; 7 ; 38 
POZNAŃSKIE;LESZCZYŃSKI; 3 504 ; 20 178 ; 2 577 ; 4 702 ; 9 047 ; 1 481 ; 4 ; 55 ; 112 
POZNAŃSKIE;MIĘDZYCHODZKI; 1 118 ; 15 623 ; 1 481 ; 2 658 ; 7 796 ; 349 ; 1 ; -   ; 58 
POZNAŃSKIE;MOGILEŃSKI; 5 539 ; 28 763 ; 8 378 ; 4 035 ; 10 631 ; 4 704 ; 15 ; 9 ; 73 
POZNAŃSKIE;NOWOTOMYSKI; 4 309 ; 31 162 ; 3 791 ; 5 346 ; 15 745 ; 2 590 ; 6 ; 7 ; 109 
POZNAŃSKIE;OBORNICKI; 3 068 ; 21 915 ; 3 379 ; 4 254 ; 9 662 ; 939 ; 20 ; 1 ; 82 
POZNAŃSKIE;OSTROWSKI (OSTRÓW WIELKOPOLSKI); 3 702 ; 25 553 ; 2 252 ; 6 971 ; 13 089 ; 474 ; 16 ; 33 ; 59 
POZNAŃSKIE;POZNAŃ (MIASTO);;;;;;;;;
POZNAŃSKIE;POZNAŃSKI; 3 581 ; 33 844 ; 6 363 ; 5 622 ; 16 690 ; 1 776 ; 7 ; 6 ; 183 
POZNAŃSKIE;RAWICKI; 3 546 ; 11 971 ; 2 223 ; 3 498 ; 6 088 ; 2 066 ; 13 ; 46 ; 21 
POZNAŃSKIE;SZAMOTULSKI; 4 873 ; 21 812 ; 4 383 ; 3 822 ; 11 711 ; 2 526 ; 40 ; -   ; 60 
POZNAŃSKIE;TURECKI; 4 829 ; 37 456 ; 1 299 ; 7 396 ; 12 917 ; 498 ; 156 ; 257 ; 7 
POZNAŃSKIE;WOLSZTYŃSKI; 1 008 ; 20 247 ; 1 127 ; 2 993 ; 8 472 ; 442 ; 2 ; 13 ; 23 
POZNAŃSKIE;WRZESIŃSKI; 3 661 ; 17 397 ; 3 938 ; 3 376 ; 8 086 ; 2 697 ; 4 ; 2 ; 63 
POZNAŃSKIE;WĄGROWIECKI; 2 621 ; 28 194 ; 6 349 ; 5 684 ; 12 672 ; 953 ; 6 ; 4 ; 114 
POZNAŃSKIE;ŚREDZKI; 4 240 ; 22 434 ; 5 025 ; 4 188 ; 10 527 ; 2 567 ; 35 ; 22 ; 147 
POZNAŃSKIE;ŚREMSKI; 3 591 ; 23 869 ; 3 557 ; 4 347 ; 10 300 ; 1 215 ; 35 ; 23 ; 97 
POZNAŃSKIE;ŻNIŃSKI; 3 447 ; 19 030 ; 5 864 ; 3 666 ; 8 253 ; 1 476 ; 5 ; 4 ; 74 
STANISŁAWOWSKIE;DOLIŃSKI; 783 ; 5 867 ; 385 ; 5 782 ; 6 651 ; -   ; 13 ; 142 ; 77 
STANISŁAWOWSKIE;HORODEŃSKI; 16 746 ; 12 061 ; 7 303 ; 3 832 ; 8 264 ; 1 968 ; 200 ; 147 ; 5 024 
STANISŁAWOWSKIE;KAŁUSKI; 4 680 ; 7 870 ; 1 067 ; 7 080 ; 9 775 ; 3 ; 709 ; 755 ; 1 310 
STANISŁAWOWSKIE;KOSOWSKI (KOSÓW HUCULSKI); 802 ; 1 102 ; 453 ; 685 ; 4 077 ; -   ; -   ; -   ; 3 843 
STANISŁAWOWSKIE;KOŁOMYJSKI; 12 845 ; 14 711 ; 3 206 ; 9 197 ; 10 385 ; 237 ; 36 ; 100 ; 8 259 
STANISŁAWOWSKIE;NADWÓRNIAŃSKI; 1 411 ; 8 641 ; 527 ; 6 032 ; 13 888 ; -   ; 189 ; 89 ; 1 108 
STANISŁAWOWSKIE;ROHATYŃSKI; 15 850 ; 12 337 ; 4 930 ; 8 356 ; 13 176 ; 1 061 ; 735 ; 546 ; 2 878 
STANISŁAWOWSKIE;STANISŁAWOWSKI; 8 882 ; 14 898 ; 1 316 ; 9 539 ; 13 797 ; 98 ; 500 ; 649 ; 4 607 
STANISŁAWOWSKIE;STRYJSKI; 3 337 ; 10 277 ; 1 243 ; 13 974 ; 10 611 ; -   ; 148 ; 395 ; 94 
STANISŁAWOWSKIE;TŁUMACKI; 11 528 ; 12 400 ; 1 950 ; 6 770 ; 10 707 ; 23 ; 208 ; 285 ; 5 883 
STANISŁAWOWSKIE;ŚNIATYŃSKI; 10 330 ; 6 639 ; 2 624 ; 2 611 ; 4 713 ; 231 ; 28 ; 14 ; 9 370 
STANISŁAWOWSKIE;ŻYDACZOWSKI; 7 020 ; 9 674 ; 1 384 ; 4 660 ; 9 765 ; 184 ; 265 ; 640 ; 632 
TARNOPOLSKIE;BORSZCZOWSKI; 16 660 ; 14 652 ; 6 876 ; 1 593 ; 7 886 ; 59 ; 409 ; 36 ; 9 412 
TARNOPOLSKIE;BRODZKI; 8 313 ; 12 081 ; 5 361 ; 7 697 ; 8 614 ; 115 ; 2 373 ; 795 ; 90 
TARNOPOLSKIE;BRZEŻAŃSKI; 14 208 ; 13 274 ; 7 908 ; 10 677 ; 12 139 ; 423 ; 2 470 ; 375 ; 1 033 
TARNOPOLSKIE;BUCZACKI; 17 402 ; 18 850 ; 8 019 ; 6 020 ; 11 814 ; 99 ; 1 259 ; 248 ; 5 909 
TARNOPOLSKIE;CZORTKOWSKI; 12 745 ; 9 393 ; 5 860 ; 1 402 ; 8 036 ; 390 ; 1 276 ; 113 ; 3 780 
