District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Proso
DOBROMILSKI,37046.0,43354.0,17147.0,62460.0,306811.0,3120.0,414.0
DROHOBYCKI,27535.0,54420.0,24358.0,62733.0,732558.0,0.0,4442.0
GRÓDECKI,51241.0,56025.0,28442.0,75607.0,643828.0,8079.0,3841.0
JAROSŁAWSKI,109008.0,116627.0,32740.0,71495.0,419784.0,149990.0,4385.0
JAWOROWSKI,26563.0,73722.0,19398.0,64317.0,473392.0,309.0,3540.0
KOLBUSZOWSKI,22592.0,110357.0,28294.0,46617.0,626948.0,0.0,5613.0
KROŚNIEŃSKI,65957.0,96097.0,36852.0,73463.0,580657.0,1031.0,508.0
LESKI,16246.0,36100.0,14733.0,152326.0,520352.0,0.0,7.0
LWOWSKI,132848.0,73411.0,47591.0,144034.0,1147439.0,60103.0,4972.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,48771.0,128253.0,28995.0,59506.0,602754.0,43446.0,9150.0
MOŚCISKI,45021.0,41092.0,23258.0,43328.0,368358.0,3096.0,3713.0
NIŻAŃSKI,19772.0,71978.0,23243.0,32453.0,517233.0,2269.0,4380.0
PRZEMYSKI,88771.0,73404.0,33891.0,62427.0,774902.0,49013.0,2016.0
PRZEWORSKI,43135.0,45671.0,11664.0,34580.0,268172.0,192042.0,1395.0
RAWSKI (RAWA RUSKA),103438.0,134322.0,75771.0,91988.0,967067.0,20985.0,7156.0
RUDECKI,54646.0,33896.0,33295.0,51406.0,659559.0,28799.0,5933.0
RZESZOWSKI,97211.0,145814.0,49529.0,92984.0,667552.0,10665.0,2407.0
SAMBORSKI,62830.0,72871.0,49727.0,95051.0,909237.0,2313.0,6078.0
SANOCKI,62043.0,82460.0,53074.0,93981.0,726045.0,6003.0,252.0
SOKALSKI,210733.0,120481.0,69749.0,92187.0,1195710.0,69084.0,8831.0
TARNOBRZESKI,29427.0,101157.0,39269.0,47509.0,576716.0,27347.0,8655.0
ŻÓŁKIEWSKI,77907.0,88408.0,27376.0,52516.0,687913.0,996.0,5305.0
LUBACZOWSKI,44757.0,81572.0,26245.0,95624.0,650730.0,0.0,5420.0
TURCZAŃSKI,1929.0,26260.0,6156.0,168735.0,551214.0,0.0,10.0
BRZEZIŃSKI,40420.0,409810.0,16021.0,123924.0,2001244.0,5623.0,29.0
KALISKI,150591.0,554837.0,28874.0,184474.0,2303840.0,252477.0,162.0
KOLSKI,120762.0,612955.0,48008.0,84884.0,2467382.0,176043.0,356.0
KONIŃSKI,129677.0,952483.0,71677.0,147357.0,3807483.0,285934.0,298.0
ŁASKI,52199.0,569608.0,17895.0,125999.0,2387952.0,8017.0,3033.0
ŁĘCZYCKI,177152.0,481896.0,40737.0,128939.0,2094406.0,388303.0,1572.0
ŁÓDZKI,18800.0,352751.0,8307.0,98096.0,1587518.0,0.0,36.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,63710.0,738370.0,36675.0,176584.0,3153711.0,520.0,3822.0
RADOMSZCZAŃSKI,62525.0,740355.0,58643.0,138853.0,3517610.0,4769.0,13588.0
SIERADZKI,73950.0,702963.0,19600.0,175595.0,2865582.0,38054.0,2074.0
TURECKI,85623.0,526246.0,20203.0,112258.0,2000488.0,98289.0,2290.0
WIELUŃSKI,39390.0,770141.0,24125.0,188024.0,3431296.0,101551.0,3206.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,33011.0,387136.0,100627.0,185996.0,1919306.0,0.0,356.0
BRASŁAWSKI,37356.0,341238.0,53306.0,109141.0,1416320.0,0.0,0.0
LIDZKI,9508.0,515540.0,103584.0,192804.0,2182054.0,0.0,0.0
NIEŚWIESKI,50397.0,384193.0,91634.0,223828.0,2517307.0,0.0,378.0
NOWOGRÓDZKI,65557.0,428765.0,119818.0,222338.0,1563341.0,0.0,0.0
SŁONIMSKI,37174.0,439036.0,77553.0,142976.0,1421316.0,0.0,476.0
STOŁPECKI,31523.0,346349.0,75866.0,140371.0,1376917.0,0.0,48.0
WOŁOŻYŃSKI,11025.0,222072.0,66634.0,116361.0,1586229.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),14377.0,224080.0,78073.0,77275.0,1150583.0,0.0,0.0
BRZESKI (BRZEŚĆ N.BUG.),101624.0,686952.0,98766.0,188307.0,2969512.0,0.0,15283.0
DROHICKI,28681.0,303292.0,43509.0,117148.0,1197318.0,0.0,11403.0
KOBRYŃSKI,47058.0,370356.0,42984.0,91836.0,1314938.0,0.0,9619.0
KOSZYRSKI,8695.0,202251.0,22009.0,51598.0,930696.0,0.0,5452.0
ŁUNINIECKI,5102.0,194736.0,11639.0,32488.0,1220070.0,0.0,9882.0
PIŃSKI,12173.0,426524.0,34835.0,122174.0,1894226.0,0.0,17684.0
PRUŻAŃSKI,21468.0,369260.0,47618.0,95485.0,1731159.0,0.0,4644.0
STOLIŃSKI,9350.0,291918.0,24313.0,44048.0,1163865.0,0.0,25922.0
IWACEWICKI,5558.0,226481.0,32645.0,71842.0,1136987.0,0.0,2635.0
BRODNICKI,52753.0,305524.0,71807.0,33740.0,977420.0,113563.0,3.0
CHEŁMIŃSKI,186183.0,193577.0,97489.0,43086.0,927405.0,729766.0,8.0
CHOJNICKI,19031.0,273150.0,30500.0,61592.0,993070.0,4756.0,0.0
DZIAŁDOWSKI,9539.0,226477.0,43260.0,25772.0,940117.0,3620.0,0.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,163072.0,193096.0,95297.0,60726.0,717551.0,349813.0,12.0
KARTUSKI,6400.0,218888.0,14078.0,100645.0,1048123.0,0.0,0.0
KOŚCIERSKI,9548.0,215146.0,12851.0,61871.0,939866.0,0.0,0.0
LUBAWSKI,38915.0,287354.0,75470.0,54484.0,1067399.0,33536.0,6.0
SĘPOLEŃSKI,17052.0,197063.0,42920.0,52739.0,800825.0,34794.0,2.0
STAROGARDZKI,43421.0,227196.0,40498.0,43353.0,875274.0,110843.0,0.0
ŚWIECKI,90309.0,391435.0,87883.0,70758.0,1796227.0,204091.0,54.0
TCZEWSKI,147202.0,130808.0,78887.0,54196.0,619039.0,485154.0,0.0
TORUŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORUŃSKI,154835.0,218507.0,68700.0,37683.0,993467.0,787876.0,25.0
TUCHOLSKI,23636.0,205659.0,45025.0,35668.0,847453.0,42624.0,0.0
WĄBRZESKI,121023.0,236258.0,79043.0,34515.0,909607.0,280820.0,0.0
MORSKI,12943.0,210847.0,19222.0,84155.0,974447.0,2520.0,0.0
GDYNIA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYDGOSKI,81621.0,337473.0,94809.0,55565.0,1243246.0,194403.0,0.0
BYDGOSZCZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHODZIESKI,15712.0,233511.0,30555.0,42797.0,1000378.0,39054.0,0.0
CZARNKOWSKI,13850.0,158739.0,15290.0,22390.0,1017797.0,29444.0,0.0
GNIEŹNIEŃSKI,86602.0,391147.0,85227.0,78225.0,1967193.0,352248.0,0.0
GOSTYŃSKI,127019.0,172877.0,67407.0,92915.0,1711461.0,666947.0,303.0
INOWROCŁAWSKI,187864.0,281389.0,142148.0,40349.0,1184845.0,1499414.0,0.0
JAROCIŃSKI,138221.0,381228.0,60753.0,118982.0,2408657.0,634596.0,0.0
KĘPIŃSKI,38246.0,360255.0,21349.0,119837.0,2051380.0,110864.0,6.0
KOŚCIAŃSKI,123624.0,313125.0,74679.0,74340.0,2282917.0,498536.0,331.0
KROTOSZYŃSKI,150612.0,260345.0,55732.0,163083.0,1418745.0,508282.0,120.0
LESZCZYŃSKI,71455.0,245209.0,40137.0,64872.0,1455110.0,277702.0,399.0
MIĘDZYCHODZKI,19104.0,149209.0,12655.0,21318.0,975769.0,112984.0,0.0
MOGILEŃSKI,211475.0,454107.0,201646.0,76601.0,2082019.0,1297708.0,18.0
NOWOTOMYSKI,88500.0,331326.0,61898.0,63409.0,1984278.0,516946.0,10.0
OBORNICKI,68522.0,303707.0,59021.0,65343.0,1556462.0,234012.0,20.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),72630.0,388415.0,37669.0,106900.0,2029888.0,98936.0,452.0
POZNAŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAWICKI,61824.0,139485.0,27095.0,38895.0,833127.0,471473.0,269.0
SZAMOTULSKI,94208.0,265817.0,55470.0,40133.0,1563929.0,619356.0,0.0
SZUBIŃSKI,57632.0,240186.0,65807.0,37385.0,1123649.0,272548.0,0.0
ŚREDZKI,93262.0,297964.0,73942.0,61557.0,1525751.0,526467.0,0.0
ŚREMSKI,83870.0,365637.0,61516.0,72111.0,1552560.0,279251.0,24.0
WĄGROWIECKI,54685.0,309298.0,80759.0,58360.0,1747150.0,193211.0,0.0
WOLSZTYŃSKI,19797.0,186323.0,13478.0,30337.0,1085125.0,91428.0,50.0
WRZESIŃSKI,87654.0,240286.0,62567.0,56448.0,1472267.0,614996.0,0.0
WYRZYSKI,98903.0,387585.0,108638.0,68130.0,1828745.0,379838.0,10.0
ŻNIŃSKI,85940.0,253873.0,78297.0,41259.0,1141777.0,343532.0,0.0
POZNAŃSKI,78571.0,375366.0,81478.0,74002.0,2308222.0,315951.0,73.0
GNIEZNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
INOWROCŁAW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOLIŃSKI,7848.0,33294.0,4742.0,82608.0,641708.0,0.0,2467.0
HORODEŃSKI,146853.0,44409.0,77738.0,42666.0,873375.0,248591.0,1151.0
KAŁUSKI,30986.0,30641.0,9850.0,80058.0,693671.0,0.0,6335.0
KOŁOMYJSKI,86235.0,48245.0,30315.0,73468.0,1166072.0,29090.0,471.0
KOSOWSKI (KOSÓW HUCULSKI),10436.0,11311.0,4284.0,7208.0,299842.0,0.0,6.0
NADWÓRNIAŃSKI,13872.0,35494.0,10817.0,80037.0,1093010.0,0.0,912.0
ROHATYŃSKI,186717.0,56677.0,78554.0,117183.0,1593539.0,92770.0,6993.0
STANISŁAWOWSKI,69686.0,59005.0,12658.0,81778.0,1471092.0,9388.0,7067.0
STRYJSKI,24597.0,48174.0,16474.0,100545.0,977695.0,0.0,5245.0
ŚNIATYŃSKI,97700.0,50707.0,28829.0,23713.0,691295.0,30232.0,21.0
TŁUMACKI,101246.0,51532.0,27727.0,71763.0,1169534.0,2142.0,2937.0
ŻYDACZOWSKI,54553.0,53888.0,19257.0,64943.0,824112.0,22791.0,9100.0
BIELSKI (BIELSKO),9221.0,34110.0,6345.0,52558.0,320701.0,7618.0,0.0
BIELSKO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIESZYŃSKI,22625.0,39962.0,12904.0,77170.0,521143.0,6148.0,0.0
TARNOGÓRSKI,6361.0,34260.0,4741.0,13864.0,239431.0,4775.0,0.0
KATOWICE (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
KATOWICKI,6680.0,51436.0,4963.0,18820.0,319511.0,0.0,0.0
LUBLINIECKI,22384.0,129154.0,13251.0,58599.0,680770.0,17359.0,0.0
PSZCZYŃSKI,36326.0,232662.0,21498.0,129411.0,1469004.0,49188.0,0.0
RYBNICKI,52738.0,279633.0,21446.0,123924.0,1665343.0,79588.0,0.0
ŚWIĘTOCHŁOWICKI,3274.0,23257.0,2608.0,10685.0,167600.0,0.0,0.0
CHORZÓW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORSZCZOWSKI,146871.0,66796.0,55595.0,14526.0,798834.0,0.0,313.0
BRODZKI,70527.0,78266.0,55139.0,74313.0,758595.0,0.0,7864.0
BRZEŻAŃSKI,154158.0,40267.0,129035.0,142191.0,1208381.0,40936.0,3531.0
BUCZACKI,111050.0,69176.0,89676.0,60471.0,1285274.0,8023.0,4335.0
CZORTKOWSKI,104194.0,49505.0,87464.0,17823.0,952476.0,21280.0,2146.0
KAMIONECKI,90622.0,82535.0,31667.0,61251.0,745339.0,25330.0,8734.0
PODHAJECKI,136312.0,47961.0,83086.0,70530.0,978730.0,20354.0,2858.0
PRZEMYŚLAŃSKI,104880.0,35912.0,48744.0,90154.0,944454.0,10135.0,6242.0
RADZIECHOWSKI,104602.0,79193.0,51713.0,69402.0,797450.0,10779.0,6917.0
SKAŁACKI,123000.0,32766.0,175658.0,37627.0,976743.0,23579.0,2255.0
TARNOPOLSKI,186199.0,74475.0,163306.0,112984.0,1354358.0,38487.0,3664.0
TREMBOWELSKI,161718.0,36257.0,109642.0,41866.0,1104275.0,3286.0,2623.0
ZALESZCZYCKI,98430.0,48327.0,48987.0,12473.0,777923.0,21752.0,310.0
ZBARASKI,114698.0,32578.0,144390.0,141478.0,695064.0,14690.0,3888.0
ZBOROWSKI,86359.0,57678.0,78487.0,95022.0,942616.0,0.0,3687.0
ZŁOCZOWSKI,108934.0,62225.0,82819.0,94832.0,1111329.0,5002.0,6221.0
KOPYCZYNIECKI,116568.0,34010.0,120777.0,15597.0,1043049.0,32700.0,2200.0
BŁOŃSKI,82824.0,331543.0,28670.0,104877.0,1519427.0,322102.0,611.0
CIECHANOWSKI,151032.0,404547.0,57017.0,67263.0,1140320.0,331639.0,100.0
GOSTYNIŃSKI,76782.0,350591.0,18802.0,83349.0,1337567.0,108661.0,370.0
GRÓJECKI,113650.0,611199.0,35173.0,228915.0,3173969.0,0.0,800.0
KUTNOWSKI,200099.0,347804.0,55215.0,112435.0,1435083.0,717364.0,810.0
LIPNOWSKI,108985.0,503864.0,101784.0,59726.0,1551943.0,196305.0,36.0
ŁOWICKI,105366.0,529018.0,28664.0,164465.0,1892450.0,102338.0,10355.0
MAKOWSKI (MAKÓW MAZOWIECKI),60434.0,260347.0,18508.0,51713.0,1012120.0,18603.0,1486.0
MIŃSKI,37390.0,388670.0,47196.0,151795.0,2261981.0,0.0,4805.0
MŁAWSKI,28341.0,508197.0,23960.0,48343.0,1823147.0,35531.0,818.0
NIESZAWSKI,233480.0,569300.0,141715.0,40633.0,1867608.0,612599.0,18.0
PŁOCKI,176536.0,657211.0,97906.0,101871.0,1972698.0,517494.0,184.0
PŁOŃSKI,117723.0,596207.0,71690.0,92051.0,1746197.0,205053.0,398.0
PRZASNYCKI,75137.0,268461.0,19906.0,28221.0,928962.0,74436.0,957.0
PUŁTUSKI,82124.0,442676.0,38235.0,97104.0,1819996.0,39403.0,170.0
RADZYMIŃSKI,21211.0,267919.0,17647.0,60005.0,936691.0,0.0,611.0
RAWSKI (RAWA MAZOWIECKA),41661.0,445187.0,37844.0,105439.0,2194062.0,2008.0,1897.0
RYPIŃSKI,97353.0,449108.0,115260.0,56406.0,1385938.0,185970.0,179.0
SIERPECKI,45676.0,460315.0,31265.0,50487.0,1781896.0,42640.0,601.0
SKIERNIEWICKI,37249.0,379311.0,29773.0,147236.0,1439801.0,6479.0,439.0
SOCHACZEWSKI,60806.0,267936.0,21774.0,80393.0,1018805.0,187043.0,154.0
WARSZAWSKI,40893.0,258103.0,23253.0,107484.0,1874217.0,40808.0,6.0
WŁOCŁAWSKI,191586.0,435318.0,124458.0,74401.0,1505631.0,551752.0,150.0
DUBIEŃSKI,496473.0,420284.0,317083.0,369421.0,1726293.0,59980.0,18950.0
HOROCHOWSKI,422469.0,239994.0,175189.0,200221.0,1166157.0,11395.0,13237.0
KOWELSKI,223661.0,546107.0,93277.0,105423.0,2334706.0,1112.0,23423.0
KRZEMIENIECKI,217014.0,489544.0,226543.0,425163.0,1722912.0,0.0,32449.0
LUBOMELSKI,38617.0,206282.0,39834.0,31796.0,728963.0,0.0,8245.0
ŁUCKI,421758.0,552033.0,215353.0,251983.0,2252238.0,26313.0,24908.0
RÓWIEŃSKI,369172.0,424954.0,186284.0,263539.0,2282113.0,688816.0,21835.0
WŁODZIMIERSKI,404937.0,362887.0,145125.0,231869.0,1599684.0,85103.0,21092.0
KOSTOPOLSKI,58158.0,299798.0,42367.0,131500.0,1350928.0,0.0,16778.0
ZDOŁBUNOWSKI,196722.0,165698.0,114583.0,147540.0,896700.0,248494.0,10695.0
SARNEŃSKI,9970.0,419519.0,56871.0,101455.0,1870508.0,0.0,22517.0
OSZMIAŃSKI,8490.0,315592.0,95710.0,172503.0,1085093.0,0.0,0.0
ŚWIĘCIAŃSKI,40250.0,279482.0,45083.0,101560.0,1478486.0,0.0,0.0
WILNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZIŚNIEŃSKI,49325.0,408891.0,72752.0,218486.0,1798664.0,0.0,0.0
WILEJSKI,7083.0,325165.0,83037.0,123910.0,1428545.0,0.0,24.0
WILEŃSKO-TROCKI,20713.0,562147.0,111293.0,171904.0,2728967.0,0.0,12.0
POSTAWSKI,31854.0,311951.0,25730.0,77287.0,1096730.0,0.0,0.0
MOŁODECZAŃSKI,13184.0,206815.0,55125.0,138187.0,726908.0,0.0,0.0
