District,Pszenica (za q = 100kg),Żyto (za q = 100kg),Jęczmień (za q = 100kg),Owies (za q = 100kg),Gryka (za q = 100kg),Ziemniaki jadalne (za q = 100kg),Ziemniaki fabryczne (za q = 100kg),Siano (za q = 100kg),Słoma (za q = 100kg),Koń roboczy (cena minimalna),Koń roboczy (cena maksymalna),Krowa dojna (cena minimalna),Krowa dojna (cena maksymalna),Wieprz (kg)
CZĘSTOCHOWA (MIASTO),0.9704829597367257,0.680694853584794,0.6445993385959049,0.694262671275653,0.9599871007683255,0.19506937887612374,0.1451500496361708,0.1587178673270298,0.10239862408195471,4.121544619298677,9.190276511355435,5.9391201967533735,10.137463784113518,0.057087232925689756
SOSNOWIEC,2.2625152762957272,1.5920719740138096,1.6179292914571894,1.8955876287658624,0.0,0.5356158613271518,0.3078252076592826,0.42418313615449144,0.3182912647196982,10.897012351138605,24.99540686193375,14.652479884581853,29.24339472763185,0.1539126038296413
RADOM (MIASTO),0.5323866784359268,0.35105385846650006,0.3221594255004112,0.34916356845937274,0.4050621443844232,0.11193217256489559,0.09113898248649521,0.07196604098563252,0.04563700160064501,3.4160240843086354,5.684372092861405,3.5915510135418853,5.981417665409982,0.02713916367375635
BIALSKI (BIAŁA KRAKOWSKA),66.0310004208999,47.708036003902265,45.25596781251818,47.42445488982719,0.0,16.111716009532934,6.75,13.036545531072708,8.772409148304533,495.723866984431,803.2623460077193,467.84113932906746,719.0555268693104,3.5546534306141995
BOCHEŃSKI,43.2,32.4,30.0,30.8,0.0,12.0,7.0,7.5,5.0,230.0,408.0,266.0,480.0,2.08
BRZESKI (BRZESKO),40.86,28.43,27.0,29.86,0.0,8.67,0.0,6.71,4.14,178.0,322.0,213.0,377.0,1.82
CHRZANOWSKI,42.0,28.33,32.5,31.67,0.0,11.0,0.0,8.33,5.17,250.0,367.0,183.0,417.0,2.05
DĄBROWSKI,41.0,28.0,26.33,26.67,0.0,6.0,0.0,7.0,2.0,200.0,300.0,217.0,383.0,1.97
GORLICKI,54.1960719427196,40.52441845132582,37.35143732562043,41.76252137133148,0.0,14.216260685665741,0.0,10.929756411399445,7.886504274266296,264.43838036512204,482.6551895073319,305.46017097065186,487.43361828441977,2.3987090173645353
JASIELSKI,60.84614304959352,42.92878116005141,41.30414172348142,41.543921776163174,26.056160852052496,10.306293687562336,1.9587263142585194,12.795328301941899,5.549500611492857,274.2344273893396,523.8369270514673,305.8703017605749,525.2489913907999,2.9304850014429324
KRAKOWSKI,60.836709676708466,44.02379803597111,39.919943575968865,42.40943726459296,0.0,17.948044557983312,8.0,12.000576114862826,6.432601360366438,297.8987377248194,496.80949929383877,382.33481486263395,623.310767174234,2.909936746110604
KRAKÓW (MIASTO),42.0,30.92,27.5,29.58,0.0,12.08,0.0,8.18,4.25,216.0,367.0,273.0,446.0,2.05
LIMANOWSKI,44.75,34.25,30.5,34.5,0.0,12.5,7.0,9.0,5.0,183.0,400.0,177.0,388.0,1.78
MIELECKI,42.52751392959293,27.356880305586092,26.192969398039338,26.531199918181134,0.0,6.79445427226011,0.0,4.973978237379289,3.9791825899034317,215.87065550226117,261.63125528615063,198.9591294951716,361.11082003373645,2.0691749467497846
MYŚLENICKI,87.82745176558814,65.76463774446906,60.615284132356464,64.88346634238576,0.0,25.46120387470567,0.0,16.953200269749605,10.482120079952024,405.9003220122904,807.1304712765723,442.8375658424377,857.113468460292,3.642176916388916
NOWOSĄDECKI,70.14735477725957,55.165965039482145,47.13584208330653,46.69225043100675,0.0,23.346125215503374,0.0,15.007675129302026,9.33845008620135,251.82272762914118,513.1043971691862,383.538003448054,572.5633390800899,2.935149780601479
NOWOTARSKI,50.445220231420365,37.89797562315239,34.49321461158137,35.3448202343258,0.0,12.87856606942611,0.0,11.11872539504543,9.054248545060704,306.81660723315474,477.2694656794803,258.10890340503744,433.9414432001243,2.5267928766948824
ROPCZYCKI,65.41385695040648,46.8312188399486,44.75585827651857,44.88607822383683,25.943839147947507,11.603706312437666,7.791273685741482,12.254671698058104,7.600499388507144,319.76557261066046,551.1630729485328,407.1296982394251,665.7510086092002,3.209514998557068
TARNOWSKI,47.906573280020844,36.15961650919204,30.712720591073047,30.875228197661773,0.0,13.437614098830887,0.0,13.46256845929853,5.975045639532354,179.7388920057368,462.24041332348196,214.00182558129418,465.00304263549026,2.596141202033986
WADOWICKI,76.34416304517339,57.619118006009884,54.039428024090306,57.21797092773494,0.0,21.098833030289054,0.0,17.1728313932135,11.16969999997081,471.05727214665205,742.2203764697978,491.93858505308486,711.3881250903474,3.6008703195823095
ŻYWIECKI,49.53545486020975,40.58643458649531,39.92616184348482,42.25985034113335,0.0,14.841636458062926,5.0,13.688121296055932,9.018920866345493,208.60319389865242,413.3078412725917,274.9389915077387,461.19066920569196,2.3655697106090887
BIALSKI (BIAŁA PODLASKA),62.35003466608231,39.852273875659485,37.99081508941887,41.05011841943121,36.97036198121448,7.693568096756592,1.9662676110626243,7.10678626417577,5.136291970406372,292.2650629985824,676.0678600858615,319.1946036203337,544.9243684645941,2.923340256166803
BIŁGORAJSKI,38.57,25.14,25.5,25.17,24.17,6.16,0.0,6.4,5.46,170.0,333.0,189.0,333.0,1.82
CHEŁMSKI,42.17,25.92,24.83,27.73,27.83,5.64,3.75,5.91,3.67,223.0,427.0,221.0,404.0,1.99
GARWOLIŃSKI,42.43,25.43,26.21,26.5,31.0,7.29,5.0,8.5,4.2,229.0,467.0,326.0,579.0,2.09
HRUBIESZOWSKI,39.80251594444155,24.609444913379413,23.843879197131127,26.694687363200106,30.355657162482892,5.071131432496578,0.030484899641390603,7.055888982675882,3.5304848996413907,252.2863674731043,434.0646532855188,208.54040830344923,444.0646532855188,1.7028636747310428
JANOWSKI,39.23,24.85,23.58,24.6,26.1,5.6,4.4,7.29,4.06,214.0,397.0,245.0,420.0,1.89
KRASNOSTAWSKI,39.33,26.33,24.67,25.0,26.0,8.0,4.0,4.0,3.62,250.0,567.0,233.0,467.0,2.0
LUBARTOWSKI,40.93,26.63,24.53,24.38,29.5,5.57,0.0,4.88,4.3,179.0,463.0,206.0,430.0,2.09
LUBELSKI,38.41433267214928,24.807209717948066,24.070361904543667,24.178432917176313,24.561593780146598,5.609868019385483,0.0,5.649166569433717,3.438623129220524,288.844342854524,583.5834682162832,242.6685465478484,515.7934693830786,1.9845767774358452
ŁUKOWSKI,42.4,26.0,26.6,26.6,27.0,4.75,0.0,6.33,4.67,206.0,496.0,170.0,410.0,2.0
PUŁAWSKI,39.33,25.0,24.0,23.0,28.0,6.14,5.0,5.33,3.33,250.0,421.0,262.0,375.0,2.12
RADZYŃSKI,39.16067499127599,27.87945333729285,26.883758575246677,24.892369051154333,25.888063813200503,5.476321191253953,0.0,5.97416857227704,2.98708428613852,149.354214306926,448.06264292077793,174.24658335808033,472.95501197193227,1.2446184525577166
SIEDLECKI,60.01043599013296,37.247076860677694,35.526424680727025,37.14688123446555,35.378261594079774,6.229532747862823,4.913467502094699,5.369674048889958,3.9433805262525716,252.89022424400454,567.0750131922025,275.96957234178444,645.5565342973828,2.7411957095313153
SOKOŁOWSKI,42.6,26.18,26.44,26.8,29.0,5.23,4.1,5.0,3.58,236.0,409.0,223.0,409.0,1.94
TOMASZOWSKI,46.027484055558446,27.22055508662059,23.756120802868878,28.705312636799892,34.64434283751711,6.9288685675034225,2.9695151003586098,5.444111017324118,2.9695151003586098,222.7136325268957,395.9353467144813,247.4595916965508,395.9353467144813,2.2271363252689573
WĘGROWSKI,44.5,25.75,25.63,25.88,35.0,5.75,3.0,4.67,3.0,213.0,413.0,244.0,400.0,1.89
WŁODAWSKI,41.2,25.73,24.8,24.56,27.17,4.78,3.0,5.14,3.31,214.0,482.0,222.0,375.0,1.97
ZAMOJSKI,40.56,24.9,24.56,26.38,26.63,5.97,0.0,6.4,3.62,213.0,411.0,217.0,367.0,1.97
LUBLIN (MIASTO),0.6856673278507224,0.4427902820519371,0.429638095456335,0.43156708282368994,0.43840621985340306,0.10013198061451725,0.0,0.1008334305662827,0.06137687077947643,5.15565714547602,10.416531783716856,4.331453452151623,9.206530616921464,0.03542322256415497
BÓBRECKI,39.5,29.5,27.5,25.0,28.0,8.0,4.0,6.0,4.5,225.0,450.0,350.0,650.0,2.08
BRZOZOWSKI,41.67,27.5,28.67,28.33,0.0,6.5,0.0,9.0,6.0,150.0,275.0,350.0,400.0,2.13
DOBROMILSKI,49.90307071416052,32.8307292334068,33.28574479807605,31.433858376172726,3.1777518095087043,10.600544519041199,0.0,7.783325542852611,5.262660434282089,155.10423929511876,358.61065666640235,302.4786071331694,535.3772843806654,2.1604861881889055
DROHOBYCKI,40.8406946693103,31.981947912960642,27.651218539916755,26.812052687081934,0.0,6.764365460829898,0.2831587097978477,7.2717275872846425,4.736154363971405,108.49476129393543,290.7853316230192,160.36360877860122,457.0684903328171,2.346661388436713
GRÓDECKI,40.372496855118364,28.495909002154306,25.10382901326239,24.55541836629377,0.0,8.356116530057106,3.5,6.3891161518165545,4.223817116639436,180.1844674769791,342.94216853911024,265.6403797144448,462.1556798734504,1.972511803823731
JAROSŁAWSKI,41.40041251502569,25.730973822481896,23.42526337420327,23.42526337420327,0.7187192733818835,6.50029527560846,3.025804826527983,6.961815170899916,4.000181708066744,200.00908540333722,271.7094728359154,508.8865568511247,399.37645716972634,1.3831531932066015
JAWOROWSKI,39.2599137980919,27.736213354750582,25.833210580338115,23.940776185612297,0.29591463122620343,6.379963174373834,0.04227351874660049,5.7354292724540334,3.827142308198239,222.58228292288797,319.84609758084144,254.75366763322688,382.4500213276577,1.6946729931432523
KOLBUSZOWSKI,41.322486070407074,27.94311969441391,25.43703060196066,26.63880008181887,0.0,8.23554572773989,6.0,6.026021762620711,4.350817410096568,161.12934449773883,321.36874471384937,201.04087050482843,365.8891799662636,2.1708250532502156
KROŚNIEŃSKI,61.6136310807199,41.154542098339704,38.66136037338582,41.54545106494487,30.0,11.53636276623622,0.0,12.406362766236217,8.725453799631044,323.2636098869021,696.8181383118109,352.8090582171608,655.9090349723283,3.030454278201124
LESKI,40.75,33.25,31.33,32.6,0.0,9.67,0.0,6.75,5.0,175.0,356.0,204.0,384.0,1.87
LWOWSKI,41.4,27.8,24.4,25.9,26.67,8.8,0.0,6.4,4.5,200.0,350.0,290.0,550.0,2.07
LWÓW (MIASTO),41.4,27.8,24.4,25.9,0.0,8.8,0.0,6.4,4.5,200.0,350.0,290.0,550.0,2.07
ŁAŃCUCKI,40.399867593512035,27.685812559943614,21.713245062341358,24.467908587748973,25.0,9.889460019181955,6.5,6.848311265585339,4.113296234902685,171.66352540761656,358.91556327926696,223.39177305867446,410.9730009590978,1.9939177305867446
MOŚCISKI,39.54,26.77,23.56,24.9,26.0,6.36,4.0,5.61,3.83,206.0,400.0,331.0,494.0,1.91
NIŻAŃSKI,41.0,28.0,23.67,28.33,0.0,8.0,0.0,8.0,4.5,217.0,433.0,250.0,433.0,2.1
PRZEMYSKI,39.0,27.58,27.67,27.8,0.0,7.6,0.0,5.4,3.3,190.0,346.0,236.0,440.0,1.87
PRZEWORSKI,39.5,27.17,25.0,26.67,27.0,6.5,0.0,6.75,3.83,217.0,400.0,333.0,567.0,1.82
RAWSKI (RAWA RUSKA),40.67,24.88,22.0,26.17,30.0,6.5,5.25,7.5,5.5,225.0,400.0,300.0,550.0,1.83
RUDECKI,37.65643167845025,26.260406302077147,22.792050752746203,24.11002586149196,0.0,5.618735989916129,0.0,7.432190462852023,4.707053959806281,161.52627272598394,351.79034857499573,245.75776463830687,445.9314277711213,1.833273647503499
RZESZOWSKI,63.816501325768066,40.75964534171669,41.27539456427282,42.50664034730615,0.0,12.044177214581826,0.0,10.585325968178442,7.671249965466271,295.0728647054814,529.2662984089221,386.7991687241647,663.1179640685739,3.575627991212131
SAMBORSKI,49.072125406099545,36.90238792707127,30.2766319747142,32.33733656858057,6.51011851545745,10.002434908239517,4.716841290202152,9.311307967352592,5.496274079738383,192.9351749781784,510.1417423974861,243.27117711411208,524.6237614608744,2.6203909371708614
SANOCKI,44.67,32.0,30.0,28.0,30.0,10.0,0.0,9.0,5.0,150.0,275.0,200.0,400.0,2.13
SOKALSKI,35.721356069957224,24.521098104878657,19.911569715695215,22.64941055160331,0.0,7.596263846537725,0.0,5.854001496414393,4.480103186031424,174.22623501233315,386.2844524844872,261.8371417613921,404.2048652286129,1.8219086289861124
TARNOBRZESKI,40.14,28.18,27.0,26.5,0.0,6.83,0.0,7.3,4.2,160.0,319.0,174.0,393.0,2.03
ŻÓŁKIEWSKI,35.06413947069496,24.8467743269163,23.221284417678785,21.828007352618055,0.0,7.430811013657211,0.0,5.108682571889332,5.573108260242908,232.21284417678783,417.98311951821813,371.54055068286056,464.42568835357565,1.8577027534143027
LUBACZOWSKI,44.8407451533138,28.61649751853607,27.525646279450026,27.458516212398703,26.985366095391914,6.654889030044473,3.931921654725417,5.681448941977475,4.0918049072892995,205.69789147081178,451.71191246913725,214.96163116289682,385.08641385804424,1.9063883623229163
TURCZAŃSKI,62.12410921042964,50.11493492656129,48.09640468729298,48.11675236816477,10.312129675033844,12.882655111889385,0.0,9.093638902510154,5.474911122008123,211.46582443276736,463.4622693130923,311.8866069741172,545.9304638256431,3.4624614862035203
BRZEZIŃSKI,39.6,26.03,25.0,25.24,0.0,6.6,0.0,5.5,3.75,208.0,403.0,243.0,457.0,1.72
KALISKI,42.2,27.2,28.0,28.25,30.0,6.5,5.0,5.0,3.25,313.0,363.0,252.0,520.0,2.03
KOLSKI,42.86,27.64,29.14,28.07,29.0,7.9,0.0,10.0,6.0,242.0,417.0,271.0,464.0,1.68
KONIŃSKI,82.91,53.870000000000005,54.849999999999994,55.14,66.5,11.99,3.5,15.34,8.350000000000001,510.0,860.0,484.0,860.0,3.3
ŁASKI,41.25,26.38,27.0,26.75,0.0,4.93,0.0,6.5,4.0,200.0,463.0,290.0,550.0,1.72
ŁĘCZYCKI,41.3,26.5,25.5,26.0,0.0,6.6,0.0,6.25,4.0,230.0,450.0,290.0,490.0,1.54
ŁÓDZKI,43.2,28.0,27.67,26.8,40.0,6.3,0.0,7.5,4.8,225.0,413.0,313.0,563.0,1.3
ŁÓDŹ (MIASTO),43.2,28.0,27.67,26.8,0.0,6.3,0.0,7.5,4.8,225.0,413.0,313.0,563.0,1.3
PIOTRKOWSKI,37.5,26.7,26.5,27.2,26.0,5.88,4.5,5.0,3.0,200.0,420.0,260.0,450.0,1.77
RADOMSZCZAŃSKI,41.5,27.39,31.67,27.0,0.0,5.71,4.0,6.08,3.36,288.0,478.0,223.0,394.0,2.02
SIERADZKI,43.17,27.75,26.5,24.96,30.0,5.85,4.75,6.78,3.71,221.0,454.0,259.0,467.0,2.07
TURECKI,44.0,28.33,25.0,26.33,0.0,6.33,0.0,10.0,6.0,183.0,500.0,250.0,533.0,1.73
WIELUŃSKI,39.0,27.06,25.86,27.57,35.0,8.17,0.0,7.6,4.2,221.0,425.0,251.0,471.0,2.08
POŁUDNIOWO-WARSZAWSKI,13.868598266115324,9.37758673022305,9.37758673022305,9.889091460962488,0.0,3.0690283844366344,0.0,2.387022076784049,1.9334878821950796,76.72570961091586,196.0768134501183,89.68382945631498,238.7022076784049,0.7433868753413182
PÓŁNOCNO-WARSZAWSKI,12.015437166263913,8.124527220857084,8.124527220857084,8.567683251085652,0.0,2.658936181371409,0.0,2.0680614743999852,1.6751297942639878,66.47340453428524,169.87647825428448,77.7000239667423,206.8061474399985,0.6440534305988526
PRASKO-WARSZAWSKI,11.397468053829899,7.706672522260196,7.706672522260196,8.127036478019843,0.0,2.5221837345578826,0.0,1.9616984602116863,1.5889757527714659,63.05459336394706,161.13951637453138,73.7038135765248,196.16984602116864,0.6109289490373538
ŚRÓDMIEJSKO-WARSZAWSKI,3.3884965137908716,2.2912135266596745,2.2912135266596745,2.4161888099320206,0.0,0.7498516996340754,0.0,0.5832179886042808,0.47240657076946746,18.746292490851882,47.90719192106592,21.91233300041798,58.32179886042808,0.18163074502247603
BARANOWICKI,38.9036349887296,26.56570896663061,27.417613382442205,30.25729476848086,23.500811470664747,6.07104296325506,3.5251217205997123,5.875202867666187,3.231361577216403,248.7169213978686,384.82578783213523,162.5472793387645,261.4465276111453,1.6842248220643068
BRASŁAWSKI,44.14,38.85,27.6,25.0,0.0,10.9,6.0,6.04,4.31,150.0,270.0,114.0,199.0,2.11
LIDZKI,23.926900784577597,17.544137718140064,17.090643417555427,20.305714951551,21.32100069912855,4.60262872235156,2.0305714951551,4.474025860991738,3.1812286757429904,138.07886167054681,229.4545789525263,102.8822890878584,190.1968633795277,1.346945758452883
NIEŚWIESKI,41.0,25.5,24.24,27.64,25.4,5.6,3.2,6.08,3.17,220.0,450.0,145.0,277.0,1.72
NOWOGRÓDZKI,37.50058940664932,25.623006519289266,25.57256330231979,28.203417603672797,27.165214371859783,8.470935031078646,4.838678581368437,5.156696453421092,4.03930715809827,187.2562505798255,354.75746550831775,162.9210362079657,326.85496527638753,1.8938517918438695
SŁONIMSKI,38.67,28.28,29.25,34.0,27.5,6.55,0.0,5.93,4.75,205.0,410.0,182.0,310.0,2.21
STOŁPECKI,44.20592226404671,28.99969589860269,28.498409527318522,34.85438595588546,22.33120191487454,7.511429558143346,0.5170336700394367,8.030185608931685,4.346610021763626,231.07547638941512,545.5593252164801,188.41310506297987,324.62162632255655,2.108437668829835
WOŁOŻYŃSKI,30.64985334057437,22.99158861547743,22.31141378791948,26.274901671960876,21.83277224260092,7.876592447522948,2.519166027992414,6.297915069981035,3.862721242921701,146.9513516328908,309.8574214430669,125.1185793902899,251.0768807899106,1.5534857172619887
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),14.412056163693451,10.198259553879073,9.97189163497849,12.098553270096202,12.133832091692131,2.610175607529852,0.9694285048449001,2.5043984812061786,1.8040712450794878,80.64402313239094,137.37096888077707,61.79770739314061,113.34535258669277,0.7797164258423286
BRZESKI (BRZEŚĆ N.BUG.),39.98885435250874,24.391195926369974,24.029001654607434,27.290631294948916,21.593312611505244,6.310577964126632,3.440264886842677,5.599371114657234,4.313243217202538,204.4904984504871,442.794483801158,204.58924067980158,370.5640852660909,1.9308455817441652
DROHICKI,36.42,25.95,25.32,27.9,26.14,4.76,5.4,6.19,2.91,239.0,523.0,161.0,303.0,1.69
KOBRYŃSKI,39.48,25.08,23.73,32.26,21.73,5.54,2.7,5.42,3.86,210.0,473.0,185.0,383.0,1.83
KOSZYRSKI,42.0,25.5,24.0,28.2,24.0,6.3,0.0,5.64,4.8,128.0,338.0,143.0,313.0,1.55
ŁUNINIECKI,36.0,25.67,26.0,31.08,25.2,5.85,0.0,6.3,3.03,210.0,425.0,153.0,217.0,1.99
PIŃSKI,36.36,26.99,25.38,29.35,23.4,5.44,5.4,6.39,3.03,231.0,421.0,170.0,325.0,1.68
PRUŻAŃSKI,34.86,25.5,25.08,29.87,25.5,5.48,4.13,5.33,4.33,200.0,323.0,144.0,294.0,1.9
STOLIŃSKI,34.75,25.03,25.88,30.0,25.8,6.0,3.9,6.53,3.13,222.0,424.0,136.0,267.0,1.47
IWACEWICKI,34.0,26.64,29.6,34.08,29.25,5.16,0.0,6.3,3.13,230.0,430.0,192.0,316.0,1.73
BRODNICKI,43.42655788977568,31.001642004671236,31.663697785609415,29.702227276274684,0.0,4.817207898481771,4.194513516512178,5.540179437125136,4.379091412567055,315.3392310074202,556.1885677215753,340.505392468567,602.8583590259859,2.422133891706858
CHEŁMIŃSKI,39.67116922423398,27.04059688359606,28.187200118438266,27.953794613476095,0.0,6.757343184540854,3.2848900961426715,6.905526398620126,3.3118220399239333,280.76866053623735,568.3405909153232,273.5347944086706,472.59743606486694,1.9774623760835168
CHOJNICKI,38.53800194038218,26.9774099991941,28.338062960765157,26.4446000226241,0.0,7.368888929644164,3.943921627742191,7.002553951778802,4.68473888183066,176.5905792863861,447.8253831611399,232.7914624817123,403.4372370078001,1.9825817315900556
DZIAŁDOWSKI,39.17,27.39,27.0,25.14,0.0,5.14,3.67,6.8,3.0,178.0,414.0,231.0,428.0,2.05
GRUDZIĄDZ (MIASTO),39.25,26.88,28.0,26.57,0.0,7.0,0.0,5.0,3.33,252.0,588.0,338.0,625.0,2.11
GRUDZIĄDZKI,38.40664822555834,26.302438326191293,27.398373256449265,25.999099193709178,0.0,6.849593314112316,3.914053322349895,4.892566652937369,3.2584493908562875,246.58535930804337,575.3658383854346,330.7375057385661,611.570831617171,2.0646631275395695
KARTUSKI,39.30474848153138,28.14575798764555,28.02072134534119,27.229285736401618,0.0,7.79540453753341,3.8918721442361326,6.162767164297311,4.2710447996780925,231.05150575910724,493.25964342036,264.0291424934299,470.71480360441444,2.0272715897211326
KOŚCIERSKI,39.98831293389867,27.46910234753681,27.101135440636593,27.32136790377932,0.0,6.915107344785966,4.897533461392679,6.557319442020682,3.946819014375283,227.53973676602948,456.8202667092083,235.08924951487444,408.2597356287047,2.1051235979642864
LUBAWSKI,39.5247928645597,26.353064372262338,27.0640110596657,25.93994670255498,0.0,4.534686979113315,3.074364053636146,6.244801983948421,4.32332445042583,188.30479828521393,452.5079591445702,200.79440225311077,421.7643186082087,2.1040178992072374
SĘPOLEŃSKI,40.0,23.88,24.25,25.0,0.0,5.75,0.0,4.63,2.5,250.0,520.0,220.0,390.0,2.03
STAROGARDZKI,50.96233133597514,35.18523870618762,35.317918239026206,33.439947282711024,0.0,10.42417471605005,6.56830808400429,8.817781564661775,5.6711707880602775,255.15835440309928,580.3761861086639,304.2080092454432,572.1439976224502,2.7233733916039724
ŚWIECKI,40.82884238961664,28.097273262702576,28.65445929723543,26.9508965904029,0.0,8.211219743841735,5.163279794756184,5.859738344341839,4.211755956290601,229.6697918232148,560.6742115737206,258.836944527711,492.3036329025741,2.111671808207373
TCZEWSKI,67.67130410228648,46.17980852929909,49.59664330300697,45.529738967764786,0.0,12.120855606871855,8.140459106126361,11.150559970351091,5.367029546003916,459.024346537004,983.730431406439,451.6956506392905,799.3916490862525,3.4702330311398955
