District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka,Proso,Kukurydza
BRASŁAWSKI,44397.0,3108811.0,41805.0,186868.0,1267702.0,0.0,3571.0,12.0,8.0
LIDZKI,13374.0,590002.0,110360.0,219761.0,1942641.0,0.0,49065.0,0.0,56.0
NIEŚWIESKI,49472.0,377554.0,53658.0,143284.0,2353320.0,0.0,16776.0,587.0,0.0
NOWOGRÓDZKI,67413.0,450447.0,104994.0,231909.0,1931032.0,0.0,38411.0,568.0,0.0
SŁONIMSKI,30411.0,416070.0,45040.0,99702.0,1749058.0,0.0,40649.0,304.0,0.0
STOŁPECKI,21674.0,298013.0,36466.0,87769.0,1479952.0,0.0,20633.0,9.0,0.0
WOŁOŻYŃSKI,12229.0,235116.0,55956.0,94061.0,1263761.0,0.0,8848.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),14566.0,259555.0,61956.0,101647.0,991386.0,0.0,12644.0,7.0,0.0
BRZESKI (BRZEŚĆ N.BUG.),98175.0,726228.0,80823.0,204978.0,4151316.0,0.0,28929.0,20777.0,0.0
DROHICKI,25931.0,235531.0,33152.0,110083.0,1528850.0,0.0,11120.0,13166.0,8.0
KOBRYŃSKI,51443.0,474527.0,36518.0,91483.0,1590852.0,0.0,16281.0,17155.0,14.0
KOSZYRSKI,5037.0,227105.0,20705.0,44600.0,1071524.0,0.0,10293.0,12104.0,331.0
ŁUNINIECKI,3310.0,162148.0,8239.0,36611.0,1272811.0,0.0,11873.0,13410.0,102.0
PIŃSKI,10696.0,420785.0,28677.0,103254.0,2242758.0,0.0,22986.0,28241.0,72.0
PRUŻAŃSKI,24328.0,357198.0,28462.0,91570.0,1660951.0,0.0,11059.0,3889.0,0.0
STOLIŃSKI,11205.0,259409.0,15376.0,51478.0,1087152.0,0.0,16452.0,41994.0,372.0
IWACEWICKI,6705.0,237321.0,18969.0,66738.0,1386847.0,0.0,14968.0,2837.0,5.0
BRODNICKI,48499.0,444880.0,204713.0,50579.0,1012423.0,1725936.0,30.0,181.0,2701.0
CHEŁMIŃSKI,159315.0,258897.0,16308.0,65784.0,977484.0,3042.0,2914.0,15.0,15.0
CHOJNICKI,9254.0,513600.0,112453.0,68455.0,1216962.0,344026.0,2091.0,72.0,30.0
DZIAŁDOWSKI,4303.0,234898.0,42070.0,38440.0,1155262.0,1680.0,334.0,22.0,40.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,135052.0,284915.0,81766.0,62998.0,949658.0,28174.0,16.0,0.0,93.0
KARTUSKI,3463.0,178495.0,117303.0,68795.0,597876.0,546284.0,0.0,0.0,690.0
KOŚCIERSKI,6962.0,263986.0,94705.0,45523.0,722301.0,819977.0,408.0,267.0,658.0
LUBAWSKI,30494.0,241203.0,91984.0,45371.0,666660.0,306516.0,672.0,170.0,1140.0
SĘPOLEŃSKI,13942.0,337128.0,27464.0,73116.0,1297719.0,3572.0,7301.0,56.0,50.0
STAROGARDZKI,39261.0,213581.0,105421.0,69186.0,586124.0,380682.0,40.0,30.0,385.0
ŚWIECKI,65160.0,689293.0,199454.0,61238.0,1123670.0,717119.0,102.0,210.0,226.0
TCZEWSKI,155684.0,437584.0,107588.0,62915.0,1085282.0,302302.0,2035.0,351.0,0.0
TORUŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORUŃSKI,143062.0,235639.0,51120.0,76264.0,822325.0,37304.0,76.0,0.0,72.0
TUCHOLSKI,16457.0,249518.0,47539.0,49572.0,991521.0,72236.0,101.0,22.0,506.0
WĄBRZESKI,91018.0,356975.0,85293.0,61395.0,874792.0,266007.0,58.0,276.0,1075.0
MORSKI,7462.0,313921.0,111913.0,49361.0,1110820.0,86317.0,85.0,10.0,467.0
GDYNIA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYDGOSKI,65416.0,229301.0,12585.0,92446.0,1128469.0,0.0,466.0,0.0,55.0
BYDGOSZCZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHODZIESKI,10074.0,243790.0,38680.0,50119.0,1125076.0,26178.0,40.0,10.0,266.0
CZARNKOWSKI,12550.0,228685.0,22025.0,43260.0,936054.0,38465.0,21.0,0.0,506.0
GNIEŹNIEŃSKI,68492.0,516725.0,104672.0,90696.0,1173250.0,415506.0,251.0,18.0,1773.0
GOSTYŃSKI,146469.0,260168.0,89298.0,106196.0,1213276.0,561217.0,286.0,467.0,2521.0
INOWROCŁAWSKI,193619.83323336163,329340.9468478596,66203.07548816694,46623.11661918218,1449697.411242276,236466.0209585024,385.49743877817565,76.46881709914732,695.3143987778137
JAROCIŃSKI,114298.0,534137.0,74544.0,169987.0,1569375.0,523872.0,8.0,51.0,5102.0
KĘPIŃSKI,39222.0,501708.0,27545.0,159810.0,1916614.0,110731.0,101.0,128.0,578.0
KOŚCIAŃSKI,115478.44142675144,476323.26970432117,100792.0172398406,111140.36175778549,2184766.369505031,517019.4292330031,25.44688721795232,575.2210706342572,2711.432806416913
KROTOSZYŃSKI,156482.0,286675.0,62804.0,175955.0,1063312.0,469362.0,0.0,254.0,1541.0
LESZCZYŃSKI,67825.0,311132.0,48632.0,84513.0,1318392.0,294661.0,48.0,566.0,2191.0
MIĘDZYCHODZKI,14698.0,229024.0,21203.0,37965.0,933436.0,79641.0,4.0,0.0,654.0
MOGILEŃSKI,151876.16676663834,583200.0531521403,162344.92451183306,80566.88338081782,1334640.5887577236,1123481.9790414975,223.50256122182427,155.53118290085266,1524.685601222186
NOWOTOMYSKI,91343.0,576675.0,73312.0,100059.0,2502709.0,533700.0,60.0,62.0,2365.0
OBORNICKI,61965.0,376858.0,65216.0,84865.0,1285587.0,226360.0,161.0,7.0,729.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),61482.0,412383.0,36673.0,119049.0,1645731.0,103492.0,136.0,396.0,669.0
POZNAŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAWICKI,69576.0,197553.0,38699.0,62032.0,685358.0,441096.0,104.0,501.0,232.0
SZAMOTULSKI,95463.0,399948.0,85400.0,75853.0,1740708.0,606695.0,316.0,0.0,1042.0
SZUBIŃSKI,43536.0,221688.0,14615.0,96238.0,996392.0,1821.0,226.0,0.0,131.0
ŚREDZKI,87615.0,432454.0,99165.0,81642.0,1437573.0,553116.0,226.0,220.0,3573.0
ŚREMSKI,59560.07438874544,352627.0671170016,59859.62694632102,74386.1173699621,1287843.3320039688,242479.0901109114,277.0664900109803,225.14358743133172,1656.2366701249982
WĄGROWIECKI,38517.0,398715.0,84729.0,83111.0,1601652.0,203974.0,44.0,21.0,2076.0
WOLSZTYŃSKI,16305.0,299238.0,16666.0,45974.0,1147416.0,74614.0,16.0,142.0,486.0
WRZESIŃSKI,63640.0,288445.0,64554.0,51980.0,771748.0,604104.0,20.0,20.0,630.0
WYRZYSKI,93844.0,442873.0,136147.0,83455.0,1727775.0,444298.0,0.0,137.0,742.0
ŻNIŃSKI,66428.0,329715.0,101789.0,69787.0,910621.0,345155.0,35.0,48.0,1031.0
POZNAŃSKI,67952.48418450312,572080.6631786772,113003.35581383838,104915.52087225241,2236781.298491,423745.48065608554,59.486622771067374,107.63534193441112,4067.3305234580885
GNIEZNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INOWROCŁAW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOLIŃSKI,8756.0,74714.0,2930.0,64428.0,553563.0,0.0,113.0,1491.0,1040.0
HORODEŃSKI,185326.0,122038.0,70293.0,39167.0,942648.0,386589.0,1551.0,1989.0,59236.0
KAŁUSKI,43518.0,86934.0,7180.0,74335.0,951022.0,697.0,5222.0,9887.0,13555.0
KOŁOMYJSKI,152225.0,174030.0,37686.0,91603.0,1110906.0,43842.0,347.0,1410.0,114014.0
KOSOWSKI (KOSÓW HUCULSKI),7088.0,9993.0,2836.0,5098.0,354324.0,0.0,0.0,0.0,46102.0
NADWÓRNIAŃSKI,12454.0,101432.0,4470.0,61017.0,1222850.0,0.0,1620.0,927.0,12297.0
ROHATYŃSKI,194916.0,161503.0,57378.0,100844.0,1679880.0,160442.0,6472.0,7601.0,47842.0
STANISŁAWOWSKI,104005.0,180423.0,13224.0,100381.0,1631340.0,17436.0,3625.0,8959.0,59475.0
STRYJSKI,29559.0,102896.0,8526.0,128324.0,975486.0,0.0,1103.0,3697.0,976.0
ŚNIATYŃSKI,135238.0,86709.0,30634.0,30014.0,632142.0,47231.0,256.0,166.0,160914.0
TŁUMACKI,117312.0,124569.0,18178.0,66162.0,1222386.0,3644.0,1253.0,3169.0,73038.0
ŻYDACZOWSKI,69849.0,97042.0,10901.0,52993.0,1213591.0,28372.0,1543.0,7475.0,9603.0
BIELSKI (BIELSKO),10265.0,40776.0,5690.0,50316.0,315446.0,9055.0,0.0,0.0,77.0
BIELSKO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIESZYŃSKI,24142.0,44743.0,13229.0,88934.0,492607.0,12297.0,46.0,0.0,904.0
TARNOGÓRSKI,4141.0,34891.0,5596.0,13132.0,204672.0,4617.0,0.0,0.0,80.0
KATOWICE (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KATOWICKI,5139.0,53296.0,1498.0,24801.0,318664.0,0.0,40.0,0.0,75.0
LUBLINIECKI,20296.0,115320.0,14387.0,58670.0,680912.0,22592.0,12.0,0.0,155.0
PSZCZYŃSKI,33644.0,279136.0,18644.0,157895.0,1477369.0,46632.0,77.0,0.0,198.0
RYBNICKI,54543.0,298199.0,19371.0,140152.0,1655426.0,157116.0,0.0,10.0,743.0
ŚWIĘTOCHŁOWICKI,3121.0,24390.0,2686.0,10157.0,164450.0,0.0,0.0,0.0,0.0
CHORZÓW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORSZCZOWSKI,202016.0,186415.0,77184.0,17131.0,1150794.0,12224.0,2822.0,482.0,136082.0
BRODZKI,89659.0,134602.0,50627.0,77800.0,802395.0,12076.0,21106.0,10411.0,1285.0
BRZEŻAŃSKI,175470.0,169870.0,72754.0,128925.0,1326606.0,66372.0,22724.0,5982.0,16398.0
BUCZACKI,197871.0,208047.0,70536.0,62583.0,1326702.0,15008.0,10856.0,2941.0,88848.0
CZORTKOWSKI,160667.0,115057.0,54621.0,14274.0,1022028.0,74667.0,7146.0,1469.0,51932.0
KAMIONECKI,117396.0,109574.0,31711.0,69245.0,645066.0,26606.0,9396.0,11985.0,4038.0
PODHAJECKI,170188.0,130250.0,56239.0,73511.0,1304660.0,57901.0,16307.0,2983.0,46388.0
PRZEMYŚLAŃSKI,144941.0,108503.0,34838.0,93548.0,820183.0,57536.0,9622.0,6868.0,11678.0
RADZIECHOWSKI,97664.0,102759.0,38211.0,63102.0,873796.0,15071.0,5510.0,7189.0,212.0
SKAŁACKI,208670.0,114230.0,114458.0,33248.0,1043131.0,68127.0,25244.0,2481.0,3052.0
TARNOPOLSKI,227967.0,173342.0,107962.0,100005.0,1366948.0,150987.0,54162.0,5342.0,5181.0
TREMBOWELSKI,207173.0,166173.0,87319.0,38295.0,1170179.0,51004.0,20730.0,3001.0,25000.0
ZALESZCZYCKI,151267.0,113472.0,51904.0,15366.0,982397.0,64381.0,3072.0,360.0,104274.0
ZBARASKI,207184.0,122997.0,95729.0,104724.0,643583.0,9844.0,30156.0,4729.0,473.0
ZBOROWSKI,100170.0,119485.0,64641.0,97221.0,976478.0,16058.0,25879.0,4863.0,2972.0
ZŁOCZOWSKI,115601.0,122310.0,55436.0,91876.0,1088137.0,32733.0,18901.0,7804.0,4738.0
KOPYCZYNIECKI,175972.0,177387.0,86909.0,23110.0,1215760.0,51397.0,14215.0,3347.0,38626.0
BŁOŃSKI,64166.0,301642.0,28796.0,110337.0,1545029.0,408732.0,1136.0,525.0,1061.0
CIECHANOWSKI,146425.0,437942.0,72613.0,67115.0,1240062.0,550930.0,1565.0,292.0,16.0
GOSTYNIŃSKI,72907.0,350517.0,22448.0,77088.0,1211455.0,135583.0,771.0,940.0,41.0
GRÓJECKI,103084.0,601703.0,33987.0,211843.0,2948046.0,20562.0,1868.0,750.0,139.0
KUTNOWSKI,179080.0,325603.0,70411.0,105787.0,1225253.0,832544.0,117.0,640.0,431.0
LIPNOWSKI,59862.0,207374.0,40012.0,36622.0,601235.0,44360.0,151.0,7.0,30.0
ŁOWICKI,111887.0,444616.0,88138.0,162517.0,1537646.0,303279.0,989.0,11718.0,250.0
MAKOWSKI (MAKÓW MAZOWIECKI),59491.0,260523.0,14544.0,42524.0,1001514.0,64161.0,7090.0,3245.0,0.0
MIŃSKI,32920.0,367388.0,35484.0,144426.0,2091630.0,0.0,6064.0,5790.0,36.0
MŁAWSKI,23633.0,492974.0,26493.0,47682.0,1968064.0,47901.0,10292.0,2011.0,0.0
NIESZAWSKI,227932.0,392371.0,104319.0,74010.0,1144284.0,154211.0,63.0,0.0,616.0
PŁOCKI,164468.0,647824.0,118078.0,114215.0,1958105.0,676668.0,1742.0,665.0,59.0
PŁOŃSKI,114622.0,626971.0,80262.0,88771.0,1658558.0,319018.0,2832.0,208.0,21.0
PRZASNYCKI,78296.0,298214.0,24051.0,37446.0,925979.0,168876.0,3693.0,1394.0,6.0
PUŁTUSKI,77503.0,426713.0,39969.0,97370.0,1687457.0,47207.0,13876.0,1179.0,24.0
RADZYMIŃSKI,16259.0,249663.0,13188.0,65718.0,1272257.0,0.0,10231.0,1223.0,31.0
RAWSKI (RAWA MAZOWIECKA),30729.0,408540.0,30742.0,95796.0,2259386.0,1457.0,2268.0,3054.0,166.0
RYPIŃSKI,60277.56553278839,226539.41957886788,144350.1875265522,53434.04807200905,631174.8717851759,859869.8747598636,108.24283777504138,155.69887921919258,1169.2250721496684
SIERPECKI,41065.43446721162,537465.5804211322,40449.812473447804,57967.95192799095,1823946.1282148242,74696.12524013637,4676.757162224959,1818.3011207808074,14.774927850331588
SKIERNIEWICKI,22402.0,280131.0,22168.0,95406.0,1265083.0,15609.0,1094.0,2192.0,45.0
SOCHACZEWSKI,85263.0,309155.0,27676.0,84473.0,1308927.0,278913.0,1173.0,466.0,200.0
WARSZAWSKI,48376.0,275244.0,23119.0,101884.0,1776334.0,91142.0,2263.0,391.0,40.0
WŁOCŁAWSKI,132235.0,544948.0,145644.0,66502.0,1113406.0,702557.0,600.0,97.0,261.0
DUBIEŃSKI,537378.0,531558.0,293989.0,398980.0,2182110.0,85321.0,93086.0,22625.0,1961.0
HOROCHOWSKI,412630.0,266420.0,149926.0,148791.0,1253512.0,24637.0,13986.0,18493.0,553.0
KOWELSKI,233743.0,682400.0,84239.0,138834.0,2521554.0,1356.0,23252.0,30955.0,385.0
KRZEMIENIECKI,252208.0,603318.0,234458.0,425443.0,1958901.0,49362.0,178257.0,40704.0,3014.0
LUBOMELSKI,45364.0,236367.0,35024.0,33717.0,679048.0,0.0,13323.0,12269.0,54.0
ŁUCKI,405984.0,609170.0,189516.0,275581.0,2826140.0,56806.0,53180.0,23335.0,2976.0
RÓWIEŃSKI,454356.0,499616.0,225161.0,377580.0,1710198.0,841165.0,78897.0,24378.0,1332.0
WŁODZIMIERSKI,390666.0,355228.0,133725.0,256476.0,1777584.0,163901.0,12627.0,24774.0,235.0
KOSTOPOLSKI,63739.0,311987.0,34630.0,153212.0,1503212.0,0.0,47697.0,27307.0,347.0
ZDOŁBUNOWSKI,152889.0,158916.0,85476.0,109064.0,887237.0,283805.0,19047.0,6898.0,1801.0
SARNEŃSKI,10853.0,401516.0,37547.0,74567.0,1651526.0,0.0,47581.0,29943.0,1273.0
OSZMIAŃSKI,8413.0,219129.0,54543.0,151625.0,912354.0,0.0,18094.0,11.0,0.0
ŚWIĘCIAŃSKI,39131.0,279296.0,47988.0,137624.0,1475485.0,0.0,7123.0,18.0,7.0
WILNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZIŚNIEŃSKI,45321.0,371663.0,68232.0,211723.0,1436002.0,0.0,280.0,0.0,24.0
WILEJSKI,8672.0,272408.0,58286.0,135589.0,1434487.0,0.0,4802.0,61.0,0.0
WILEŃSKO-TROCKI,26933.0,630456.0,108670.0,273001.0,2454341.0,0.0,78157.0,41.0,30.0
POSTAWSKI,32773.0,211180.0,21082.0,69285.0,836263.0,0.0,740.0,70.0,0.0
MOŁODECZAŃSKI,14276.0,183620.0,40108.0,112807.0,1016003.0,0.0,1378.0,13.0,0.0
