District,Pszenica (za q = 100kg),Żyto (za q = 100kg),Jęczmień browarniany (za q = 100kg),Jęczmień innych gatunków (za q = 100kg),Owies (za q = 100kg),Gryka (za q = 100kg),Groch (za q = 100kg),Ziemniaki jadalne (za q = 100kg),Ziemniaki fabryczne (za q = 100kg),Siano koniczyny (za q = 100kg),Siano łąkowe (za q = 100kg),Słoma (za q = 100kg)
BRZESKI (BRZESKO),31.9,16.6,18.54,18.4,18.63,0.0,0.0,7.68,0.0,13.15,9.16,5.38
CHRZANOWSKI,34.44,18.3,20.8,19.67,21.88,0.0,37.5,13.33,0.0,15.83,9.29,6.57
DĄBROWSKI,31.45,15.75,17.67,16.92,18.81,0.0,36.71,7.09,0.0,12.42,8.4,4.81
GORLICKI,40.225507981602306,22.41708468907991,24.12783913342529,23.950054845654414,26.99471514529884,0.0,45.681193737019875,8.511270784655649,4.17,13.38164800682834,9.88045226580692,6.122444587415302
JASIELSKI,42.664959868566555,24.34349702980783,26.16519517399191,25.93295289377688,26.398912433908265,0.0,45.81179464779172,8.295580876747824,5.309088710455811,13.394889893804507,9.807061496815338,5.779191543437933
KRAKOWSKI,60.46844990896433,32.063484420730816,35.55815145997838,32.743484420730816,35.797336313980544,0.0,37.5,16.890964370490813,9.827037864994596,24.754150342235675,18.44177951648865,8.509334078495137
KRAKÓW (MIASTO),33.56,17.59,19.25,18.27,21.12,0.0,0.0,9.96,0.0,13.95,9.88,4.84
LIMANOWSKI,35.21,19.29,23.25,21.4,20.79,0.0,43.33,7.36,5.33,9.08,7.4,4.94
MIELECKI,31.137103765994354,16.18532518443221,18.105280784060614,17.906321654565442,18.50319904305096,0.0,39.791825899034315,8.346335482322448,7.4609673560689345,10.942752122234436,8.24685591757486,4.028922372277225
MYŚLENICKI,57.20470099615835,27.834771728721268,29.87164407608188,29.12631111532945,36.14993366408725,0.0,54.154539956135594,13.927177532850942,6.172962135005404,18.422716756203492,14.23015673679498,7.055115706874611
NOWOSĄDECKI,52.84172883042778,28.702142362769372,33.5581438515632,30.92355443245416,34.540239238916044,0.0,60.14351721260854,12.35903355013509,5.0,16.702034294532,12.552371846114506,7.821274225570923
NOWOTARSKI,47.33352769112967,24.38624125489032,28.0654375675931,25.9254375675931,27.048617263542237,0.0,6.897234527084473,14.060496636097078,0.0,16.242534418935513,11.835503124741436,8.842771363656167
ROPCZYCKI,49.59504013143345,26.42650297019218,30.48480482600809,28.957047106223122,29.731087566091734,0.0,58.938205352208286,11.274419123252178,6.94091128954419,16.485110106195492,12.472938503184663,7.570808456562068
TARNOWSKI,38.422763187969906,19.610772948150714,21.634017015011512,21.336390721891423,21.69504561578512,0.0,40.175289050371575,9.569695665209263,0.0,13.026317698639659,10.037175888078574,5.226281187013775
WADOWICKI,61.19893182343451,32.53559592404409,38.136511225225455,36.18357304646836,40.01421675528975,0.0,81.80581080817814,18.247844049333818,0.0,24.72954870582638,18.347822710153146,11.227887775065561
ŻYWIECKI,41.52775335191226,24.094734677801643,28.535340699901347,24.535340699901347,29.977258287389013,0.0,52.954516574778026,13.884890948488193,6.0,16.397971454935874,13.060953710904768,7.981157836120947
BIALSKI (BIAŁA PODLASKA),48.435883739176674,21.92025095876307,25.893755277350873,24.0032995388079,26.31726749341189,27.8836122067326,32.80444828100495,8.051232789618355,7.383340796388538,12.878156349835121,9.736400917393164,5.991024587916884
BIŁGORAJSKI,32.25,16.75,15.8,18.14,18.67,24.6,36.0,9.0,0.0,10.86,9.0,5.5
CHEŁMSKI,28.45,14.1,16.57,14.47,15.83,19.86,21.88,7.23,3.1,7.39,5.5,4.18
GARWOLIŃSKI,31.69,15.25,21.38,17.64,18.87,24.25,36.88,6.79,5.38,11.14,9.25,5.32
HRUBIESZOWSKI,27.717412586736657,13.817343681600054,15.405371371838955,15.395209738625157,14.373583877310951,29.76857196584065,30.822631854538052,5.053958272365262,3.450808166068984,5.509727221277826,4.071131432496578,2.4167851122339448
JANOWSKI,30.24,15.33,17.18,16.78,17.0,21.5,36.2,6.32,5.0,8.71,7.17,4.71
KRASNOSTAWSKI,27.0,14.25,16.5,14.77,16.11,22.8,28.75,5.69,3.0,6.08,5.3,3.13
LUBARTOWSKI,28.89,14.9,16.92,15.67,15.15,28.0,33.0,5.11,5.0,7.23,5.64,3.28
LUBELSKI,28.65739428143862,14.39348777126865,16.546530263369778,16.44685237021695,16.078044165551475,19.935578630566,37.8775993980754,5.6816399097113095,3.3192738419892387,9.967789315283,8.971010383754699,4.405762877355086
ŁUKOWSKI,31.55,15.17,18.29,16.57,17.33,24.5,30.25,5.26,4.33,10.17,7.61,4.89
PUŁAWSKI,28.58,14.14,16.64,14.88,15.42,29.4,26.5,5.64,3.5,9.0,7.67,5.2
RADZYŃSKI,33.0172383094511,15.483053549817994,19.057597745563758,17.494356969151266,16.578317788068784,20.41174262194655,23.89667428910816,4.510497272069165,3.8433817814982287,9.210176548927102,6.681111853329822,4.729550119719323
SIEDLECKI,48.179305304185306,23.26157654128753,27.304250562404427,25.48362005698165,25.420989662651102,31.06521799506648,36.5184788948198,7.946391474608747,7.422934948643281,13.584022007804585,9.776565426293,6.384771861996029
SOKOŁOWSKI,30.85,16.0,19.5,17.6,17.7,0.0,20.0,4.05,3.3,9.0,7.17,3.33
TOMASZOWSKI,27.02258741326335,14.352656318399946,15.134628628161046,14.144790261374842,13.986416122689052,26.16142803415935,31.42736814546195,5.256041727634739,4.949191833931016,8.740272778722174,6.9288685675034225,3.5832148877660557
WĘGROWSKI,32.18,15.27,16.67,14.67,18.64,28.0,0.0,5.62,5.0,7.9,7.17,4.9
WŁODAWSKI,31.38,14.83,17.64,16.58,17.18,24.5,23.5,5.86,3.93,9.89,6.24,3.93
ZAMOJSKI,27.33,15.4,15.8,15.0,15.4,23.33,36.6,6.71,6.0,7.73,5.7,4.35
LUBLIN (MIASTO),28.84260571856138,14.48651222873135,16.653469736630225,16.55314762978305,16.181955834448523,0.06442136943400233,0.12240060192460443,5.718360090288691,0.010726158010761388,10.032210684717,9.028989616245301,4.434237122644914
BÓBRECKI,28.67,16.53,19.0,17.33,16.64,26.0,32.29,7.08,5.0,9.5,7.64,4.62
BRZOZOWSKI,31.14,18.14,21.0,20.33,21.43,0.0,31.0,5.25,0.0,6.8,5.4,3.38
DOBROMILSKI,35.32523720235735,20.89819911046275,22.059976628557834,21.890532833320115,23.569072304841033,3.9721897618858804,4.766627714263056,8.85266043428209,7.556106566664023,9.975320868564177,7.752878241898569,5.91304744047147
DROHOBYCKI,32.16834147165177,18.120444697157154,18.896480475219985,18.685154126828074,20.137478689460742,1.5290570329083775,1.6802637839404282,7.038285213051353,4.254842838818063,10.322517264734104,8.33265168533254,5.251444934300489
GRÓDECKI,31.4482903404553,16.378638505428366,17.394660345915685,16.64013971010582,17.712742889155148,23.67630479658474,30.23507306211299,7.479346553323332,4.0452063580986515,9.436217919754327,6.689943630838812,4.53788292808667
JAROSŁAWSKI,28.82006689321189,15.877630877101401,17.694674442679315,18.36489989343793,18.391050974426744,26.32914260971111,28.112416758386622,7.931356142662767,7.627481954269848,8.327565145512647,6.506712411977941,3.890700360470691
JAWOROWSKI,28.22041280704606,15.10257588486417,17.039118503422117,16.597282460479086,16.402865784260147,27.318205858690387,32.935480138560784,7.344221953478611,5.857864397816148,8.164494138748628,6.5707826004775125,4.313919550365298
KOLBUSZOWSKI,33.05289623400565,16.88467481556779,19.094719215939385,18.923678345434556,19.99680095694904,0.0,34.53817410096568,7.873664517677552,0.03903264393106583,11.847247877765563,8.473144082425138,4.591077627722775
KROŚNIEŃSKI,45.761723440437514,24.557361439913425,24.993361412566564,24.358179605572097,27.796361398893133,10.359087615037112,41.80226865631945,7.251635784380111,4.907272279778627,13.715908077832168,10.559271951616285,6.326726790428075
LESKI,38.6,20.0,19.2,21.5,22.33,0.0,30.0,6.75,0.0,10.71,8.14,6.57
LWOWSKI,29.7,16.8,19.14,17.86,17.78,22.8,25.5,7.38,4.25,10.11,7.7,5.83
LWÓW (MIASTO),29.7,16.8,19.14,17.86,17.78,0.0,0.0,7.38,0.0,10.11,7.7,5.83
ŁAŃCUCKI,32.810081795805395,16.94248626367562,18.51435941995771,16.973210666361094,17.159121517751785,0.7132450623413573,0.9107590796051179,5.306116665393519,3.150878763187595,8.430981670189007,6.697788342287738,4.615490835094504
MOŚCISKI,29.32,16.68,18.14,17.88,17.05,24.0,31.0,7.25,3.0,9.96,7.64,4.77
NIŻAŃSKI,31.6,16.6,19.75,18.5,19.33,25.5,30.33,10.0,0.0,11.81,9.0,5.25
PRZEMYSKI,28.55,17.09,17.67,17.5,18.6,0.0,27.0,7.63,5.0,8.25,6.88,4.31
PRZEWORSKI,30.67,15.83,18.0,16.5,17.33,25.0,28.0,5.5,4.0,7.75,6.08,3.67
RAWSKI (RAWA RUSKA),29.75,15.64,17.71,16.33,17.27,24.25,27.5,7.72,6.0,9.57,7.45,4.5
RUDECKI,30.5017096595447,16.291361494571635,15.855339654084315,15.35986028989418,17.837257110844853,19.32369520341526,25.76492693788701,7.600653446676668,4.9547936419013485,8.353782080245672,6.570056369161188,4.15211707191333
RZESZOWSKI,47.498194763757084,26.450152296410955,29.132279167475726,27.618609728066808,28.30451708335508,41.42766732262153,52.23697226407543,9.082247550226368,7.541848957033778,13.153110251978823,10.812939706095976,6.4577823744774205
SAMBORSKI,36.96371870875049,20.793560781599975,20.792626188691717,20.441199574197196,23.725562707274626,33.60859111141343,37.75491398924574,7.364143230658435,5.38442790138699,11.66233962268547,9.376496906005015,6.222967101779964
SANOCKI,33.83,17.67,20.88,20.44,21.29,0.0,28.5,6.18,4.0,9.94,7.88,4.65
SOKALSKI,28.543235187449095,15.341864465943164,15.15270455364406,15.142748768786213,15.311997111369623,21.65383206581855,21.703610990107787,7.32745765537584,5.36616803837986,7.387192364522925,6.311967599875383,3.9922697279968906
TARNOBRZESKI,31.63,16.88,19.0,19.25,17.25,0.0,28.33,12.5,0.0,12.67,10.0,5.67
ŻÓŁKIEWSKI,27.6,16.0,16.0,15.83,16.5,22.0,23.67,7.56,0.0,8.75,6.79,4.69
LUBACZOWSKI,30.919520299742047,15.759793238034431,18.976207053898573,17.437817646082987,17.316083241313112,26.932651531598502,33.03210310305259,7.044421903858622,6.184653647914003,8.787940715738722,6.902504987544548,4.385380089164012
TURCZAŃSKI,47.11270261724039,31.07779541078012,27.28091670753046,26.023113465654614,32.7278862984236,12.890162093792307,15.468194512550768,9.474911122008123,1.804622693130923,14.549822244016244,12.587973166763875,8.222540523448076
BRZEZIŃSKI,31.0,15.8,18.67,17.75,18.6,0.0,0.0,7.27,6.5,9.71,7.57,4.69
KALISKI,31.27,17.87,22.45,20.73,18.67,39.0,33.0,6.64,3.5,9.63,8.09,4.38
KOLSKI,31.0,17.45,21.56,18.85,18.06,0.0,26.0,7.21,5.0,10.0,8.5,4.39
KONIŃSKI,58.86,34.74,45.2,40.54,37.42,50.0,63.1,14.04,7.75,22.43,18.27,8.08
ŁASKI,33.2,17.05,20.43,18.14,18.55,31.67,32.5,7.53,4.67,11.13,8.47,4.45
ŁĘCZYCKI,30.47,16.27,19.0,18.17,18.83,0.0,37.57,8.46,4.33,11.3,8.09,4.45
ŁÓDZKI,31.57,16.86,20.33,19.0,18.0,0.0,0.0,8.83,6.0,10.8,9.0,5.1
ŁÓDŹ (MIASTO),31.57,16.86,20.33,19.0,18.0,0.0,0.0,8.83,0.0,10.8,9.0,5.1
PIOTRKOWSKI,30.84,16.16,19.0,17.27,17.67,22.0,33.5,6.79,6.0,10.44,8.17,4.19
RADOMSZCZAŃSKI,32.58,15.77,18.67,17.2,19.09,28.33,30.0,6.13,6.0,9.56,7.1,3.96
SIERADZKI,31.7,16.45,18.83,16.89,18.56,30.0,35.0,7.73,3.0,10.57,7.81,4.38
TURECKI,30.35,16.35,20.44,18.0,16.89,27.5,34.89,7.32,5.2,9.75,7.84,4.13
WIELUŃSKI,32.42,16.1,21.67,21.0,20.56,0.0,32.5,7.0,5.0,11.8,8.65,3.71
POŁUDNIOWO-WARSZAWSKI,26.292870363269376,14.536593471076477,17.334072497977854,16.021145224616166,16.965079865595154,0.0,0.0,8.821498281149124,0.0,12.339800124798096,8.907310521238125,5.457658469660354
PÓŁNOCNO-WARSZAWSKI,29.719674440725125,16.431177709722053,19.59325795374176,18.10921415823558,19.17617374977597,0.0,0.0,9.97122236457749,0.0,13.948071751228046,10.068218691081162,6.168966365633545
PRASKO-WARSZAWSKI,30.64,16.94,20.2,18.67,19.77,0.0,0.0,10.28,0.0,14.38,10.38,6.36
ŚRÓDMIEJSKO-WARSZAWSKI,5.2674551960055,2.9122288192014745,3.4726695482803884,3.2096406171482603,3.398746384628875,0.0,0.0,1.7672793542733858,0.0,2.472128123973861,1.7844707876807147,1.0933751647061025
BARANOWICKI,31.4,14.28,15.0,17.1,17.59,21.92,24.82,5.26,2.59,8.41,6.19,3.87
BRASŁAWSKI,28.35,14.75,18.29,17.06,13.84,21.0,18.2,4.79,3.75,6.95,4.28,3.5
LIDZKI,32.88,14.9,17.14,15.6,16.95,17.75,19.25,4.7,3.71,8.1,6.12,4.13
NIEŚWIESKI,30.94,14.71,16.33,15.67,16.53,20.7,25.86,5.06,0.0,8.81,7.31,4.75
NOWOGRÓDZKI,35.53074070388978,13.344043705520175,15.258897904336477,14.750267974191928,16.336157764625575,19.012716511535434,23.403535533559122,5.538208605044971,4.809050160124071,10.154853103696245,8.038078882312789,4.760258350344308
SŁONIMSKI,30.59,14.3,17.56,17.0,18.68,22.42,18.08,4.17,3.39,9.32,6.95,4.37
STOŁPECKI,30.21925929611022,13.325956294479825,14.741102095663521,14.249732025808072,15.723842235374423,16.097283488464566,22.976464466440873,5.591791394955029,4.500949839875929,10.525146896303756,7.861921117687212,4.569741649655692
WOŁOŻYŃSKI,28.33,14.59,16.0,14.43,16.06,19.5,21.22,5.02,3.85,9.28,7.39,4.7
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),35.212854744552075,14.83949918618623,15.185890269332898,13.680313925679785,18.189873371942266,23.791840798742044,20.39938456919494,4.170748371512068,3.1647133551497526,7.870114719363308,5.338503359347881,3.810162968373114
BRZESKI (BRZEŚĆ N.BUG.),31.947572647186924,15.635118950131416,18.604396414680945,16.738723435059185,18.79342505586823,21.11942717625437,24.01039853506709,4.631878463703733,2.810342473469952,7.737645093433195,5.525921802984013,3.2246534303677645
DROHICKI,28.14,14.78,15.75,15.0,16.82,0.0,18.0,6.09,3.7,8.73,6.3,3.25
KOBRYŃSKI,28.05,13.95,17.13,15.08,16.76,20.17,19.89,5.89,3.0,8.68,5.73,4.21
KOSZYRSKI,27.88,15.07,17.71,18.3,18.83,19.33,22.0,7.67,0.0,7.2,5.12,2.55
ŁUNINIECKI,30.94,19.0,16.33,20.0,21.6,21.0,18.0,6.02,0.0,9.0,7.6,4.14
PIŃSKI,31.4,16.1,17.0,15.5,20.0,19.0,24.86,5.55,5.52,7.74,5.88,3.14
PRUŻAŃSKI,24.92,12.29,17.75,15.45,18.92,19.22,17.22,5.36,5.25,8.91,6.13,4.16
STOLIŃSKI,28.77,15.78,16.5,15.83,19.07,19.67,24.75,6.49,0.0,11.6,8.1,3.37
IWACEWICKI,34.25,13.67,19.0,17.8,19.45,19.5,27.13,4.75,3.6,8.84,5.86,3.32
BRODNICKI,32.540144651937915,18.67761861320194,24.903444099261655,23.170828023883757,23.10545167494959,25.0,28.76448646412442,6.449505438653981,0.574871193089293,8.1297838861178,8.73605746025469,5.478235200494426
CHEŁMIŃSKI,30.80530764521932,18.923000007016075,23.684797674458714,20.264201121299088,20.853445903268856,0.0,27.493070825938712,8.77854271054307,6.035107005839626,9.231050090693163,7.641855174209084,4.071159857661644
CHOJNICKI,31.79976371992021,19.480267505283354,22.48913652964693,21.778606523460656,20.131631075916996,31.5627897266816,31.72968333789352,8.561221191910294,6.578255097927187,9.775251957804105,7.930669427502544,5.454343989931607
DZIAŁDOWSKI,31.53,17.95,22.55,20.09,20.5,26.0,26.57,6.59,6.1,10.2,7.64,5.17
GRUDZIĄDZ (MIASTO),30.78,18.7,24.0,21.17,20.71,0.0,0.0,9.03,0.0,9.17,7.38,5.25
GRUDZIĄDZKI,30.11864031548244,18.298199281985756,23.484319934099368,20.71512720853682,20.265011076466582,0.0,32.07566697665739,8.835975375204887,8.483710576193397,8.972967241487133,7.221428379735555,5.1371949855842365
KARTUSKI,32.115476507869346,19.445723940474952,23.34988473161278,19.81173901464412,20.825319220035677,0.0,32.84750665620769,8.146181650739507,5.631001141064175,10.79275218703967,9.741631974041024,5.790546173394326
KOŚCIERSKI,32.42662635881273,19.926950014912066,22.866330938426064,18.947334593746767,20.479909225883507,0.0,32.982560214601605,8.056796657893225,6.169803085040167,9.179093056320877,7.895174336265675,4.916218220863673
LUBAWSKI,29.110384632867255,16.957039233336864,21.251541520759858,19.214775335225912,18.330895669805518,0.0,30.19601943930752,6.043046842928549,3.7276664150338266,6.888496957678489,5.351314930860417,3.7084516396986005
SĘPOLEŃSKI,29.5,18.5,21.0,20.06,19.45,0.0,26.33,6.72,6.0,8.25,7.67,5.17
STAROGARDZKI,40.294383048332065,25.767648198938847,31.60308973283455,28.09861105048954,27.528530087411244,0.5558830484289509,39.50299641451038,9.912641136044261,7.543125439798198,12.855288508096946,11.255480148953719,5.957736140960686
ŚWIECKI,32.0967528427404,19.975571127404102,24.94241556868903,21.75048536386371,21.46076652646107,0.0763491770343286,33.7528012994015,8.279500571442119,6.107088409535935,11.210240271835366,9.710082740841923,5.33302775749061
TCZEWSKI,53.86711632144019,33.03899813742453,40.97947811201118,35.96250769331141,36.13578073998168,0.0,49.703565028632724,13.057652121735877,8.99730431406439,15.447787766727757,11.964222561613433,6.10047997458665
TORUŃ (MIASTO),31.57280054413448,19.338718239449115,26.120874245259042,22.77514498236321,20.89065289753935,0.0,0.2526427621699364,9.341840441880837,0.03781891654568373,9.27129795742219,8.465098135037653,5.472081294435053
TORUŃSKI,31.320785953701087,19.186388168382344,25.846724637735914,22.521749213272326,20.74108118068489,0.0,32.42182640468461,9.25503963802428,4.92243983884001,9.203850933552767,8.374972406236312,5.381690995804096
TUCHOLSKI,33.336626782067825,20.329581384962882,24.98158650302545,23.09537769141969,22.05245306884698,29.80497804785512,30.781807519107318,8.292230495624604,5.147462829972184,11.849487085727281,9.649364302062652,5.347276076936057
WĄBRZESKI,28.765337375723504,16.807242951118315,20.771304173763024,18.831644763157776,18.436180223131462,0.0,27.305884906578775,7.0901142533289025,5.376434579881545,9.415822381578888,7.118361720473639,4.397189052197341
MORSKI,37.35953940396979,20.47224164009915,24.62694981739869,21.391779172589786,21.393035123418567,0.0,37.22015361018637,9.327234474960356,5.696019058282794,12.059044511364352,10.515256926145067,6.726504020731522
GDYNIA (MIASTO),36.480313895781464,19.91481155600973,23.958121781017766,20.83008824873543,20.789856306198036,0.0,0.20932813999753527,9.102476999085255,0.031892098891591246,11.757785206553217,10.239029375766618,6.567864619229471
BYDGOSKI,30.12253176900607,18.502416036922604,24.10799976347274,22.322591423521715,19.779132615211598,0.0,29.095173897414142,7.8897094798952985,6.383582891444995,9.675117819846319,8.35850384848579,4.847533258191043
BYDGOSZCZ (MIASTO),30.27746823099393,18.597583963077398,24.232000236527263,22.43740857647828,19.880867384788395,0.0,0.07482610258585723,7.930290520104701,0.01641710855500467,9.724882180153678,8.40149615151421,4.872466741808957
CHODZIESKI,30.5,18.88,23.0,21.36,19.86,0.0,33.0,6.43,4.25,8.33,6.68,4.5
CZARNKOWSKI,35.057921963987376,21.703885004330328,26.840240851164413,23.651162800747308,21.885681755025495,0.0,3.409671566211918,6.541187323881939,3.529945844919477,9.436897105347008,8.211187323881939,3.2751545097323613
GNIEŹNIEŃSKI,31.35324111436369,19.99642884471459,24.21361299507428,21.07603888573801,21.780006161260726,0.0,31.79744080171613,7.640830959560024,5.055524556866124,10.112146385208378,8.550640790956235,3.930722184061096
GOSTYŃSKI,34.00136229138088,21.08033858424966,24.78906481163635,22.241316221595397,23.056469845472215,0.0,34.646429487747405,10.015458672254923,5.583886440202351,10.476626964292235,9.299106939566117,4.229409873339257
INOWROCŁAWSKI,29.955067560180925,19.11182822847907,25.399916790698867,22.46877629555389,21.032913552999762,0.0,32.97533057038098,8.664688963688697,6.337601070583734,12.873252174623207,10.041136696206102,5.792963478580443
JAROCIŃSKI,55.93969867451371,35.26693857060933,40.753803880368864,36.880669910309905,37.278580316866694,0.0,61.21820573053062,13.144402450312993,3.3731339700589578,23.102834925147395,18.20895454311202,7.683283252454242
KĘPIŃSKI,54.16600591725964,31.89342429166329,40.80592184719414,35.299943298152336,35.585025553731704,0.0,61.645015775855086,12.169728234050293,5.081738959529391,14.012443928135358,13.39444795019002,6.603947713289398
KOŚCIAŃSKI,57.666370578472716,35.75794757590896,44.82744285515034,39.84347009783607,36.39750537464372,0.0,58.52526455509135,14.905793004936276,4.929311817917632,18.23790714052482,12.659592252481989,6.881402605910697
KROTOSZYŃSKI,56.2188157470301,35.36951359494887,40.74652747091575,38.486536237701486,34.272939102912694,0.0,58.38862931856864,15.808514601967632,4.997796964602205,19.2062128564928,16.590778968450905,7.6786720344665875
LESZCZYŃSKI,34.685472334083165,21.311064048467372,25.340862161991243,22.32642150065985,23.24406080048744,0.0,4.137337484458822,8.878083207765702,5.2601700787008445,9.808678457963842,8.284089798566523,4.060190323066704
MIĘDZYCHODZKI,31.33,18.8,23.8,21.8,18.86,0.0,0.0,8.1,0.0,11.0,8.25,4.0
MOGILEŃSKI,58.84095097100226,36.850332860220334,49.19655663393197,41.87024408674103,40.12605246052883,0.0,60.69989867632539,12.827935149255113,9.051471115049587,20.5201106117517,16.560023172522776,7.288103946351173
NOWOTOMYSKI,60.03752503529644,37.47037241041997,44.77779174195076,41.89031644319745,40.98558487454649,0.0,71.88517168510674,14.707547844823537,5.9,18.656826501610198,15.638269188036876,9.243713810477324
OBORNICKI,28.96640251142218,18.429393716742524,20.572571060668455,20.287096759252503,18.651153716211297,0.0,29.99177824004708,6.2760648039272295,4.610791275795836,8.809761416262448,6.24510263736986,3.909656323054484
OSTROWSKI (OSTRÓW WIELKOPOLSKI),70.02018064030986,40.85996195174937,47.59414219938455,45.34731391291116,44.99988274255804,0.0,89.74886203516087,19.000724532162995,13.608616757289916,23.049728088759977,19.12017053523809,9.732192047805135
