District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka,Proso,Kukurydza,Mieszanki na ziarno: Jęczmień,Mieszanki na ziarno: Inne mieszanki zbóż,Groch,"Fasola, bób, soczewica",Len: Nasienie,Len: Włókno,Konopie: Nasienie,Konopie: Włókno,Rzepak i rzepik,Chmiel,Tytoń
WOŁKOWYSKI,38189.0,366192.0,77466.0,160033.0,1951466.0,0.0,19741.0,73.0,13.0,1172.0,2627.0,10114.0,927.0,4341.0,1653.0,535.0,449.0,434.0,0.0,2223.0
WYSOKOMAZOWIECKI,71255.0,250980.0,34872.0,75556.0,881500.0,8428.0,687.0,128.0,31.0,5443.0,10367.0,13627.0,173.0,3209.0,2199.0,341.0,183.0,284.0,0.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,5482.0,98139.0,15262.0,16298.0,798663.0,0.0,40.0,0.0,0.0,660.0,87.0,90.0,13.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0
CZĘSTOCHOWSKI,22113.0,584995.0,35766.0,115455.0,2404803.0,7752.0,1053.0,2585.0,193.0,2464.0,1628.0,1465.0,1056.0,491.0,170.0,0.0,0.0,634.0,13.0,0.0
IŁŻECKI,31091.0,354359.0,157679.0,225460.0,1892399.0,7614.0,12473.0,9126.0,0.0,3339.0,518.0,3364.0,2052.0,950.0,560.0,433.0,200.0,1954.0,168.0,0.0
JĘDRZEJOWSKI,108540.50561710201,336183.0912636793,91378.22768254904,130387.5106970814,1959430.4618104566,3810.1166973577137,70.1065757937771,4533.6099151546005,292.95999696532135,2532.4097323357505,1647.729459717082,4049.0700605679704,994.9281346494878,192.04715379230953,42.48590031646257,30.677074211464237,14.39827894792014,771.1946617038737,0.0,20.447641186219975
KIELECKI,28070.0,280889.0,55124.0,72266.0,2293289.0,0.0,1808.0,1864.0,0.0,809.0,448.0,981.0,301.0,1178.0,690.0,124.0,89.0,50.0,0.0,0.0
KONECKI,15563.0,288240.0,32541.0,73538.0,2412616.0,0.0,846.0,3876.0,20.0,85.0,285.0,1093.0,131.0,679.0,341.0,46.0,36.0,149.0,0.0,0.0
KOZIENICKI,38551.0,452182.0,109897.0,169500.0,1902437.0,22470.0,15612.0,11061.0,6.0,1533.0,2948.0,1728.0,1098.0,1575.0,803.0,303.0,206.0,1011.0,173.0,0.0
MIECHOWSKI,118002.49438289799,311859.9087363207,143996.77231745096,201320.4893029186,1763421.5381895434,122063.8833026423,386.8934242062229,9167.3900848454,1614.0400030346786,1794.5902676642493,2955.2705402829183,3744.9299394320296,1610.0718653505123,254.9528462076905,60.51409968353743,84.32292578853577,49.60172105207986,1767.8053382961264,0.0,2546.5523588137803
OLKUSKI,30844.0,260209.0,73644.0,119455.0,1985623.0,0.0,1110.0,33.0,0.0,1898.0,1214.0,835.0,261.0,147.0,72.0,78.0,47.0,395.0,0.0,0.0
OPATOWSKI,77317.0,311857.0,167512.0,300491.0,2328730.0,254258.0,3402.0,8180.0,0.0,2132.0,2903.0,7687.0,797.0,473.0,247.0,120.0,88.0,3372.0,102.0,0.0
OPOCZYŃSKI,21776.0,496878.0,46225.0,142421.0,2191673.0,0.0,6790.0,8706.0,48.0,762.0,838.0,2693.0,821.0,1785.0,774.0,140.0,144.0,968.0,7.0,0.0
PIŃCZOWSKI,99245.0,263433.0,125980.0,126203.0,1362355.0,219195.0,422.0,30000.0,222.0,4262.0,2085.0,2641.0,1895.0,49.0,26.0,84.0,40.0,2028.0,0.0,0.0
RADOMSKI,51412.0,706510.0,131954.0,212043.0,2971830.0,617.0,10032.0,11945.0,87.0,2126.0,1001.0,7683.0,5943.0,2561.0,1980.0,168.0,163.0,4216.0,98.0,0.0
SANDOMIERSKI,61176.0,237091.0,132499.0,176993.0,1690595.0,185788.0,436.0,24591.0,115.0,1955.0,1369.0,5925.0,2013.0,378.0,152.0,382.0,244.0,1937.0,82.0,0.0
STOPNICKI,71950.0,343334.0,103848.0,130430.0,2351327.0,8571.0,916.0,31410.0,224.0,2429.0,3600.0,3070.0,2254.0,129.0,52.0,123.0,61.0,678.0,18.0,0.0
WŁOSZCZOWSKI,72652.0,303562.0,44210.0,82732.0,1686684.0,0.0,221.0,1734.0,111.0,3308.0,1804.0,1648.0,396.0,859.0,309.0,65.0,27.0,502.0,75.0,0.0
ZAWIERCIAŃSKI,13342.0,200327.0,24498.0,38366.0,1327348.0,0.0,653.0,51.0,12.0,1519.0,454.0,1056.0,548.0,91.0,49.0,19.0,9.0,37.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),12409.0,99914.0,7791.0,103559.0,736991.0,5139.0,21.0,0.0,29.0,3356.0,522.0,27.0,192.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0
BOCHEŃSKI,51288.0,123586.0,38081.0,82590.0,629715.0,0.0,0.0,2853.0,647.0,876.0,148.0,842.0,891.0,3.0,2.0,13.0,10.0,158.0,50.0,0.0
BRZESKI (BRZESKO),51756.0,169221.0,53765.0,100725.0,1266889.0,2466.0,316.0,7050.0,837.0,926.0,502.0,1450.0,1491.0,25.0,28.0,45.0,32.0,59.0,0.0,0.0
CHRZANOWSKI,9490.0,93781.0,9115.0,41437.0,634723.0,0.0,6.0,495.0,31.0,335.0,172.0,320.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DĄBROWSKI,35910.0,93197.0,29946.0,52853.0,505965.0,8004.0,93.0,5020.0,4175.0,462.0,1203.0,728.0,1308.0,40.0,23.0,65.0,69.0,379.0,0.0,0.0
GORLICKI,22461.0,73356.0,35933.0,95155.0,596626.0,0.0,9.0,44.0,26.0,4509.0,700.0,516.0,1374.0,490.0,662.0,6.0,9.0,12.0,0.0,0.0
JASIELSKI,29251.719894987116,121528.97962755547,47073.43756091993,91768.36950074087,823215.5563654649,1736.2737029211921,367.21235008153843,1334.5800897279069,233.055080567225,4830.7183687485585,824.4986240822471,1506.539934507666,5370.826208508374,262.1174085775059,159.07609815208716,168.090593038199,115.10581266861641,60.0703001976424,0.0,0.0
KRAKOWSKI,41163.0,187279.0,32004.0,137719.0,1129811.0,18141.0,181.0,528.0,74.0,1036.0,1683.0,956.0,556.0,5.0,3.0,0.0,0.0,447.0,0.0,0.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,33451.0,53732.0,36563.0,104840.0,489489.0,0.0,0.0,0.0,0.0,2191.0,1007.0,624.0,209.0,308.0,203.0,111.0,53.0,0.0,0.0,0.0
MIELECKI,27427.51079655688,105917.88217804955,29114.684214675934,67965.4334311981,775393.4674250574,622.742075319887,315.350220249847,2682.9638612423887,117.38588640215123,2493.9526882219757,1263.3904722943396,649.6015578017352,415.8245806449086,69.63569532331006,68.64089967583419,29.843869424275738,36.807438956606745,123.35466028700638,0.0,0.0
MYŚLENICKI,31674.0,92218.0,34438.0,134220.0,825568.0,0.0,0.0,140.0,72.0,1330.0,716.0,1042.0,661.0,218.0,182.0,2.0,3.0,24.0,0.0,0.0
NOWOSĄDECKI,27223.0,77532.0,64759.0,123126.0,868764.0,0.0,28.0,44.0,81.0,7462.0,393.0,1591.0,1650.0,1205.0,885.0,277.0,313.0,32.0,0.0,0.0
NOWOTARSKI,922.0,27525.0,56137.0,229166.0,802743.0,0.0,35.0,0.0,0.0,3530.0,22.0,1406.0,395.0,1226.0,1483.0,49.0,96.0,0.0,0.0,0.0
ROPCZYCKI,50629.280105012884,223337.02037244453,66785.56243908007,108055.63049925913,1309245.443634535,25195.726297078807,292.78764991846157,3557.4199102720927,75.94491943277502,2369.2816312514415,687.5013759177527,744.460065492334,1139.1737914916253,161.8825914224941,104.92390184791286,124.90940696180101,145.8941873313836,96.92969980235759,0.0,0.0
TARNOWSKI,64294.0,197013.0,55354.0,124181.0,907280.0,6264.0,1055.0,2064.0,218.0,2222.0,1521.0,1594.0,2092.0,66.0,42.0,67.0,32.0,50.0,63.0,0.0
WADOWICKI,32683.0,146608.0,14684.0,190280.0,1131006.0,18761.0,0.0,34.0,110.0,3233.0,797.0,673.0,640.0,39.0,22.0,0.0,0.0,0.0,0.0,0.0
ŻYWIECKI,6987.0,62758.0,24581.0,140746.0,655619.0,0.0,0.0,0.0,0.0,2653.0,264.0,33.0,78.0,403.0,156.0,0.0,0.0,20.0,0.0,0.0
BIALSKI (BIAŁA PODLASKA),47356.74146904151,344761.8186822093,32964.63786880324,152269.1291691146,2938130.795852711,5122.861925552855,8134.78621137671,6542.943644531762,19.418502159550357,2535.8401012703366,1849.1114634691176,6281.67237732086,1418.2045065537868,2479.665923865002,1624.1100958624925,946.3831835141812,658.1417089567298,1691.5395373122042,0.0,0.0
BIŁGORAJSKI,14839.0,103559.0,34111.0,71400.0,852161.0,0.0,26107.0,6807.0,16.0,409.0,143.0,884.0,236.0,2310.0,2016.0,2660.0,2398.0,8.0,0.0,0.0
CHEŁMSKI,113822.0,279306.0,117401.0,107666.0,1841795.0,115952.0,12062.0,5961.0,34.0,8513.0,1101.0,4207.0,1628.0,1661.0,682.0,1287.0,634.0,2579.0,101.0,267.0
GARWOLIŃSKI,44654.0,363972.0,113057.0,147588.0,2270825.0,238.0,13946.0,11628.0,40.0,3066.0,1483.0,3543.0,1276.0,2559.0,1807.0,329.0,248.0,1442.0,12.0,0.0
HRUBIESZOWSKI,180025.0,201772.0,139183.0,146749.0,1393222.0,273281.0,13314.0,11241.0,356.0,3160.0,1494.0,4277.0,4114.0,1607.0,885.0,1149.0,1234.0,4086.0,37.0,1419.0
JANOWSKI,45628.0,229332.0,111726.0,187179.0,1812214.0,46609.0,36969.0,16291.0,514.0,39000.0,3565.0,2039.0,1708.0,2600.0,2156.0,1431.0,1261.0,1843.0,419.0,0.0
KRASNOSTAWSKI,159587.0,230137.0,122490.0,143507.0,1664759.0,219835.0,31817.0,8769.0,111.0,18062.0,2619.0,2097.0,405.0,1049.0,621.0,873.0,696.0,1731.0,246.0,2157.0
LUBARTOWSKI,27388.0,231690.0,35126.0,76564.0,1572024.0,33606.0,44497.0,4252.0,78.0,2842.0,677.0,753.0,333.0,883.0,670.0,153.0,117.0,1120.0,290.0,328.0
LUBELSKI,194626.0,396982.0,183030.0,236080.0,2501513.0,494796.0,29238.0,5500.0,478.0,32801.0,1532.0,2840.0,1644.0,609.0,504.0,328.0,253.0,2097.0,380.0,1839.0
ŁUKOWSKI,35557.0,414849.0,42821.0,188909.0,2195156.0,0.0,26048.0,5629.0,32.0,1882.0,627.0,3947.0,715.0,4272.0,3217.0,73.0,56.0,1106.0,112.0,0.0
PUŁAWSKI,57159.0,255368.0,129123.0,106589.0,2015141.0,204835.0,28911.0,16438.0,54.0,11574.0,1252.0,1837.0,644.0,689.0,501.0,410.0,401.0,1035.0,1182.0,1980.0
RADZYŃSKI,58068.918522532826,226744.5896869648,18637.41455598027,112372.11945500702,1799833.7829908554,19416.04785990038,17969.30337064729,8021.317003043971,125.45754001781783,802.5299782092156,747.7667662966761,2280.1410050857367,578.4986567488266,2286.1151736580136,1097.255627774883,137.4058771623719,106.53933953894054,608.3694996102118,0.0,0.0
SIEDLECKI,59967.0,436035.0,30204.0,157427.0,2444958.0,2500.0,1865.0,1652.0,63.0,1353.0,11900.0,6275.0,457.0,4536.0,2412.0,34.0,58.0,640.0,0.0,0.0
SOKOŁOWSKI,68698.0,232273.0,40694.0,90267.0,1483300.0,51823.0,1866.0,1921.0,63.0,7434.0,9010.0,6015.0,599.0,2741.0,2515.0,15.0,34.0,329.0,0.0,0.0
TOMASZOWSKI,122305.0,179736.0,121732.0,126731.0,1023670.0,203744.0,14443.0,7770.0,265.0,2925.0,3723.0,2297.0,1848.0,1208.0,1132.0,1912.0,1636.0,1400.0,95.0,668.0
WĘGROWSKI,46970.0,212925.0,35216.0,93860.0,1360264.0,20856.0,5115.0,4243.0,10.0,1720.0,1339.0,2043.0,200.0,2544.0,2089.0,38.0,37.0,64.0,0.0,0.0
WŁODAWSKI,42124.0,282775.0,32226.0,90541.0,1700681.0,14358.0,35224.0,11006.0,0.0,271.0,594.0,5384.0,2865.0,2654.0,1941.0,931.0,1030.0,2048.0,92.0,0.0
ZAMOJSKI,105092.0,231457.0,128407.0,150928.0,1145860.0,169156.0,10752.0,7215.0,169.0,3901.0,1522.0,3083.0,1511.0,2640.0,911.0,4179.0,2053.0,555.0,137.0,2663.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,60229.0,73031.0,29077.0,57946.0,844247.0,186221.0,3154.0,5639.0,6545.0,866.0,365.0,3255.0,831.0,964.0,671.0,1009.0,585.0,119.0,10.0,0.0
BRZOZOWSKI,22342.0,104474.0,38057.0,65454.0,685710.0,8569.0,105.0,301.0,12.0,1041.0,354.0,513.0,718.0,165.0,160.0,302.0,296.0,5.0,0.0,0.0
DOBROMILSKI,20551.550755477256,89729.50868993468,23229.49222118924,93660.87134602127,619082.1893385178,7350.254327098083,153.8915276331238,617.3679993705408,281.97545812946606,1104.1710948477394,874.3419049162135,511.75340841655424,1221.0596734050735,915.7473204121317,1126.9100764256568,1119.6479800518894,1079.2569913946081,128.0,0.0,0.0
DROHOBYCKI,25477.847997083325,98893.66892941407,24101.322844226102,80717.96725062805,1006675.3038136815,212.01180219491502,391.98743731270025,4822.675723390841,659.0295783984078,408.88130616017634,126.24709011138903,560.5249352515034,2481.587241693079,3105.618250219266,1816.223014618376,833.9657150803223,708.777781765749,0.0,0.0,0.0
GRÓDECKI,32719.022971279937,101246.9483675441,29574.467407943615,87150.70398588806,736924.4133027904,10966.880786054067,5542.932245977427,4880.42792476791,246.8806955260524,2305.0574751909303,685.751950927899,883.5912638050726,3013.3372242282744,2603.6048812270765,1434.013971010582,1102.2780468595938,778.4861729011367,97.6743374274006,0.0,0.0
JAROSŁAWSKI,48615.570261957175,127900.1847642121,40361.01893204362,78955.92446677943,867112.3865490953,221173.80834048352,2772.4085262712424,4332.661962434917,1134.9447464754562,922.6240374823979,1110.9354610741582,702.4836727381738,476.2762530214771,966.2502863286458,540.3212744419807,1215.0480265189983,771.5278658270574,844.2796081575268,0.10267418191169764,0.0
JAWOROWSKI,17823.80638165969,114470.46491901236,28296.245464050982,67791.57798156477,711704.2557548473,516.6721590062486,7722.965878966385,6486.525453836627,116.20613378452444,517.6520362656952,510.03178123630005,411.5084909685676,491.0671817260113,2283.4589263069056,1275.6022956477066,1457.0834063299312,952.92154889684,3.001419831008635,0.04227351874660049,0.0
KOLBUSZOWSKI,12618.489203443121,95090.11782195047,23606.315785324066,37542.566568801914,588671.5325749426,3.257924680112961,2970.649779750153,4379.036138757611,5.614113597848769,408.04731177802427,413.60952770566047,229.3984421982648,355.1754193550914,850.3643046766899,744.3591003241658,256.15613057572426,434.19256104339325,0.6453397129936217,0.0,0.0
KROŚNIEŃSKI,26391.0,90581.0,36312.0,72947.0,801796.0,3945.0,248.0,353.0,27.0,5074.0,719.0,663.0,1856.0,179.0,193.0,115.0,137.0,59.0,0.0,0.0
LESKI,8109.0,45132.0,15259.0,127435.0,644589.0,0.0,19.0,5.0,0.0,137.0,179.0,543.0,1748.0,2116.0,2227.0,1017.0,523.0,14.0,0.0,0.0
LWOWSKI,71478.0,173194.0,42894.0,136937.0,1279355.0,50870.0,10389.0,7258.0,2511.0,1937.0,1984.0,1987.0,1643.0,1305.0,839.0,1077.0,653.0,42.0,75.0,0.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,33034.7807542629,105186.74658307174,26706.321708763637,51919.08105837054,761692.8604714656,70133.15825683097,6105.460492931337,9877.387615569012,91.24588571646072,481.3951997760851,1170.9287584044057,870.1014197118249,497.5306341415778,1278.2558294062985,1044.822996396368,490.8329400862057,417.0489947331532,10.55288100401887,142.0,0.0
MOŚCISKI,35609.0,97747.0,25901.0,50294.0,789271.0,5128.0,1240.0,6092.0,1793.0,754.0,1215.0,434.0,769.0,2019.0,1025.0,1387.0,923.0,256.0,55.0,0.0
NIŻAŃSKI,9708.0,65214.0,17088.0,29741.0,521465.0,3176.0,3231.0,5617.0,464.0,490.0,180.0,248.0,600.0,984.0,749.0,736.0,632.0,0.0,0.0,0.0
PRZEMYSKI,58946.0,143234.0,37350.0,73367.0,1113090.0,82715.0,196.0,1488.0,1302.0,1453.0,1104.0,2246.0,1948.0,144.0,89.0,443.0,355.0,639.0,0.0,0.0
PRZEWORSKI,42185.0,86070.0,15895.0,42218.0,451211.0,295271.0,327.0,2140.0,372.0,1405.0,1087.0,503.0,235.0,19.0,12.0,106.0,56.0,250.0,0.0,0.0
RAWSKI (RAWA RUSKA),53195.0,106955.0,62818.0,72112.0,610781.0,21746.0,11070.0,7943.0,277.0,1391.0,950.0,2152.0,1372.0,845.0,500.0,1253.0,953.0,541.0,0.0,0.0
RUDECKI,35294.977028720066,70360.0516324559,30959.532592056385,48741.29601411194,832048.5866972096,27607.11921394593,2623.067754022574,7609.57207523209,5467.1193044739475,1211.9425248090697,959.248049072101,174.40873619492746,2886.6627757717256,2806.3951187729235,1535.986028989418,1345.7219531404062,820.5138270988633,512.3256625725994,0.0,0.0
RZESZOWSKI,54492.21924573709,153707.25341692826,53852.67829123636,88148.91894162945,916892.1395285343,22530.841743169032,449.5395070686628,3249.612384430987,201.75411428353928,4960.604800223915,1232.071241595594,1572.898580288175,2068.469365858422,249.7441705937015,229.177003603632,277.1670599137942,334.9510052668468,501.4471189959811,0.0,0.0
SAMBORSKI,37636.60124743942,128797.82238065127,45112.184934584664,67253.16140335069,1325568.5068478007,4396.733870707002,207.121035054176,4928.956277238619,207.9949634721261,1469.9475989920845,378.4110049723975,736.7216563319424,2770.3530849018475,1215.6344293686025,1331.8669089559671,704.3863048677883,741.9652268396432,0.0,0.0,0.0
SANOCKI,21320.0,94475.0,45013.0,87977.0,840089.0,12147.0,59.0,140.0,43.0,3158.0,459.0,1835.0,3752.0,975.0,529.0,641.0,343.0,50.0,0.0,0.0
SOKALSKI,117965.09920215052,125340.34462484403,74936.19704653317,89112.23910562237,1052658.9826887443,66153.20364494,6607.654410153457,9431.11499583904,142.3677234672208,3062.3994222739243,2815.4959577993036,6241.281527384665,1190.711868998574,1780.0943325831524,1019.4723694435951,2338.613863108403,1548.1245453953031,155.3102437824227,0.0,0.0
TARNOBRZESKI,14961.0,86516.0,36551.0,37246.0,604721.0,30117.0,944.0,8824.0,0.0,893.0,816.0,784.0,258.0,689.0,379.0,247.0,206.0,8.0,0.0,0.0
ŻÓŁKIEWSKI,50097.0,91025.0,27604.0,49188.0,568324.0,1929.0,5086.0,5815.0,703.0,873.0,1416.0,1485.0,1300.0,1315.0,951.0,1165.0,839.0,24.0,30.0,0.0
LUBACZOWSKI,31475.623356383134,101912.35031677556,31095.7356039054,84302.49755165582,986760.3576960575,5834.51950051025,11248.625594762372,6468.812583728456,62.84911974001928,659.7239262519068,674.0327576895419,1274.0078362932586,424.6565652525116,1994.2907873644488,1102.0764299103125,1910.8685671510705,997.5505852761027,295.7189720114646,3.855052299341702,0.0
TURCZAŃSKI,1943.0,22516.0,4080.0,129286.0,511271.0,0.0,1.0,0.0,0.0,233.0,86.0,139.0,1381.0,2476.0,3021.0,449.0,549.0,0.0,0.0,0.0
BRZEZIŃSKI,25297.0,372090.0,14105.0,115476.0,1613746.0,9582.0,975.0,112.0,60.0,998.0,1205.0,2333.0,298.0,141.0,76.0,12.0,6.0,1297.0,10.0,0.0
KALISKI,94190.0,547768.0,31278.0,190152.0,2199043.0,244338.0,2754.0,1276.0,360.0,3607.0,4825.0,11617.0,426.0,860.0,513.0,21.0,22.0,3626.0,8.0,0.0
KOLSKI,87002.0,557274.0,53933.0,89853.0,1774449.0,159078.0,1396.0,225.0,100.0,7760.0,6166.0,7645.0,827.0,253.0,149.0,8.0,5.0,3506.0,0.0,0.0
KONIŃSKI,94272.0,904884.0,81676.0,180026.0,3221090.0,232604.0,3443.0,314.0,441.0,15156.0,8582.0,11777.0,718.0,386.0,260.0,92.0,82.0,2338.0,25.0,0.0
ŁASKI,33465.0,501512.0,20808.0,102127.0,1745687.0,9384.0,1730.0,2776.0,304.0,2375.0,2309.0,2492.0,1248.0,813.0,261.0,27.0,16.0,2095.0,0.0,0.0
ŁĘCZYCKI,120905.0,518284.0,48456.0,132672.0,1664147.0,323318.0,319.0,734.0,103.0,3761.0,3406.0,4222.0,492.0,276.0,208.0,0.0,0.0,2294.0,12.0,0.0
ŁÓDZKI,11854.0,290020.0,6859.0,80498.0,1223154.0,0.0,520.0,48.0,10.0,1621.0,478.0,292.0,184.0,289.0,98.0,0.0,0.0,1098.0,0.0,0.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,41132.0,636279.0,36841.0,176672.0,2785918.0,684.0,2309.0,4701.0,19.0,2194.0,4016.0,2618.0,1558.0,1285.0,630.0,27.0,11.0,1743.0,10.0,0.0
RADOMSZCZAŃSKI,25445.0,657784.0,53529.0,128912.0,2769162.0,4104.0,1843.0,9625.0,34.0,2125.0,3296.0,1699.0,1648.0,2369.0,993.0,14.0,9.0,849.0,253.0,0.0
SIERADZKI,49261.0,682642.0,23118.0,188704.0,2507572.0,39942.0,2158.0,2215.0,181.0,1690.0,4113.0,3449.0,1921.0,1118.0,677.0,6.0,5.0,1699.0,0.0,0.0
TURECKI,58452.0,505941.0,18693.0,113284.0,1477198.0,88299.0,801.0,2659.0,18.0,3568.0,1619.0,4607.0,1345.0,1486.0,685.0,20.0,11.0,1867.0,0.0,0.0
WIELUŃSKI,26129.0,692846.0,22244.0,185111.0,2877692.0,88200.0,2505.0,2170.0,97.0,3062.0,3816.0,1702.0,1184.0,1272.0,683.0,39.0,16.0,269.0,0.0,0.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,21369.0,305993.0,65581.0,92410.0,1530770.0,0.0,34428.0,375.0,7.0,951.0,2309.0,3989.0,1017.0,7495.0,2865.0,430.0,219.0,321.0,0.0,0.0
BRASŁAWSKI,25782.0,278850.0,53906.0,114872.0,981449.0,0.0,699.0,0.0,0.0,1106.0,9010.0,38842.0,7299.0,10146.0,7612.0,172.0,106.0,7.0,0.0,0.0
LIDZKI,14697.0,408506.0,133930.0,159224.0,1478143.0,0.0,30146.0,0.0,26.0,5819.0,3150.0,33148.0,1748.0,9120.0,5223.0,279.0,274.0,0.0,0.0,0.0
NIEŚWIESKI,34473.0,205218.0,61589.0,110852.0,1749461.0,0.0,19380.0,461.0,0.0,98.0,664.0,4121.0,145.0,6251.0,3461.0,81.0,40.0,0.0,0.0,0.0
NOWOGRÓDZKI,45376.259923354526,262441.53294191865,90234.14692954146,150198.9365258578,1417115.741942837,0.0,18535.1358886422,0.0,12.276157764625577,1730.5479184301746,1982.377463620819,20036.39717258737,1729.91584449209,14228.616519823308,7513.7862312719135,835.4001924769524,474.8996565285685,84.1035591617346,0.0,0.0
SŁONIMSKI,22911.0,257479.0,55966.0,74354.0,935121.0,0.0,25537.0,261.0,0.0,1362.0,842.0,9191.0,616.0,3489.0,2694.0,285.0,248.0,0.0,0.0,0.0
