District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture,Indirect Occupation - Excluding Agriculture - Total,Indirect Occupation  - Horticulture,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions","Indirect Occupation - Schooling, Education, and Culture",Indirect Occupation - Public Hygiene and Sanitation,Indirect Occupation - G. Domestic service,Indirect Occupation - N. Not further specified
OPOCZYŃSKI,130524.0,102265.0,28259.0,1046.0,17130.0,4178.0,1361.0,1253.0,846.0,358.0,692.0,1395.0
PIŃCZOWSKI,126098.0,97860.0,28238.0,645.0,13071.0,7109.0,1283.0,1743.0,1035.0,455.0,988.0,1909.0
RADOMSKI,150447.0,123370.0,27077.0,969.0,16040.0,3470.0,2393.0,1182.0,808.0,309.0,690.0,1216.0
SANDOMIERSKI,123362.0,88411.0,34951.0,917.0,16871.0,7459.0,1628.0,1925.0,1171.0,691.0,1052.0,3237.0
STOPNICKI,153091.0,122055.0,31036.0,811.0,13422.0,9055.0,1328.0,1709.0,1109.0,1056.0,885.0,1661.0
WŁOSZCZOWSKI,100607.0,80003.0,20604.0,1136.0,10563.0,4061.0,858.0,1237.0,689.0,304.0,763.0,993.0
ZAWIERCIAŃSKI,131073.0,50359.0,80714.0,460.0,58504.0,6827.0,6731.0,2374.0,1118.0,871.0,1299.0,2530.0
CZĘSTOCHOWA (MIASTO),117179.0,1714.0,115465.0,555.0,72866.0,14880.0,7587.0,5310.0,2087.0,2202.0,3541.0,6437.0
SOSNOWIEC,108959.0,433.0,108526.0,158.0,68720.0,15877.0,6646.0,4618.0,1831.0,2013.0,4003.0,4660.0
RADOM (MIASTO),77902.0,757.0,77145.0,500.0,42155.0,12107.0,7630.0,3596.0,1683.0,1523.0,2459.0,5492.0
BIALSKI (BIAŁA KRAKOWSKA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOCHEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRZESKI (BRZESKO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRZANOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DĄBROWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GORLICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JASIELSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRAKOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIELECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYŚLENICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOWOSĄDECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOWOTARSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROPCZYCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARNOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WADOWICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŻYWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA PODLASKA),115934.071186443,81704.50115640626,34229.570030036746,1581.84595314724,16331.635578109564,5321.473705366674,2407.9947889675086,2219.5681076277015,1028.6854919376522,564.9841856487757,852.25904979314,3921.1231694384865
BIŁGORAJSKI,116951.0,93736.0,23215.0,722.0,11045.0,6235.0,1112.0,1237.0,822.0,389.0,582.0,1071.0
CHEŁMSKI,162340.0,113579.0,48761.0,828.0,22158.0,10192.0,5336.0,2372.0,1631.0,885.0,1330.0,4029.0
GARWOLIŃSKI,159942.0,118083.0,41859.0,1291.0,21670.0,7921.0,3539.0,1647.0,1343.0,515.0,775.0,3158.0
HRUBIESZOWSKI,129957.0,96544.0,33413.0,1123.0,16132.0,7876.0,1851.0,1668.0,1054.0,484.0,1080.0,2145.0
JANOWSKI,152718.0,118338.0,34380.0,1174.0,17531.0,7527.0,1708.0,1630.0,1121.0,526.0,998.0,2165.0
KRASNOSTAWSKI,134159.0,107942.0,26217.0,904.0,12663.0,6261.0,1202.0,1566.0,1033.0,459.0,772.0,1357.0
LUBARTOWSKI,107991.0,87291.0,20700.0,582.0,10267.0,4888.0,951.0,1201.0,852.0,346.0,551.0,1062.0
LUBELSKI,163502.0,130987.0,32515.0,1088.0,16875.0,6491.0,2741.0,1127.0,1171.0,476.0,1100.0,1446.0
ŁUKOWSKI,129083.0,99406.0,29677.0,809.0,15289.0,5825.0,2438.0,1387.0,1052.0,462.0,627.0,1788.0
PUŁAWSKI,172267.0,116140.0,56127.0,1256.0,25792.0,10218.0,5748.0,1924.0,1997.0,1011.0,1410.0,6771.0
RADZYŃSKI,98662.39827639326,71238.97314011755,27423.425136275702,972.7937825191112,15597.558447453304,4691.713718761568,1564.236471174538,1181.8896825488077,790.5816410646615,389.3166519600537,656.1628481884281,1579.1718926052308
SIEDLECKI,151411.0,97546.0,53865.0,1041.0,23250.0,9124.0,6988.0,3239.0,1757.0,1024.0,1189.0,6253.0
SOKOŁOWSKI,83949.0,65498.0,18451.0,495.0,10009.0,3332.0,929.0,1026.0,679.0,319.0,408.0,1254.0
TOMASZOWSKI,121124.0,94489.0,26635.0,841.0,12042.0,7297.0,1164.0,1529.0,925.0,372.0,909.0,1556.0
WĘGROWSKI,88788.0,67336.0,21452.0,781.0,12769.0,2786.0,1408.0,987.0,750.0,311.0,409.0,1251.0
WŁODAWSKI,113566.0,85231.0,28335.0,794.0,14536.0,6700.0,1512.0,1208.0,926.0,480.0,642.0,1537.0
ZAMOJSKI,149548.0,101710.0,47838.0,1446.0,23629.0,8833.0,3366.0,2587.0,1462.0,877.0,1784.0,3854.0
LUBLIN (MIASTO),112285.0,1750.0,110535.0,459.0,45677.0,22347.0,11742.0,7775.0,3232.0,3143.0,3967.0,12193.0
BÓBRECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRZOZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOBROMILSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DROHOBYCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRÓDECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAROSŁAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAWOROWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOLBUSZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KROŚNIEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LESKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LWOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOŚCISKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIŻAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRZEMYSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRZEWORSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAWSKI (RAWA RUSKA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUDECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RZESZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMBORSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANOCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOKALSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARNOBRZESKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŻÓŁKIEWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBACZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURCZAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRZEZIŃSKI,150923.0,67530.0,83393.0,1009.0,51797.0,10896.0,8421.0,2534.0,1664.0,1270.0,1524.0,4278.0
KALISKI,195761.0,104649.0,91112.0,1408.0,48567.0,17186.0,4434.0,4233.0,2394.0,2125.0,3430.0,7335.0
KOLSKI,119370.0,82373.0,36997.0,950.0,19728.0,6842.0,2870.0,1661.0,964.0,625.0,1323.0,2034.0
KONIŃSKI,207495.0,156947.0,50548.0,1559.0,26934.0,8046.0,2543.0,2953.0,1480.0,990.0,1828.0,4215.0
ŁASKI,171885.0,92036.0,79849.0,894.0,56916.0,9201.0,2992.0,2501.0,1956.0,1138.0,1599.0,2652.0
ŁĘCZYCKI,127585.0,85069.0,42516.0,934.0,25078.0,7369.0,2115.0,1863.0,964.0,805.0,1245.0,2143.0
ŁÓDZKI,161671.0,52542.0,109129.0,1310.0,80090.0,10133.0,5473.0,3971.0,1556.0,1930.0,1458.0,3208.0
ŁÓDŹ (MIASTO),604629.0,1941.0,602688.0,1051.0,375972.0,103214.0,29271.0,22050.0,12900.0,14925.0,20534.0,22771.0
PIOTRKOWSKI,222195.0,134351.0,87844.0,1359.0,47196.0,11541.0,11630.0,4157.0,2000.0,1505.0,2319.0,6137.0
RADOMSZCZAŃSKI,186412.0,138681.0,47731.0,1307.0,27003.0,7296.0,3474.0,2274.0,1475.0,701.0,1541.0,2660.0
SIERADZKI,168051.0,109137.0,58914.0,967.0,36251.0,9691.0,2770.0,2358.0,1263.0,950.0,1388.0,3276.0
TURECKI,101734.0,81534.0,20200.0,440.0,11528.0,3802.0,600.0,1158.0,666.0,335.0,660.0,1011.0
WIELUŃSKI,214299.0,171424.0,42875.0,873.0,20637.0,9468.0,2468.0,2508.0,1349.0,838.0,1277.0,3457.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,11171898.0,4671.0,1167227.0,4648.0,499695.0,235034.0,104622.0,71037.0,42755.0,45978.0,60236.0,102222.0
BARANOWICKI,161038.0,124406.0,36632.0,1242.0,13286.0,6767.0,4632.0,2449.0,1138.0,834.0,1472.0,4812.0
BRASŁAWSKI,143161.0,125239.0,17922.0,918.0,7190.0,2977.0,1284.0,2509.0,632.0,308.0,773.0,1331.0
LIDZKI,183485.0,145833.0,37652.0,835.0,16651.0,6078.0,4238.0,2248.0,1160.0,777.0,1402.0,4263.0
NIEŚWIESKI,114464.0,94746.0,19718.0,911.0,6909.0,3667.0,981.0,3053.0,792.0,453.0,998.0,1954.0
NOWOGRÓDZKI,151251.4402542732,128927.97192167444,22323.468332598775,843.5835100475205,8310.778070922504,4355.411764317386,1317.1011963441877,3133.663158944348,872.6665936586629,517.0398792044167,1132.8057444377434,1840.4184147220035
SŁONIMSKI,126510.0,101808.0,24702.0,1043.0,10884.0,3946.0,1298.0,2153.0,807.0,468.0,916.0,3187.0
STOŁPECKI,97673.55974572679,81021.02807832556,16652.531667401225,773.4164899524794,6535.221929077495,2642.588235682614,1713.8988036558121,2258.3368410556513,607.3334063413371,286.96012079558324,672.1942555622566,1162.5815852779965
WOŁOŻYŃSKI,115522.0,101504.0,14018.0,738.0,5554.0,2118.0,763.0,2850.0,504.0,230.0,643.0,618.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),107203.0,92906.0,14297.0,1138.0,6461.0,2378.0,1132.0,970.0,548.0,233.0,634.0,803.0
BRZESKI (BRZEŚĆ N.BUG.),216685.53053716372,145676.5257034762,71009.00483368755,998.3602643336487,25512.80597443713,11991.812575871756,11196.768739857953,5798.54220982349,2088.732866997686,1682.6991623911706,1873.5781020184318,9865.704937956281
DROHICKI,97040.0,86612.0,10428.0,309.0,4409.0,2009.0,820.0,975.0,377.0,190.0,374.0,965.0
KOBRYŃSKI,113972.0,96955.0,17017.0,583.0,6490.0,3341.0,1406.0,1312.0,650.0,367.0,604.0,2264.0
KOSZYRSKI,94988.0,88144.0,6844.0,356.0,2929.0,1449.0,359.0,860.0,258.0,94.0,214.0,325.0
ŁUNINIECKI,108663.0,85089.0,23574.0,1112.0,9745.0,3265.0,2816.0,3289.0,598.0,326.0,523.0,1900.0
PIŃSKI,184305.0,143027.0,41278.0,1261.0,17794.0,7838.0,3203.0,3190.0,1188.0,969.0,1150.0,4685.0
PRUŻAŃSKI,108583.0,91797.0,16786.0,487.0,6789.0,3114.0,1198.0,1475.0,607.0,342.0,508.0,2266.0
STOLIŃSKI,124765.0,104076.0,20689.0,1761.0,9512.0,3814.0,1071.0,2149.0,538.0,276.0,394.0,1174.0
IWACEWICKI,83696.0,71291.0,12405.0,957.0,5874.0,1885.0,999.0,1021.0,326.0,264.0,396.0,683.0
BRODNICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEŁMIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHOJNICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZIAŁDOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KARTUSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOŚCIERSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SĘPOLEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAROGARDZKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCZEWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORUŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TORUŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUCHOLSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WĄBRZESKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDYNIA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYDGOSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BYDGOSZCZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHODZIESKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZARNKOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNIEŹNIEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOSTYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INOWROCŁAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAROCIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KĘPIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOŚCIAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KROTOSZYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LESZCZYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIĘDZYCHODZKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOGILEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOWOTOMYSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBORNICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POZNAŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAWICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZAMOTULSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZUBIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚREDZKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚREMSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WĄGROWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOLSZTYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WRZESIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WYRZYSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŻNIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POZNAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNIEZNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INOWROCŁAW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOLIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HORODEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAŁUSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOŁOMYJSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOSOWSKI (KOSÓW HUCULSKI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NADWÓRNIAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROHATYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANISŁAWOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRYJSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚNIATYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TŁUMACKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŻYDACZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIELSKI (BIELSKO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIELSKO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIESZYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARNOGÓRSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KATOWICE (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KATOWICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBLINIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSZCZYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYBNICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚWIĘTOCHŁOWICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHORZÓW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORSZCZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRODZKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRZEŻAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
