Region;District;Pszenica (za q = 100kg);Øyto (za q = 100kg);JÍczmieÒ browarniany (za q = 100kg);JÍczmieÒ innych gatunkÛw (za q = 100kg);Owies (za q = 100kg);Gryka (za q = 100kg);Groch (za q = 100kg);Ziemniaki jadalne (za q = 100kg);Ziemniaki fabryczne (za q = 100kg);Siano koniczyny (za q = 100kg);Siano ≥πkowe (za q = 100kg);S≥oma (za q = 100kg)
KIELECKIE;MIECHOWSKI;30,90;16,6;19,38;17,33;18,68;X;X;9;X;10,27;7,46;4,18
KIELECKIE;OLKUSKI;31,75;16;20,13;18,2;18,72;X;42,14;9;6,25;10,13;7,55;5,19
KIELECKIE;OPATOWSKI;29,75;15,55;17,78;14,75;15,21;X;34,43;7,17;X;8,43;7,07;3,91
KIELECKIE;OPOCZY—SKI;32,00;15,4;17,14;16,83;19,74;27,25;30,71;7;X;10,10;7,50;4,21
KIELECKIE;PI—CZOWSKI;29,85;16,3;17,00;16,79;17;X;39,00;7,88;X;8,18;7,18;4,25
KIELECKIE;RADOMSKI;30,45;15,25;19,45;17,6;17,72;21,75;27,67;7,42;4,17;10,69;8,78;4,5
KIELECKIE;SANDOMIERSKI;30,75;15,83;18,25;16,43;16,11;X;33,75;8,09;5,50;10,00;8,33;5,29
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;
KIELECKIE;STOPNICKI;31,45;15,8;18,00;16,25;20;X;40,00;6,98;X;8,17;7,71;4,14
KIELECKIE;W£OSZCZOWSKI;30,94;15,11;17,50;17;19,88;X;X;6,53;5,33;8,67;7,27;4,23
KIELECKIE;ZAWIERCIA—SKI;34,00;16,59;17,75;16,57;19,83;X;X;9,94;X;13,15;9,94;6,15
KRAKOWSKIE;BIALSKI (BIA£A KRAKOWSKA);34,42;19,69;21,33;21,33;23,82;X;46,25;10,79;6,67;14,04;10,23;6,85
KRAKOWSKIE;BOCHE—SKI;33,55;17,36;20,00;19,13;19,6;X;45,00;8,56;X;13,36;9,82;4,82
KRAKOWSKIE;BRZESKI (BRZESKO);31,90;16,6;18,54;18,4;18,63;X;X;7,68;X;13,15;9,16;5,38
KRAKOWSKIE;CHRZANOWSKI;34,44;18,3;20,80;19,67;21,88;X;37,50;13,33;X;15,83;9,29;6,57
KRAKOWSKIE;D•BROWSKI;31,45;15,75;17,67;16,92;18,81;X;36,71;7,09;X;12,42;8,40;4,81
KRAKOWSKIE;GORLICKI;30,50;16,95;18,88;18,75;20,69;X;35,00;5,9;4,17;10,88;8,00;4,97
KRAKOWSKIE;GRYBOWSKI;34,60;19,45;18,67;18,5;22,43;X;38,00;9,29;X;8,90;6,69;4,1
KRAKOWSKIE;JASIELSKI;29,68;17,5;18,25;18,25;18,33;X;32,50;5,99;3,25;8,85;6,53;3,87
KRAKOWSKIE;KRAKOWSKI;33,56;17,59;19,25;18,27;21,12;X;37,50;9,96;5,75;13,95;9,88;4,84
KRAKOWSKIE;KRAK”W (MIASTO);;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI;35,21;19,29;23,25;21,4;20,79;X;43,33;7,36;5,33;9,08;7,40;4,94
KRAKOWSKIE;MAKOWSKI (MAK”W PODHALA—SKI);38,06;19,94;20,00;20;22,5;X;45,00;12,53;X;13,00;9,17;5,89
KRAKOWSKIE;MIELECKI;31,30;16,27;18,20;18;18,6;X;40,00;8,39;7,50;11,00;8,29;4,05
KRAKOWSKIE;MYåLENICKI;37,45;17,4;19,00;18,67;24,75;X;38,00;7,86;5,25;11,31;9,00;4,11
KRAKOWSKIE;NOWOS•DECKI;33,59;17,88;23,17;20,63;22,06;X;39,00;7,19;5,00;11,75;8,83;5,54
KRAKOWSKIE;NOWOTARSKI;41,50;21,33;25,00;22,86;23,6;X;X;12,14;X;14,25;10,43;7,94
KRAKOWSKIE;OåWI CIMSKI;33,38;18,36;20,75;20,43;22,55;X;42,50;10,36;X;14,64;11,50;6,06
KRAKOWSKIE;PILZNE—SKI;31,50;16,6;19,20;18,64;19,58;X;32,25;5,58;5,00;11,03;7,95;4,63
KRAKOWSKIE;ROPCZYCKI;31,08;16,67;19,20;18;18,22;X;40,00;8;4,00;10,00;7,80;4,85
KRAKOWSKIE;TARNOWSKI;32,80;16,45;18,60;18,33;18,05;X;34,00;8,06;X;11,58;8,95;4,56
KRAKOWSKIE;WADOWICKI;33,41;17,56;22,00;20,2;22,24;X;47,50;9,4;X;13,69;10,00;6,5
KRAKOWSKIE;WIELICKI;33,00;17,75;20,00;17,75;18;X;X;8,5;5,00;13,25;10,50;4,5
KRAKOWSKIE;ØYWIECKI;34,80;20,57;25,00;21;26;X;45,00;11,67;6,00;14,10;11,44;6,94
LUBELSKIE;BIALSKI (BIA£A PODLASKA);31,32;13,79;15,83;15,2;16,8;17,08;21,45;5,01;4,42;8,07;6,00;3,79
LUBELSKIE;BI£GORAJSKI;32,25;16,75;X;18,14;18,67;24,60;36,00;9;X;10,86;9,00;5,5
LUBELSKIE;CHE£MSKI;28,45;14,1;16,57;14,47;15,83;19,86;21,88;7,23;3,10;7,39;5,50;4,18
LUBELSKIE;GARWOLI—SKI;31,69;15,25;21,38;17,64;18,87;24,25;36,88;6,79;5,38;11,14;9,25;5,32
LUBELSKIE;HRUBIESZOWSKI;27,44;13,67;15,25;15,25;14,23;29,50;30,50;5;3,40;5,42;4,00;2,38
LUBELSKIE;JANOWSKI;30,24;15,33;17,18;16,78;17;21,50;36,20;6,32;5,00;8,71;7,17;4,71
LUBELSKIE;KONSTANTYNOWSKI;31,68;15,05;18,63;16,29;17,63;20,00;21,00;5,64;5,50;8,90;6,92;4,07
LUBELSKIE;KRASNOSTAWSKI;27,00;14,25;16,50;14,77;16,11;22,80;28,75;5,69;3,00;6,08;5,30;3,13
LUBELSKIE;LUBARTOWSKI;28,89;14,9;16,92;15,67;15,15;28,00;33,00;5,11;5,00;7,23;5,64;3,28
LUBELSKIE;LUBELSKI;28,75;14,44;16,60;16,5;16,13;20,00;38,00;5,7;3,33;10,00;9,00;4,42
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;;;;
LUBELSKIE;PU£AWSKI;28,58;14,14;16,64;14,88;15,42;29,40;26,50;5,64;3,50;9,00;7,67;5,2
LUBELSKIE;RADZY—SKI;33,16;15,55;19,14;17,57;16,65;20,50;24,00;4,53;3,86;9,25;6,71;4,75
LUBELSKIE;SIEDLECKI;33,82;16,44;18,86;18,1;17,43;22,00;27,00;5,39;4,93;9,55;6,64;4,54
LUBELSKIE;SOKO£OWSKI;30,85;16;19,50;17,6;17,7;X;20,00;4,05;3,30;9,00;7,17;3,33
LUBELSKIE;TOMASZOWSKI;27,30;14,5;15,29;14,29;14,13;26,43;31,75;5,31;5,00;8,83;7,00;3,62
LUBELSKIE;W GROWSKI;32,18;15,27;16,67;14,67;18,64;28,00;X;5,62;5,00;7,90;7,17;4,9
LUBELSKIE;W£ODAWSKI;31,38;14,83;17,64;16,58;17,18;24,50;23,50;5,86;3,93;9,89;6,24;3,93
LUBELSKIE;ZAMOJSKI;27,33;15,4;15,80;15;15,4;23,33;36,60;6,71;6,00;7,73;5,70;4,35
LUBELSKIE;£UKOWSKI;31,55;15,17;18,29;16,57;17,33;24,50;30,25;5,26;4,33;10,17;7,61;4,89
LWOWSKIE;BRZOZOWSKI;31,14;18,14;21,00;20,33;21,43;X;31,00;5,25;X;6,80;5,40;3,38
LWOWSKIE;B”BRECKI;28,67;16,53;19,00;17,33;16,64;26,00;32,29;7,08;5,00;9,50;7,64;4,62
LWOWSKIE;DOBROMILSKI;30,36;18,07;19,20;19,11;20,18;X;X;8,09;7,00;8,45;6,45;4,92
LWOWSKIE;DROHOBYCKI;30,56;17,22;18,00;17,8;19,13;X;X;6,69;4,00;9,81;7,93;5
LWOWSKIE;GR”DECKI;31,17;16,23;17,25;16,5;17,55;23,50;30,00;7,41;4,00;9,36;6,63;4,5
LWOWSKIE;JAROS£AWSKI;28,78;15,89;X;18,4;18,43;26,33;28,00;7,96;7,67;8,32;6,50;3,88
LWOWSKIE;JAWOROWSKI;28,89;15,47;17,44;17;16,8;28,00;33,75;7,53;6,00;8,36;6,73;4,42
LWOWSKIE;KOLBUSZOWSKI;32,89;16,8;19,00;18,83;19,9;X;34,33;7,83;X;11,79;8,43;4,57
LWOWSKIE;KROåNIE—SKI;33,71;17,65;18,00;17,4;20,76;X;29,00;5,43;3,50;10,53;8,12;4,81
LWOWSKIE;LESKI;38,60;20;X;21,5;22,33;X;30,00;6,75;X;10,71;8,14;6,57
LWOWSKIE;LUBACZOWSKI;30,29;15,38;18,60;17;16,88;26,25;32,33;6,83;6,00;8,60;6,75;4,29
LWOWSKIE;LWOWSKI;29,70;16,8;19,14;17,86;17,78;22,80;25,50;7,38;4,25;10,11;7,70;5,83
LWOWSKIE;LW”W (MIASTO);;;;;;;;;;;;
LWOWSKIE;MOåCISKI;29,32;16,68;18,14;17,88;17,05;24,00;31,00;7,25;3,00;9,96;7,64;4,77
LWOWSKIE;NIØA—SKI;31,60;16,6;19,75;18,5;19,33;25,50;30,33;10;X;11,81;9,00;5,25
LWOWSKIE;PRZEMYSKI;28,55;17,09;17,67;17,5;18,6;X;27,00;7,63;5,00;8,25;6,88;4,31
LWOWSKIE;PRZEWORSKI;30,67;15,83;X;16,5;17,33;25,00;28,00;5,5;4,00;7,75;6,08;3,67
LWOWSKIE;RAWSKI (RAWA RUSKA);29,75;15,64;17,71;16,33;17,27;24,25;27,50;7,72;6,00;9,57;7,45;4,5
LWOWSKIE;RUDECKI;30,78;16,44;16,00;15,5;18;19,50;26,00;7,67;5,00;8,43;6,63;4,19
LWOWSKIE;RZESZOWSKI;29,53;16,13;18,75;17,25;17,83;26,00;33,20;6,42;5,50;8,42;7,21;4,21
LWOWSKIE;SAMBORSKI;28,40;15,9;15,83;15,63;17,79;27,00;29,67;6,15;4,50;9,05;7,11;4,44
LWOWSKIE;SANOCKI;33,83;17,67;20,88;20,44;21,29;X;28,50;6,18;4,00;9,94;7,88;4,65
LWOWSKIE;SOKALSKI;28,67;15,41;15,22;15,21;15,38;21,75;21,80;7,36;5,39;7,42;6,34;4,01
LWOWSKIE;STAROSAMBORSKI;31,25;17,8;X;17,5;21,33;25,00;30,00;4,8;3,50;9,60;8,20;6,25
LWOWSKIE;STRZYØOWSKI;30,83;17,67;17,89;17,8;18;26,50;32,75;4,66;3,60;8,15;6,24;3,88
LWOWSKIE;TARNOBRZESKI;31,63;16,88;X;19,25;17,25;X;28,33;12,5;X;12,67;10,00;5,67
LWOWSKIE;£A—CUCKI;32,00;16,5;18,00;16,5;16,67;X;X;5,13;3,00;8,20;6,50;4,5
LWOWSKIE;Ø”£KIEWSKI;27,60;16;16,00;15,83;16,5;22,00;23,67;7,56;X;8,75;6,79;4,69
M. ST. WARSZAWA;PO£UDNIOWO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;P”£NOCNO-WARSZAWSKI;;;;;;;;;;;;
NOWOGR”DZKIE;BARANOWICKI;31,40;14,28;X;17,1;17,59;21,92;24,82;5,26;2,59;8,41;6,19;3,87
NOWOGR”DZKIE;LIDZKI;32,88;14,9;17,14;15,6;16,95;17,75;19,25;4,7;3,71;8,10;6,12;4,13
NOWOGR”DZKIE;NIEåWIESKI;30,94;14,71;16,33;15,67;16,53;20,70;25,86;5,06;X;8,81;7,31;4,75
NOWOGR”DZKIE;NOWOGR”DZKI;35,00;13,11;15,00;14,5;16,06;18,73;23,00;5,44;4,73;9,97;7,90;4,68
NOWOGR”DZKIE;STO£PECKI;30,75;13,56;15,00;14,5;16;16,38;23,38;5,69;4,58;10,71;8,00;4,65
NOWOGR”DZKIE;SZCZUCZY—SKI (WOJ. NOWOGR”DZKIE);34,00;14,25;14,50;13;17,5;23,00;19,50;3,97;3,05;7,52;5,08;3,66
NOWOGR”DZKIE;S£ONIMSKI;30,59;14,3;17,56;17;18,68;22,42;18,08;4,17;3,39;9,32;6,95;4,37
NOWOGR”DZKIE;WO£OØY—SKI;28,33;14,59;16,00;14,43;16,06;19,50;21,22;5,02;3,85;9,28;7,39;4,7
POLESKIE;BRZESKI (BRZEå∆ N.BUG.);31,60;15,47;18,40;16,56;18,6;20,90;23,78;4,57;2,75;7,64;5,45;3,18
POLESKIE;DROHICKI;28,14;14,78;15,75;15;16,82;X;18,00;6,09;3,70;8,73;6,30;3,25
POLESKIE;KOBRY—SKI;28,05;13,95;17,13;15,08;16,76;20,17;19,89;5,89;3,00;8,68;5,73;4,21
POLESKIE;KOSOWSKI (KOS”W POLESKI);34,25;13,67;19,00;17,8;19,45;19,50;27,13;4,75;3,60;8,84;5,86;3,32
POLESKIE;KOSZYRSKI;27,88;15,07;X;18,3;18,83;19,33;22,00;7,67;X;7,20;5,12;2,55
POLESKIE;PI—SKI;31,40;16,1;17,00;15,5;20;19,00;24,86;5,55;5,52;7,74;5,88;3,14
POLESKIE;PRUØA—SKI;24,92;12,29;17,75;15,45;18,92;19,22;17,22;5,36;5,25;8,91;6,13;4,16
POLESKIE;STOLI—SKI;28,77;15,78;16,50;15,83;19,07;19,67;24,75;6,49;X;11,60;8,10;3,37
POLESKIE;£UNINIECKI;X;19;X;20;21,6;21,00;18,00;6,02;X;9,00;7,60;4,14
POMORSKIE;BRODNICKI;29,25;16,75;22,50;21;21;25,00;25,50;5,67;X;X;8,00;5
POMORSKIE;CHE£MI—SKI;30,60;18,8;23,47;20,06;20,73;X;27,10;8,71;6,00;9,17;7,57;3,99
POMORSKIE;CHOJNICKI;32,24;19,75;22,80;22,08;20,41;32,00;32,17;8,68;6,67;9,91;8,04;5,53
POMORSKIE;DZIA£DOWSKI;31,53;17,95;22,55;20,09;20,5;26,00;26,57;6,59;6,10;10,20;7,64;5,17
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;;;;
POMORSKIE;GNIEWSKI;32,63;20,11;24,25;21,63;21,11;X;30,75;8,5;5,50;9,67;7,67;4,14
POMORSKIE;GRUDZI•DZ (MIASTO);;;;;;;;;;;;
POMORSKIE;GRUDZI•DZKI;30,78;18,7;24,00;21,17;20,71;X;32,78;9,03;8,67;9,17;7,38;5,25
POMORSKIE;KARTUSKI;34,22;20,72;24,88;21,11;22,19;X;35,00;8,68;6,00;11,50;10,38;6,17
POMORSKIE;KOåCIERSKI;32,94;20,25;23,21;19,22;20,79;X;33,50;8,18;6,28;9,28;7,97;4,97
POMORSKIE;LUBAWSKI;30,30;17,65;22,12;20;19,08;X;31,43;6,29;3,88;7,17;5,57;3,86
POMORSKIE;MORSKI;36,27;19,8;23,82;20,71;20,67;X;36,10;9,05;5,50;11,69;10,18;6,53
POMORSKIE;STAROGARDZKI;31,25;20,2;24,93;22,19;21,69;X;30,90;7,58;6,00;10,16;9,09;4,76
POMORSKIE;S POLE—SKI;29,50;18,5;21,00;20,06;19,45;X;26,33;6,72;6,00;8,25;7,67;5,17
POMORSKIE;TCZEWSKI;32,11;19,63;24,81;21,54;22,06;X;29,20;7,39;5,33;9,00;6,85;3,34
POMORSKIE;TORU— (MIASTO);;;;;;;;;;;;
POMORSKIE;TORU—SKI;31,33;19,19;25,92;22,6;20,73;X;32,60;9,27;4,88;9,20;8,40;5,43
POMORSKIE;TUCHOLSKI;30,89;18,8;23,08;21,44;20,42;30,00;28,10;7,65;4,64;11,00;8,90;4,92
POMORSKIE;W•BRZESKI;30,55;17,85;22,06;20;19,58;X;29,00;7,53;5,71;10,00;7,56;4,67
POMORSKIE;åWIECKI;31,05;19,35;24,27;21,1;20,85;X;33,11;8;6,00;11,06;9,67;5,32
POZNA—SKIE;BYDGOSKI;30,20;18,55;24,17;22,38;19,83;X;29,17;7,91;6,40;9,70;8,38;4,86
POZNA—SKIE;BYDGOSZCZ (MIASTO);;;;;;;;;;;;
POZNA—SKIE;CHODZIESKI;30,50;18,88;23,00;21,36;19,86;X;33,00;6,43;4,25;8,33;6,68;4,5
POZNA—SKIE;CZARNKOWSKI;31,75;19,6;24,50;21,33;19,75;X;X;5,83;3,00;X;7,50;2,83
POZNA—SKIE;GNIEZNO (MIASTO);;;;;;;;;;;;
POZNA—SKIE;GNIEèNIE—SKI;29,05;18,55;22,32;19,47;20,3;X;29,22;7,08;4,78;9,50;8,04;3,65
POZNA—SKIE;GOSTY—SKI;29,40;18,2;21,35;19,18;20,25;X;30,00;8,67;4,83;9,00;8,05;3,6
POZNA—SKIE;GRODZISKI;30,15;19,1;21,81;21,6;20,33;X;37,00;7,69;X;7,75;7,63;3,85
POZNA—SKIE;INOWROC£AW (MIASTO);;;;;;;;;;;;
POZNA—SKIE;INOWROC£AWSKI;30,25;19,3;25,65;22,69;21,24;X;33,30;8,75;6,40;13,00;10,14;5,85
POZNA—SKIE;JAROCI—SKI;29,41;19;21,08;20,58;20,59;X;30,86;8,11;X;14,67;11,80;4,58
POZNA—SKIE;KOåCIA—SKI;31,60;19,6;25,56;21,33;21;X;30,25;8,29;X;11,00;7,38;4,25
POZNA—SKIE;KOèMI—SKI;29,50;18,45;21,69;19,5;18;X;30,00;8,83;5,33;9,25;8,08;4
POZNA—SKIE;KROTOSZY—SKI;28,57;18,19;20,67;20,29;17,39;X;29,83;7,65;X;10,67;9,13;3,91
POZNA—SKIE;K PI—SKI;31,22;18,29;24,13;20;19,73;X;33,50;6,4;X;7,50;7,14;3,25
POZNA—SKIE;LESZCZY—SKI;30,78;18,89;22,40;19,58;20,88;X;X;7,88;4,67;8,67;7,47;3,64
POZNA—SKIE;MI DZYCHODZKI;31,33;18,8;23,80;21,8;18,86;X;X;8,1;X;X;8,25;4
POZNA—SKIE;MOGILE—SKI;30,53;19,07;25,24;21,45;20,17;X;33,50;7,27;3,67;8,00;6,83;3,5
POZNA—SKIE;NOWOTOMYSKI;30,25;18,6;23,23;20,55;20,9;X;35,33;7,11;5,90;11,00;8,10;5,44
POZNA—SKIE;OBORNICKI;31,21;19,85;22,08;21,9;20,15;X;32,17;6,71;5,00;9,50;6,71;4,2
POZNA—SKIE;ODOLANOWSKI;30,40;17,65;19,30;19,13;18,7;X;36,25;7,68;5,52;7,92;6,97;4,36
POZNA—SKIE;OSTROWSKI (OSTR”W WIELKOPOLSKI);30,80;17,85;21,58;20,5;20,32;X;43,00;9,41;6,50;12,40;9,79;4,22
POZNA—SKIE;OSTRZESZOWSKI;29,35;17,4;21,33;19,57;20,28;X;36,00;7,38;6,50;8,33;8,00;4,29
POZNA—SKIE;PLESZEWSKI;31,46;19,29;23,33;19,33;19,79;X;36,00;5,97;4,00;10,00;7,60;3,68
POZNA—SKIE;POZNA— (MIASTO);;;;;;;;;;;;
POZNA—SKIE;POZNA—SKI;30,25;19,42;23,67;20,13;18,1;X;35,00;7,88;4,00;9,00;7,00;4,4
POZNA—SKIE;RAWICKI;30,50;18,5;23,36;21,36;22;X;30,00;9,07;3,50;10,86;10,17;4,38
POZNA—SKIE;STRZELNE—SKI;30,17;18,94;25,50;21,73;21,18;X;29,25;6;5,60;X;X;4
POZNA—SKIE;SZAMOTULSKI;30,60;19,65;23,61;22,13;19,9;X;30,71;7,29;5,20;8,43;6,31;3,25
POZNA—SKIE;SZUBI—SKI;30,85;18,45;22,11;19,47;19,56;X;28,25;7,45;5,08;9,00;7,11;4,08
POZNA—SKIE;WOLSZTY—SKI;30,35;18,1;22,06;19,64;21,15;X;34,00;8,11;7,50;9,88;9,33;4,89
POZNA—SKIE;WRZESI—SKI;29,70;19,2;21,84;20,07;20,55;X;32,33;7,5;7,00;10,20;7,57;3,68
POZNA—SKIE;WYRZYSKI;29,38;18,44;22,22;21;20,13;X;32,50;8,09;6,33;6,75;6,33;3,5
POZNA—SKIE;W•GROWIECKI;29,15;19,6;23,69;21,19;20,56;X;29,17;6;X;11,50;8,00;4,42
POZNA—SKIE;åMIGIELSKI;30,33;18,8;22,50;21,5;18;X;32,75;7,71;5,50;8,50;6,17;3,1
POZNA—SKIE;åREDZKI;30,42;19,25;22,41;20,21;20,44;X;34,56;7,5;4,67;10,80;8,06;3,54
POZNA—SKIE;åREMSKI;30,60;19,3;24,20;21,11;20,22;X;30,80;7,43;5,38;X;9,17;4,05
POZNA—SKIE;ØNI—SKI;28,40;18,65;25,67;22;20,63;X;27,83;7,67;4,74;9,86;8,75;4,86
STANIS£AWOWSKIE;BOHORODCZA—SKI;32,00;18;X;18;20,2;24,67;29,00;12;X;12,80;10,80;6,2
STANIS£AWOWSKIE;DOLI—SKI;35,54;19,75;X;19,2;21;X;27,50;9,47;6,00;11,80;9,21;5,4
STANIS£AWOWSKIE;HORODE—SKI;28,60;16,4;17,78;16,38;17,17;20,00;26,00;7,5;X;10,60;8,40;4,5
STANIS£AWOWSKIE;KA£USKI;31,15;18,07;X;18;19,36;20,25;X;10,25;X;11,36;8,64;5,67
STANIS£AWOWSKIE;KOSOWSKI (KOS”W HUCULSKI);34,64;22,18;21,25;20;20,11;X;30,00;10,8;X;10,56;9,58;5,82
STANIS£AWOWSKIE;KO£OMYJSKI;32,53;19,24;20,50;18,88;19,53;26,00;27,00;9,57;X;9,58;7,55;4
STANIS£AWOWSKIE;NADW”RNIA—SKI;34,13;18,88;X;20,17;20,07;28,33;23,00;9,53;6,00;10,00;7,80;4,6
STANIS£AWOWSKIE;ROHATY—SKI;28,15;15,65;16,40;16,11;16,16;22,33;23,50;6,83;5,50;9,30;7,33;4,04
STANIS£AWOWSKIE;SKOLSKI;39,08;21,43;20,00;19,5;21,42;30,00;27,00;9,36;7,75;10,75;8,44;5,65
STANIS£AWOWSKIE;STANIS£AWOWSKI;32,64;17,55;19,50;18,5;18,6;33,00;X;8,44;6,00;9,98;8,33;4,78
STANIS£AWOWSKIE;STRYJSKI;32,33;17,61;18,00;17,78;18,69;28,00;31,67;8,75;5,50;10,53;7,94;4,94
STANIS£AWOWSKIE;TURCZA—SKI;31,00;21,9;18,00;17;21,73;X;X;7;X;9,60;8,36;5
STANIS£AWOWSKIE;T£UMACKI;29,00;16,46;19,67;17,13;17,5;22,50;34,00;8,38;5,50;9,33;7,78;4,61
STANIS£AWOWSKIE;åNIATY—SKI;31,43;17,57;17,80;16,33;18,29;X;28,50;10,17;6,00;10,25;9,75;4,97
STANIS£AWOWSKIE;ØYDACZOWSKI;29,86;16,36;17,00;17;18;25,50;26,00;7;5,00;10,79;8,67;4,65
TARNOPOLSKIE;BORSZCZOWSKI;28,69;16,44;17,83;17,25;18,43;23,60;23,64;6,58;X;7,68;7,50;4,09
TARNOPOLSKIE;BRODZKI;27,50;16;18,00;15,33;16,5;24,00;X;6;3,50;9,00;7,50;4,75
TARNOPOLSKIE;BRZEØA—SKI;27,18;15,18;16,50;16,2;14,7;20,17;21,88;4;3,33;8,43;7,50;4,86
TARNOPOLSKIE;BUCZACKI;28,31;14,56;16,00;15,14;17;25,20;25,50;6;6,00;11,86;10,00;4,42
TARNOPOLSKIE;CZORTKOWSKI;27,08;15,42;15,60;14,78;17;21,67;26,57;6;4,67;8,69;8,25;4,7
TARNOPOLSKIE;KAMIONECKI;28,65;18,16;16,18;16,08;16;27,71;24,67;6,2;5,33;8,14;6,28;4
TARNOPOLSKIE;KOPYCZYNIECKI;29,33;15,42;16,00;15,75;19;24,75;27,88;5;X;6,38;6,00;3,6
TARNOPOLSKIE;PODHAJECKI;26,91;14,11;16,50;15,5;16;22,20;22,00;5,88;3,00;7,36;6,29;4,14
TARNOPOLSKIE;PRZEMYåLA—SKI;29,00;15,78;16,58;15,67;16,06;22,38;28,25;6,57;4,33;7,31;6,47;4,13
TARNOPOLSKIE;RADZIECHOWSKI;28,36;15,27;17,10;15,8;17,18;24,75;25,00;6,8;5,00;7,50;6,31;4,06
TARNOPOLSKIE;SKA£ACKI;28,09;15,45;16,88;16,57;16,13;24,88;22,20;5,83;4,00;6,60;6,25;3,56
TARNOPOLSKIE;TARNOPOLSKI;27,71;14,88;16,38;15,22;15,9;24,13;24,33;9;5,00;7,63;6,33;3,69
TARNOPOLSKIE;TREMBOWELSKI;29,05;15,3;16,71;15,5;17,31;23,65;23,55;7,36;6,14;7,83;7,27;4,32
TARNOPOLSKIE;ZALESZCZYCKI;28,08;15,92;16,71;14,5;16,44;22,67;22,00;6,75;3,13;8,43;7,00;3,88
TARNOPOLSKIE;ZBARASKI;27,58;14,75;15,44;13,83;14,42;23,09;21,80;7,22;4,80;9,19;6,88;3,73
