Column1;Column2
BARANOWICKI;0
BRASŁAWSKI;0
LIDZKI;0
NIEŚWIESKI;0
NOWOGRÓDZKI;0
SŁONIMSKI;0
STOŁPECKI;0
WOŁOŻYŃSKI;0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE);0
BRZESKI (BRZEŚĆ N.BUG.);0
DROHICKI;0
KOBRYŃSKI;0
KOSZYRSKI;0
ŁUNINIECKI;0
PIŃSKI;0
PRUŻAŃSKI;0
STOLIŃSKI;0
IWACEWICKI;0
BRODNICKI;52793
CHEŁMIŃSKI;47578
CHOJNICKI;70201
DZIAŁDOWSKI;39623
GRUDZIĄDZ (MIASTO);35656
GRUDZIĄDZKI;40233
KARTUSKI;64404
KOŚCIERSKI;48910
LUBAWSKI;51840
SĘPOLEŃSKI;28064
STAROGARDZKI;64033
ŚWIECKI;81775
TCZEWSKI;58432
TORUŃ (MIASTO);39424
TORUŃSKI;53998
TUCHOLSKI;40211
WĄBRZESKI;46776
MORSKI;68166
GDYNIA (MIASTO);3526
BYDGOSKI;52620
BYDGOSZCZ (MIASTO);87643
CHODZIESKI;41742
CZARNKOWSKI;43340
GNIEŹNIEŃSKI;60175
GOSTYŃSKI;56734
INOWROCŁAWSKI;48450
JAROCIŃSKI;86980
KĘPIŃSKI;85348
KOŚCIAŃSKI;80464
KROTOSZYŃSKI;75861
LESZCZYŃSKI;58638
MIĘDZYCHODZKI;30131
MOGILEŃSKI;87885
NOWOTOMYSKI;85821
OBORNICKI;48940
OSTROWSKI (OSTRÓW WIELKOPOLSKI);100723
POZNAŃ (MIASTO);185461
RAWICKI;49887
SZAMOTULSKI;66056
SZUBIŃSKI;46089
ŚREDZKI;49958
ŚREMSKI;56550
WĄGROWIECKI;54352
WOLSZTYŃSKI;48661
WRZESIŃSKI;43849
WYRZYSKI;62531
ŻNIŃSKI;41063
POZNAŃSKI;79274
GNIEZNO (MIASTO);25649
INOWROCŁAW (MIASTO);26945
DOLIŃSKI;95607
HORODEŃSKI;81347
KAŁUSKI;85218
KOŁOMYJSKI;157600
KOSOWSKI (KOSÓW HUCULSKI);83647
NADWÓRNIAŃSKI;108331
ROHATYŃSKI;108380
STANISŁAWOWSKI;163490
STRYJSKI;129419
ŚNIATYŃSKI;72798
TŁUMACKI;102473
ŻYDACZOWSKI;74018
BIELSKI (BIELSKO);0
BIELSKO (MIASTO);0
CIESZYŃSKI;0
TARNOGÓRSKI;0
KATOWICE (MIASTO);0
KATOWICKI;0
LUBLINIECKI;0
PSZCZYŃSKI;0
RYBNICKI;0
ŚWIĘTOCHŁOWICKI;0
CHORZÓW;0
BORSZCZOWSKI;93051
BRODZKI;80931
BRZEŻAŃSKI;87896
BUCZACKI;118013
CZORTKOWSKI;72330
KAMIONECKI;74598
PODHAJECKI;80302
PRZEMYŚLAŃSKI;79599
RADZIECHOWSKI;64561
SKAŁACKI;81779
TARNOPOLSKI;131234
TREMBOWELSKI;80542
ZALESZCZYCKI;64290
ZBARASKI;65390
ZBOROWSKI;69813
ZŁOCZOWSKI;108051
KOPYCZYNIECKI;82985
BŁOŃSKI;0
CIECHANOWSKI;0
GOSTYNIŃSKI;0
GRÓJECKI;0
KUTNOWSKI;0
LIPNOWSKI;0
ŁOWICKI;0
MAKOWSKI (MAKÓW MAZOWIECKI);0
MIŃSKI;0
MŁAWSKI;0
NIESZAWSKI;0
PŁOCKI;0
PŁOŃSKI;0
PRZASNYCKI;0
PUŁTUSKI;0
RADZYMIŃSKI;0
RAWSKI (RAWA MAZOWIECKA);0
RYPIŃSKI;0
SIERPECKI;0
SKIERNIEWICKI;0
SOCHACZEWSKI;0
WARSZAWSKI;0
WŁOCŁAWSKI;0
DUBIEŃSKI;0
HOROCHOWSKI;0
KOWELSKI;0
KRZEMIENIECKI;0
LUBOMELSKI;0
ŁUCKI;0
RÓWIEŃSKI;0
WŁODZIMIERSKI;0
KOSTOPOLSKI;0
ZDOŁBUNOWSKI;0
SARNEŃSKI;0
OSZMIAŃSKI;0
ŚWIĘCIAŃSKI;0
WILNO (MIASTO);0
DZIŚNIEŃSKI;0
WILEJSKI;0
WILEŃSKO-TROCKI;0
POSTAWSKI;0
MOŁODECZAŃSKI;0
