Region;District;Pszenica (z≥ za q = 100kg);Øyto (z≥ za q = 100kg);JÍczmieÒ browarniany (z≥ za q = 100kg);JÍczmieÒ innych gatunkÛw (z≥ za q = 100kg);Owies (z≥ za q = 100kg);Gryka (z≥ za q = 100kg);Groch (z≥ za q = 100kg);Ziemniaki jadalne (z≥ za q = 100kg);Ziemniaki fabryczne (z≥ za q = 100kg);Siano koniczyny (z≥ za q = 100kg);Siano ≥πkowe (z≥ za q = 100kg);S≥oma (z≥ za q = 100kg)
KRAKOWSKIE;BIALSKI (BIA£A KRAKOWSKA);26,6;20,43;23,00;22,75;21;X;30,00;6,33;3,25;11,37;8;7,2
KRAKOWSKIE;BOCHE—SKI;25;18,3;18,67;17,78;17,82;X;27,00;5,45;X;10,85;8,33;5,7
KRAKOWSKIE;BRZESKI (BRZESKO);25,63;17,65;18,00;16,94;17,58;X;X;5,56;4,00;9,35;6,19;5,97
KRAKOWSKIE;CHRZANOWSKI;25,9;19,8;X;19,71;20,2;X;28,00;6,77;X;10,72;8,7;6,78
KRAKOWSKIE;D•BROWSKI;25,37;16,84;15,40;15,38;15,06;X;20,80;4,45;3,00;7,94;6,13;3,81
KRAKOWSKIE;GORLICKI;29,13;21,53;22,00;21,38;20,57;X;28,00;5,43;4,00;10,80;7,97;6,39
KRAKOWSKIE;JASIELSKI;26,89;19,15;19,56;18,89;19,79;X;27,00;4,64;4,00;11,22;8,43;6,16
KRAKOWSKIE;KRAKOWSKI;28,31;18,9;21,00;19,07;19,31;X;28,00;5,88;4,00;9,79;7,18;5,78
KRAKOWSKIE;KRAK”W (MIASTO);;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI;27,36;22,75;24,33;21,14;22,27;X;26,33;6,42;4,83;9,86;8,36;6
KRAKOWSKIE;MIELECKI;24,56;16,89;16,75;15,4;15,13;X;24,50;3,99;3,25;8,30;6,17;5,8
KRAKOWSKIE;MYåLENICKI;28,77;21,42;21,67;20,08;21,17;X;26,00;6,62;4,50;9,82;7,5;5,96
KRAKOWSKIE;NOWOS•DECKI;26,07;21,28;21,80;20,87;21,6;X;26,00;7,75;X;10,60;8;6,39
KRAKOWSKIE;NOWOTARSKI;30;24,55;X;23,33;20,93;X;30,00;7,68;X;12,09;10,1;8,9
KRAKOWSKIE;ROPCZYCKI;25,2;17,26;17,22;17;17,62;X;25,67;4,17;3,50;8,70;7,18;5,2
KRAKOWSKIE;TARNOWSKI;26,05;18,21;18,71;17,72;17;X;25,75;5;4,33;9,16;6,82;5,7
KRAKOWSKIE;WADOWICKI;26,67;19,84;18,75;18,6;20,29;X;X;6,53;X;9,91;7,61;6,64
KRAKOWSKIE;ØYWIECKI;28,67;24,71;22,00;20,5;21,86;X;X;8,9;6,00;11,60;9,38;7,33
LUBELSKIE;BIALSKI (BIA£A PODLASKA);23,61;16,1;17,50;15,6;15,47;17,67;20,00;4,03;3,37;8,54;5,81;4,77
LUBELSKIE;BI£GORAJSKI;23,25;16,44;X;15,88;16,89;17,67;X;5,17;X;8,63;7,44;4,69
LUBELSKIE;CHE£MSKI;23;14,38;14,20;13,69;14,57;16,78;21,25;4,46;4,00;6,94;5,78;3,89
LUBELSKIE;GARWOLI—SKI;25,38;15,47;15,20;14,38;14,46;19,60;23,00;4,15;3,90;8,80;6,9;4,7
LUBELSKIE;HRUBIESZOWSKI;21,92;14,64;13,75;13,5;14,08;17,38;18,00;4,95;3,90;6,57;5,78;3,17
LUBELSKIE;JANOWSKI;24,54;15,14;14,89;13,42;14,29;17,44;23,00;4,75;4,00;9,30;8,1;5,2
LUBELSKIE;KRASNOSTAWSKI;22,16;15,05;14,00;13,75;14,79;18,00;25,00;4,68;4,00;6,10;5;3,1
LUBELSKIE;LUBARTOWSKI;24,06;15,9;16,10;14,67;14,22;19,00;25,25;4,75;4,50;8,56;6,81;4,65
LUBELSKIE;LUBELSKI;24,56;15,31;14,89;13,91;14,07;14,80;18,00;4,63;3,50;8,57;6,75;5,06
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;;;;
LUBELSKIE;PU£AWSKI;23,2;14,67;16,00;14,83;14,16;21,33;23,00;4,9;X;7,33;6,67;4
LUBELSKIE;RADZY—SKI;25,07;15,8;16,83;16,09;15,62;17,50;19,83;4,09;3,79;7,65;5,45;4,68
LUBELSKIE;SIEDLECKI;23,05;14,8;15,50;14,69;14,26;20,50;21,50;3,39;2,90;7,54;6,09;4,23
LUBELSKIE;SOKO£OWSKI;22,63;14,38;14,83;14;14,42;X;20,00;3,33;X;5,40;5;4,14
LUBELSKIE;TOMASZOWSKI;23,4;14,4;15,00;13;13,2;17,00;24,67;3,88;2,50;7,75;6,8;4,75
LUBELSKIE;W GROWSKI;24,2;15,64;17,50;15,78;15,22;18,75;15,75;3,83;3,00;8,61;7,11;4,5
LUBELSKIE;W£ODAWSKI;24,69;16;16,86;15,27;15;17,90;19,57;3,65;3,26;7,20;5,5;3,89
LUBELSKIE;ZAMOJSKI;22,87;15,47;14,00;13,73;14,18;18,40;25,50;5,32;4,00;6,94;5,56;3,92
LUBELSKIE;£UKOWSKI;24,59;15,25;15,71;14,69;14,5;18,00;20,75;3,45;3,33;8,79;6,62;5
LWOWSKIE;BRZOZOWSKI;27,45;19,92;X;19,86;19,78;X;X;5,5;4,00;10,13;8,63;6,43
LWOWSKIE;B”BRECKI;24,33;17,5;17,00;16,5;15,5;16,50;20,00;4,35;4,00;7,89;6,4;4,75
LWOWSKIE;DOBROMILSKI;26,57;18,86;X;18,75;16,86;X;29,00;4,5;3,50;7,17;5,3;5
LWOWSKIE;DROHOBYCKI;26,33;17,67;18,00;16,83;15,5;16,00;26,00;3,94;X;7,83;5,4;4,33
LWOWSKIE;GR”DECKI;25,13;16,5;X;15;16,5;18,00;X;4,75;X;6,70;5,3;4,4
LWOWSKIE;JAROS£AWSKI;23,32;16,95;17,13;16,36;15,93;18,25;24,25;4,02;3,72;7,42;6,38;4,54
LWOWSKIE;JAWOROWSKI;22,82;16,2;15,13;14,8;14,95;16,22;23,40;4,06;3,50;7,97;6,29;3,97
LWOWSKIE;KOLBUSZOWSKI;24,11;16,3;17,33;16,75;14,7;16,00;23,00;4,17;X;9,00;6,92;5,71
LWOWSKIE;KROåNIE—SKI;26,33;20,73;19,50;18,33;20,21;19,00;27,00;5,31;3,50;12,80;10,91;8
LWOWSKIE;LESKI;23,67;18;19,00;16;16,67;X;X;4,25;X;7,00;5,5;4
LWOWSKIE;LUBACZOWSKI;24,57;16,29;15,00;15;15,5;17,33;21,67;4,79;4,00;8,00;6,83;5,33
LWOWSKIE;LWOWSKI;25,45;16,42;17,00;15,44;15,67;18,00;20,67;5;3,60;7,85;5,95;4,11
LWOWSKIE;LW”W (MIASTO);;;;;;;;;;;;
LWOWSKIE;MOåCISKI;24,79;17,33;16,00;15,5;15,88;17,00;21,00;4,03;3,25;7,17;5,73;3,91
LWOWSKIE;NIØA—SKI;26,2;16;16,50;15,5;17,89;21,00;25,00;6,01;X;9,25;7,63;5,88
LWOWSKIE;PRZEMYSKI;24,22;17,21;17,44;17,07;16,27;X;26,43;4,22;3,25;7,65;6,19;3,93
LWOWSKIE;PRZEWORSKI;23,82;16,5;16,67;16,4;16,33;21,00;26,33;4,39;3,00;8,43;6,95;4,7
LWOWSKIE;RAWSKI (RAWA RUSKA);23,27;15,92;15,20;14,89;15,42;19,20;22,60;5,23;3,50;7,93;6;4,7
LWOWSKIE;RUDECKI;24,2;15,6;15,00;13,75;14,4;18,00;19,00;3,88;3,00;7,00;5,15;4
LWOWSKIE;RZESZOWSKI;24,56;17,5;17,33;17;18,06;21,00;23,00;4,36;3,67;10,64;8,17;5,73
LWOWSKIE;SAMBORSKI;24,6;17,74;17,43;16,75;17,16;19,50;21,00;4,08;2,88;8,00;6,71;4,67
LWOWSKIE;SANOCKI;26,8;19,83;19,00;18,4;18,9;X;X;7,11;X;12,00;9,22;7
LWOWSKIE;SOKALSKI;22,21;14,47;13,33;13;13,56;15,58;16,20;3,91;8,07;7,00;5,59;3
LWOWSKIE;TARNOBRZESKI;22,67;15,58;16,00;15,2;14,6;17,67;26,33;5,14;X;8,55;7,17;4,58
LWOWSKIE;TURCZA—SKI;27,5;20,5;18,00;17,4;16,63;X;X;6,33;X;6,63;6;3,67
LWOWSKIE;£A—CUCKI;24,1;17,3;16,00;15,71;16,44;19,00;X;4,06;4,00;7,94;6,13;5,17
LWOWSKIE;Ø”£KIEWSKI;23;18;14,00;14;14,57;16,75;18,00;4,7;4,00;6,80;5,2;4
M. ST. WARSZAWA;PO£UDNIOWO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;P”£NOCNO-WARSZAWSKI;;;;;;;;;;;;
M. ST. WARSZAWA;åR”DMIEJSKO-WARSZAWSKI;;;;;;;;;;;;
NOWOGR”DZKIE;BARANOWICKI;22,46;15,47;15,50;14,5;15,38;15,44;20,40;4,43;4,00;6,76;5,16;4,06
NOWOGR”DZKIE;LIDZKI;20;15,29;15,00;14;14,47;15,86;17,86;5,19;4,35;7,13;5,6;5,46
NOWOGR”DZKIE;NIEåWIESKI;21,06;14,37;14,29;14,19;14,53;15,78;19,71;4,84;4,20;5,48;4,62;3,93
NOWOGR”DZKIE;NOWOGR”DZKI;21,08;14,4;14,00;14;13,69;14,60;21,00;5,47;X;7,00;5,24;4,41
NOWOGR”DZKIE;STO£PECKI;20;14,3;X;13,9;13,6;13,57;17,20;4,5;3,30;5,64;4,74;4,35
NOWOGR”DZKIE;SZCZUCZY—SKI (WOJ. NOWOGR”DZKIE);20,5;14,83;15,50;14,33;14,45;14,20;17,67;5,52;X;6,73;5,36;3,6
NOWOGR”DZKIE;S£ONIMSKI;21,94;15,82;15,67;15,44;16,26;16,46;20,25;5,27;4,80;7,69;5,44;4,04
NOWOGR”DZKIE;WO£OØY—SKI;19,08;13,76;15,00;13,25;13,15;16,50;18,14;4,71;3,50;6,47;5,15;4,2
POLESKIE;BRZESKI (BRZEå∆ N.BUG.);23,3;16,5;16,00;15,38;14,78;16,20;19,66;4,28;X;7,25;5,06;3,59
POLESKIE;DROHICKI;21,73;16;15,67;15,61;15,25;14,13;16,83;3,47;2,58;4,88;3,82;2,51
POLESKIE;IWACEWICKI;19,57;16;17,50;16,14;15,56;14,56;17,80;4,47;4,00;6,80;3,43;2,84
POLESKIE;KOBRY—SKI;21,94;17,7;16,75;16,33;16,89;16,00;19,80;4,16;3,60;6,60;4,18;3,41
POLESKIE;KOSZYRSKI;20,8;17,14;16,50;15,75;15,29;17,00;19,50;3,15;3,00;6,88;4,8;2,48
POLESKIE;PI—SKI;23,79;17,15;18,00;16,92;16,58;15,64;20,50;4;3,12;5,73;3,88;2,63
POLESKIE;PRUØA—SKI;21,86;16,6;16,00;15,57;15,93;15,63;16,38;3,92;2,76;7,10;4,84;4,59
POLESKIE;STOLI—SKI;20,83;17,18;18,00;15;15,71;14,25;22,50;3,93;2,10;6,15;3,56;2,48
POLESKIE;£UNINIECKI;21;15,17;18,00;15,75;16,25;15,00;16,50;4,45;X;5,70;3,78;3,06
POMORSKIE;BRODNICKI;19,75;14,33;16,77;15;14,86;X;21,33;4,38;2,33;6,00;6;4
POMORSKIE;CHE£MI—SKI;20,25;14,19;16,78;15,15;14,67;X;19,00;5,22;4,30;6,00;5,36;3,19
POMORSKIE;CHOJNICKI;20;14,63;16,86;15,83;14,65;X;20,63;4,58;2,87;5,66;5,59;4,56
POMORSKIE;DZIA£DOWSKI;19,27;13,89;15,20;14,37;13,36;X;21,00;4,29;3,50;6,16;4,92;3,5
POMORSKIE;GDYNIA (MIASTO);;;;;;;;;;;;
POMORSKIE;GRUDZI•DZ (MIASTO);;;;;;;;;;;;
POMORSKIE;GRUDZI•DZKI;20,71;14,88;17,25;15,83;15,75;X;22,00;5,07;4,00;6,00;5,57;3,89
POMORSKIE;KARTUSKI;21,5;15,2;17,33;16,25;16,4;X;20,00;5,43;4,67;8,20;7,25;5,3
POMORSKIE;KOåCIERSKI;20,15;14,47;16,80;15,86;14,9;X;18,40;4,78;3,38;6,42;5,96;8,91
POMORSKIE;LUBAWSKI;19,07;13,73;15,17;14,71;14,09;X;17,50;4,19;3,60;5,56;4,5;2,94
POMORSKIE;MORSKI;21,55;15,3;20,00;17,83;16,64;X;21,25;6,82;4,33;7,81;7,06;5,43
POMORSKIE;STAROGARDZKI;20,18;15,21;16,86;15,71;15,5;X;21,44;5,22;3,72;6,88;5,61;3,82
POMORSKIE;S POLE—SKI;19,31;14,36;15,75;15,67;15,8;X;23,00;4,33;X;6,33;5,5;4,33
POMORSKIE;TCZEWSKI;20,11;15,78;17,33;16,5;16,19;X;22,00;5,03;3,35;6,14;5,43;3,88
POMORSKIE;TORU— (MIASTO);;;;;;;;;;;;
POMORSKIE;TORU—SKI;21,09;15,18;17,50;15,86;15,5;X;22,00;5,25;X;7,86;6,33;4,1
POMORSKIE;TUCHOLSKI;18,79;14,17;15,63;15,36;14,7;X;17,60;4,46;3,50;7,13;6,5;4,8
POMORSKIE;W•BRZESKI;21,35;14,75;16,21;15,28;15,19;X;19,10;4,66;3,90;5,58;4,58;3,39
POMORSKIE;åWIECKI;21,37;15,2;16,08;15,11;14,4;X;22,60;5,24;3,87;6,13;5,67;3,57
POZNA—SKIE;BYDGOSKI;21,07;14,42;17,00;15,2;14,6;X;20,50;4,32;3,53;6,81;5,25;3,73
POZNA—SKIE;BYDGOSZCZ (MIASTO);;;;;;;;;;;;
POZNA—SKIE;CHODZIESKI;20,29;13,8;16,50;15,11;13,6;X;20,00;4,06;3,00;5,67;4,87;3,4
POZNA—SKIE;CZARNKOWSKI;19,83;14,11;16,50;14,5;13,86;X;19,00;4,06;2,90;6,63;5,88;3,36
POZNA—SKIE;GNIEZNO (MIASTO);;;;;;;;;;;;
POZNA—SKIE;GNIEèNIE—SKI;18,68;14,25;16,25;14,74;13,95;X;19,67;4,2;2,70;5,77;5,74;3,33
POZNA—SKIE;GOSTY—SKI;20,5;14,4;15,78;15,11;13,94;X;22,14;4;2,03;6,88;5,54;2,93
POZNA—SKIE;INOWROC£AW (MIASTO);;;;;;;;;;;;
POZNA—SKIE;INOWROC£AWSKI;20,79;14,3;16,14;15;14,83;X;19,75;3,91;3,25;6,33;5,94;3,71
POZNA—SKIE;JAROCI—SKI;20,15;14,3;16,00;14,37;14,19;X;18,83;3,58;2,98;6,50;6,28;3,4
POZNA—SKIE;KOåCIA—SKI;20,17;14,44;15,67;14,8;13,23;X;16,67;3,12;2,00;5,33;4,19;2,5
POZNA—SKIE;KROTOSZY—SKI;20,65;13,95;14,75;14,46;13,5;X;23,67;4,19;4,00;7,10;5,55;3,31
POZNA—SKIE;K PI—SKI;21,35;14,8;18,13;15,2;14,72;X;23,00;3,27;2,33;6,25;5,41;3,36
POZNA—SKIE;LESZCZY—SKI;20,53;14,6;17,15;15,33;13,88;X;21,33;3,94;3,50;6,73;5,22;3,51
POZNA—SKIE;MI DZYCHODZKI;20;14,14;14,67;13,25;12,33;X;X;4,38;X;6,00;5,17;3
POZNA—SKIE;MOGILE—SKI;20,3;14,1;16,87;15,74;14,21;X;18,00;4,14;X;X;5,79;3,07
POZNA—SKIE;NOWOTOMYSKI;19,53;14,15;16,19;15,8;14,76;X;20,43;3,72;2,30;6,37;5,68;3,85
POZNA—SKIE;OBORNICKI;20,38;14,43;16,80;15,55;14,33;X;20,80;3,33;X;6,00;4,75;3,35
POZNA—SKIE;OSTROWSKI (OSTR”W WIELKOPOLSKI);20;14,32;15,44;15;13,58;X;19,75;3,67;3,00;7,46;6,04;3,62
POZNA—SKIE;PLESZEWSKI;;;;;;;;;;;;
POZNA—SKIE;POZNA— (MIASTO);;;;;;;;;;;;
POZNA—SKIE;POZNA—SKI;19,88;14,11;15,80;15,25;14;X;20,00;3,16;X;6,00;5,13;3,1
POZNA—SKIE;RAWICKI;20,36;14,64;16,40;15,2;13,75;X;21,25;4,34;3,00;7,20;5,25;3,33
POZNA—SKIE;SZAMOTULSKI;20,33;14,78;17,08;16,47;14,57;X;21,17;3,79;3,00;6,33;5,19;3,2
POZNA—SKIE;SZUBI—SKI;19;13,6;16,58;15,3;14,77;X;19,71;4,25;2,28;6,18;5,13;3,76
POZNA—SKIE;WOLSZTY—SKI;18,8;13,95;15,18;13,64;12,8;X;21,00;3,77;3,60;6,12;4,96;3,9
POZNA—SKIE;WRZESI—SKI;20,05;14,3;15,69;14,87;14,67;X;18,67;3,88;X;6,60;3,75;2,85
POZNA—SKIE;WYRZYSKI;19,36;14,42;16,25;15,67;13,91;X;X;3,9;X;6,00;4,16;2,64
POZNA—SKIE;W•GROWIECKI;20,37;14,4;17,07;15,69;14,89;X;20,00;3,67;X;6,00;4,71;3,5
POZNA—SKIE;åREDZKI;20,05;14,2;15,62;14,77;14,5;X;22,50;3,84;3,60;6,43;4,95;2,81
POZNA—SKIE;åREMSKI;20;14,63;16,50;15,5;13,67;X;20,00;3,84;2,70;X;5;3
POZNA—SKIE;ØNI—SKI;20,06;14,28;16,92;15,13;13,94;X;20,50;3,9;2,54;7,33;6,17;3,06
STANIS£AWOWSKIE;DOLI—SKI;24,8;18,54;17,00;17;17;20,00;25,00;5,33;X;7,64;5,73;4,06
STANIS£AWOWSKIE;HORODE—SKI;23,21;15,21;14,50;13,64;14,1;X;20,75;3,68;3,00;6,33;5,5;3,58
STANIS£AWOWSKIE;KA£USKI;23,8;16,8;17,00;15,8;16,18;X;17,50;5,25;X;7,56;6,17;4
STANIS£AWOWSKIE;KOSOWSKI (KOS”W HUCULSKI);22,71;17,38;18,00;17,33;18,13;X;X;5;4,00;7,25;6,33;3,67
STANIS£AWOWSKIE;KO£OMYJSKI;24,07;16,64;16,88;14,67;14,5;18,00;22,50;4,79;3,75;7,15;5,54;3,45
STANIS£AWOWSKIE;NADW”RNIA—SKI;22,71;17,22;17,00;15,86;15,31;15,25;20,25;5,5;4,00;6,00;4,92;3,35
STANIS£AWOWSKIE;ROHATY—SKI;24,06;16;15,33;15;14,71;17,00;21,33;3,4;2,17;6,75;5,25;3,17
STANIS£AWOWSKIE;STANIS£AWOWSKI;23,33;15,92;15,33;15,25;14,55;15,33;23,50;4,89;4,00;7,04;5,69;4,14
STANIS£AWOWSKIE;STRYJSKI;26,56;17,61;17,00;16,2;16,29;15,33;24,25;4,69;2,75;7,73;5,87;4,35
STANIS£AWOWSKIE;T£UMACKI;22,62;15,79;16,50;14,2;14,5;18,00;19,00;4,43;3,17;7,50;6,28;3,58
STANIS£AWOWSKIE;åNIATY—SKI;22,86;16,43;16,50;14,25;16;X;X;4,29;X;7,50;5,9;3,7
STANIS£AWOWSKIE;ØYDACZOWSKI;24,88;16,6;16,00;15,25;14,18;17,25;20,67;3,9;3,50;7,36;5,68;4,11
TARNOPOLSKIE;BORSZCZOWSKI;21,78;14,44;15,00;14,63;15,67;14,33;16,75;4,83;3,50;6,25;5,67;3,33
TARNOPOLSKIE;BRODZKI;22,94;14;14,75;14,71;14,07;13,79;17,50;4,05;2,83;6,33;5,42;3,5
TARNOPOLSKIE;BRZEØA—SKI;21,45;14,45;13,50;12,44;14,6;14,86;17,60;3,5;2,17;7,50;6,57;4,5
TARNOPOLSKIE;BUCZACKI;19,69;14,15;14,00;12,4;13,43;13,50;14,67;4,13;2,50;9,00;8;5,83
TARNOPOLSKIE;CZORTKOWSKI;21,9;14,89;14,25;13,5;14,14;13,40;18,50;4,6;3,25;7,71;6,25;4,38
TARNOPOLSKIE;KAMIONECKI;22,08;15,23;15,38;14,91;14,75;16,67;21,00;4,2;3,50;7,00;5,96;3,85
TARNOPOLSKIE;KOPYCZYNIECKI;21,82;14,09;13,50;13,29;14,5;14,17;17,00;4,5;4,00;6,10;6;3,17
TARNOPOLSKIE;PODHAJECKI;21,37;14,16;13,25;12,88;13,87;12,88;14,88;4,04;2,67;7,36;6,25;3,83
TARNOPOLSKIE;PRZEMYåLA—SKI;24,94;15,63;15,33;14,57;14,87;15,00;20,00;4,17;3,43;6,79;5,5;3,79
TARNOPOLSKIE;RADZIECHOWSKI;23,25;15,42;15,75;14,6;15,18;16,80;18,83;5;3,00;8,94;7,11;4,53
TARNOPOLSKIE;SKA£ACKI;21,2;14,3;14,67;13;15;13,00;17,50;3,81;3,00;7,80;6,33;4,67
TARNOPOLSKIE;TARNOPOLSKI;22,31;14,08;13,50;13;13;14,29;17,80;3,83;2,75;7,71;6,38;3,75
TARNOPOLSKIE;TREMBOWELSKI;21,67;14,56;13,67;13;15;14,11;20,00;3,92;3,20;6,89;6,8;4,8
TARNOPOLSKIE;ZALESZCZYCKI;22,31;14,6;14,63;14;15;15,50;15,00;3,25;2,70;7,31;6,2;4,14
TARNOPOLSKIE;ZBARASKI;20,88;15;13,50;12,83;13;13,13;14,83;3,08;3,00;7,00;5,75;3,33
TARNOPOLSKIE;ZBOROWSKI;21,13;14;12,33;12,17;12,13;14,00;15,00;3,25;X;7,10;6,3;4,4
TARNOPOLSKIE;Z£OCZOWSKI;24,2;15,2;17,00;14,25;14,25;13,75;22,00;3,67;3,00;7,17;6,64;4
WARSZAWSKIE;B£O—SKI;21,5;14,44;15,25;15,14;15,31;20,00;26,00;4,16;3,29;9,54;6,96;5,65
WARSZAWSKIE;CIECHANOWSKI;21,85;13,85;14,55;13,88;13,08;17,40;20,40;3,13;2,63;7,21;5,66;3,69
WARSZAWSKIE;GOSTYNI—SKI;22;14,31;16,00;14,29;14,55;20,00;X;3,75;X;7,80;6,5;4
WARSZAWSKIE;GR”JECKI;22,86;15,29;14,40;14,3;14,43;20,00;22,50;3,93;3,36;9,11;7;5,64
WARSZAWSKIE;KUTNOWSKI;23,92;14,83;16,38;14,67;14,78;X;23,00;3,13;2,75;8,67;6,67;3,43
WARSZAWSKIE;LIPNOWSKI;22;14,42;15,22;14,5;14,7;X;21,50;4;3,00;7,67;5,5;2,8
WARSZAWSKIE;MAKOWSKI (MAK”W MAZOWIECKI);22,4;13,68;14,25;13,5;13,76;15,00;19,86;3,14;2,75;6,79;5,23;3,49
WARSZAWSKIE;MI—SKI;23,88;16,33;X;15,25;15,75;18,00;23,33;4,19;3,50;8,00;6,14;3,88
WARSZAWSKIE;M£AWSKI;21,42;13,71;14,67;13,5;13,67;18,50;19,00;3,07;2,50;6,63;3,67;3,25
WARSZAWSKIE;NIESZAWSKI;21,85;14,1;16,50;14,61;15,21;20,00;19,17;4;X;7,71;6,5;3,59
WARSZAWSKIE;PRZASNYCKI;19,5;13,11;X;13,67;14,67;X;20,00;3,28;X;X;3,5;3,5
WARSZAWSKIE;PU£TUSKI;21,56;13,89;15,00;13,83;13,71;16,25;21,33;3,5;3,20;7,40;6,2;4
WARSZAWSKIE;P£OCKI;22,84;14,2;16,00;14,75;14,75;17,00;20,00;3,98;3,00;8,10;7;4,17
WARSZAWSKIE;P£O—SKI;22,12;14,06;15,70;14,6;15,94;22,00;22,33;3,32;2,42;6,57;5,57;3,56
