District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Gryka
LIMANOWSKI,50813.0,65282.0,40008.0,93260.0,608609.0,0.0
MIELECKI,70500.0,141547.0,30160.0,91377.0,1591596.0,700.0
MYŚLENICKI,56866.0,98252.0,31078.0,132781.0,810696.0,0.0
NOWOSĄDECKI,77840.0,119578.0,69747.0,167269.0,1332555.0,0.0
NOWOTARSKI,3084.0,79193.0,93394.0,240812.0,803379.0,0.0
ROPCZYCKI,103275.0,177396.0,40360.0,114620.0,1496330.0,156.0
TARNOWSKI,78147.0,113169.0,27853.0,107084.0,991620.0,114.0
WADOWICKI,58984.0,125002.0,15379.0,151159.0,1335420.0,0.0
ŻYWIECKI,14630.0,70595.0,20035.0,149533.0,852077.0,0.0
BIALSKI (BIAŁA PODLASKA),71718.0,399560.0,37016.0,200391.0,2820717.0,5784.0
BIŁGORAJSKI,47500.0,191441.0,47608.0,122714.0,1158624.0,27549.0
CHEŁMSKI,230331.0,366498.0,149509.0,136634.0,1445970.0,14955.0
GARWOLIŃSKI,73623.0,489338.0,112326.0,211113.0,3078150.0,20328.0
HRUBIESZOWSKI,345243.0,254434.0,142411.0,197950.0,1245955.0,10738.0
JANOWSKI,145999.0,361353.0,151436.0,255251.0,2550178.0,45818.0
KRASNOSTAWSKI,269012.0,259724.0,109200.0,140105.0,1585831.0,14133.0
LUBARTOWSKI,64299.0,331312.0,40909.0,101382.0,1743309.0,46532.0
LUBELSKI,354281.0,384716.0,182703.0,264225.0,2458202.0,13870.0
ŁUKOWSKI,58900.0,466616.0,41983.0,186818.0,2924412.0,20692.0
PUŁAWSKI,104258.0,297901.0,136558.0,133834.0,2191850.0,24731.0
RADZYŃSKI,95595.0,276785.0,19865.0,162383.0,2223632.0,13644.0
SIEDLECKI,109659.0,435115.0,26601.0,234582.0,2863155.0,1481.0
SOKOŁOWSKI,87438.0,210705.0,28901.0,86275.0,1792977.0,1028.0
TOMASZOWSKI,230108.0,210529.0,123170.0,147491.0,1234433.0,12015.0
WĘGROWSKI,59699.0,266641.0,30665.0,116876.0,1765554.0,3279.0
WŁODAWSKI,77499.0,349454.0,30939.0,147546.0,1734802.0,24875.0
ZAMOJSKI,244950.0,222092.0,116205.0,169963.0,1621404.0,11843.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,128327.0,89090.0,37523.0,79509.0,1008741.0,2768.0
BRZOZOWSKI,54832.0,85267.0,38456.0,74939.0,717859.0,54.0
DOBROMILSKI,61761.0,100948.0,22165.0,83889.0,829076.0,179.0
DROHOBYCKI,40989.0,106293.0,26818.0,110233.0,999459.0,337.0
GRÓDECKI,68774.0,116747.0,32501.0,88588.0,828698.0,9060.0
JAROSŁAWSKI,155725.0,316260.0,67720.0,146717.0,1348064.0,4025.0
JAWOROWSKI,29490.0,142057.0,33446.0,77568.0,1108085.0,4059.0
KOLBUSZOWSKI,21865.0,149002.0,28968.0,59783.0,841083.0,2828.0
KROŚNIEŃSKI,97110.0,127383.0,34764.0,96190.0,1088600.0,352.0
LESKI,25627.0,85129.0,20523.0,277490.0,1142145.0,0.0
LWOWSKI,172759.0,166767.0,38382.0,151827.0,1518213.0,6853.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,81319.0,161757.0,45799.0,93330.0,969643.0,8390.0
MOŚCISKI,85856.0,147477.0,30311.0,64928.0,971861.0,3244.0
NIŻAŃSKI,40497.0,113083.0,30171.0,52637.0,832420.0,4956.0
PRZEMYSKI,151011.0,143913.0,32938.0,78118.0,1349899.0,140.0
PRZEWORSKI,79659.0,90564.0,15009.0,48167.0,492218.0,564.0
RAWSKI (RAWA RUSKA),159526.0,206244.0,81989.0,109764.0,1227398.0,8901.0
RUDECKI,71862.0,84663.0,31567.0,68981.0,1137870.0,2400.0
RZESZOWSKI,127832.0,211827.0,55700.0,121549.0,1414573.0,124.0
SAMBORSKI,86005.0,184628.0,48151.0,122002.0,1350491.0,538.0
SANOCKI,86701.0,125549.0,73794.0,176531.0,1310108.0,0.0
SOKALSKI,245731.0,144793.0,81688.0,110570.0,1165172.0,4840.0
TARNOBRZESKI,39977.0,126565.0,38276.0,62807.0,1071622.0,2033.0
ŻÓŁKIEWSKI,105425.0,127416.0,40894.0,71898.0,753423.0,8130.0
LUBACZOWSKI,59892.0,154928.0,31470.0,115298.0,1302005.0,14396.0
TURCZAŃSKI,3184.0,59232.0,8046.0,220052.0,865494.0,99.0
BRZEZIŃSKI,34715.0,334867.0,11189.0,116996.0,1527042.0,355.0
KALISKI,149735.0,521740.0,33613.0,144420.0,2181691.0,1311.0
KOLSKI,98503.0,502998.0,55072.0,75925.0,2133260.0,615.0
KONIŃSKI,112916.0,915027.0,83468.0,139745.0,3762515.0,1387.0
ŁASKI,38988.0,459470.0,17519.0,123289.0,1961828.0,1643.0
ŁĘCZYCKI,138402.0,376397.0,37942.0,117903.0,2019405.0,217.0
ŁÓDZKI,15930.0,266785.0,7713.0,84050.0,1260536.0,350.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,60745.0,601149.0,35099.0,157022.0,2553725.0,1895.0
RADOMSZCZAŃSKI,54020.0,589847.0,52962.0,130237.0,3258870.0,2704.0
SIERADZKI,62200.0,617621.0,14591.0,162948.0,2759067.0,1312.0
TURECKI,65900.0,428011.0,18557.0,92741.0,1855778.0,976.0
WIELUŃSKI,35818.0,641160.0,18710.0,156683.0,3270903.0,2514.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,33326.0,386739.0,85942.0,184467.0,1831887.0,44577.0
BRASŁAWSKI,16468.0,161524.0,18443.0,72642.0,916180.0,1011.0
LIDZKI,9291.0,511102.0,97309.0,202315.0,3714470.0,45203.0
NIEŚWIESKI,49111.0,333321.0,69150.0,169460.0,1896856.0,16184.0
NOWOGRÓDZKI,63629.0,342100.0,103875.0,228608.0,1497402.0,37032.0
SŁONIMSKI,30129.0,369953.0,49899.0,136733.0,1694127.0,33888.0
STOŁPECKI,25603.0,283049.0,53237.0,95190.0,1133042.0,13661.0
WOŁOŻYŃSKI,11350.0,195980.0,72404.0,109124.0,1090079.0,9503.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),13545.0,213401.0,58705.0,70438.0,914205.0,16390.0
BRZESKI (BRZEŚĆ N.BUG.),97761.0,579089.0,59719.0,208081.0,3544925.0,21914.0
DROHICKI,25087.0,280569.0,32972.0,108431.0,1590548.0,5681.0
KOBRYŃSKI,43502.0,378542.0,41859.0,98545.0,1966715.0,15489.0
KOSZYRSKI,5037.0,218967.0,20385.0,50757.0,1077085.0,7977.0
ŁUNINIECKI,4980.0,179715.0,11597.0,43572.0,1188355.0,13720.0
PIŃSKI,14255.0,388625.0,29025.0,128014.0,1693991.0,19997.0
PRUŻAŃSKI,29081.0,376007.0,55262.0,112454.0,1591821.0,8304.0
STOLIŃSKI,10431.0,299182.0,12649.0,47874.0,1204243.0,14674.0
IWACEWICKI,4670.0,230694.0,23956.0,69227.0,1624768.0,9168.0
BRODNICKI,40595.0,273031.0,71340.0,42980.0,1069127.0,122.0
CHEŁMIŃSKI,118824.0,151094.0,99841.0,43374.0,713555.0,0.0
CHOJNICKI,12553.0,262233.0,28538.0,72581.0,1169366.0,3387.0
DZIAŁDOWSKI,9773.0,174015.0,45045.0,32810.0,1070751.0,203.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,96088.0,132761.0,84127.0,62845.0,594824.0,10.0
KARTUSKI,4217.0,196801.0,13912.0,85524.0,1048702.0,63.0
KOŚCIERSKI,13405.0,204931.0,12387.0,55665.0,726454.0,1799.0
LUBAWSKI,32642.0,275515.0,88781.0,67152.0,1128561.0,32.0
SĘPOLEŃSKI,15039.0,198534.0,46631.0,65771.0,766515.0,90.0
STAROGARDZKI,28309.0,189354.0,27761.0,32679.0,654799.0,308.0
ŚWIECKI,51353.0,340850.0,63533.0,52837.0,1766287.0,198.0
TCZEWSKI,107051.0,96423.0,68850.0,48359.0,482160.0,24.0
TORUŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
TORUŃSKI,91004.0,181108.0,51950.0,23798.0,703367.0,450.0
TUCHOLSKI,21626.0,199403.0,48546.0,36429.0,713189.0,205.0
WĄBRZESKI,89365.0,168000.0,66699.0,38784.0,913435.0,46.0
MORSKI,6741.0,167431.0,15865.0,82746.0,794001.0,210.0
GDYNIA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BYDGOSKI,71561.0,294673.0,92044.0,71888.0,1186181.0,47.0
BYDGOSZCZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
CHODZIESKI,9816.0,240699.0,35200.0,47966.0,1001835.0,5.0
CZARNKOWSKI,12462.0,188363.0,19301.0,44151.0,774072.0,4.0
GNIEŹNIEŃSKI,61207.0,404168.0,84500.0,87737.0,1477171.0,657.0
GOSTYŃSKI,129952.0,200024.0,78986.0,95143.0,1138444.0,80.0
INOWROCŁAWSKI,151512.0,281287.0,127387.0,38191.0,1243071.0,77.0
JAROCIŃSKI,104806.0,391470.0,66200.0,133805.0,2078545.0,178.0
KĘPIŃSKI,32248.0,351485.0,28036.0,151339.0,2170102.0,90.0
KOŚCIAŃSKI,107065.0,360764.0,85292.0,91419.0,1931880.0,83.0
KROTOSZYŃSKI,142858.0,226155.0,57931.0,156990.0,1506622.0,0.0
LESZCZYŃSKI,58056.0,247656.0,43237.0,77288.0,1170835.0,47.0
MIĘDZYCHODZKI,13118.0,135317.0,14657.0,28635.0,612592.0,226.0
MOGILEŃSKI,138745.0,436620.0,194754.0,83409.0,1567770.0,190.0
NOWOTOMYSKI,83391.0,395594.0,74615.0,87136.0,2436272.0,69.0
OBORNICKI,46622.0,282452.0,46748.0,56218.0,1345432.0,112.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),-61205.0,344410.0,35996.0,105012.0,2126149.0,118.0
POZNAŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
RAWICKI,56403.0,155199.0,35775.0,53181.0,725297.0,63.0
SZAMOTULSKI,74796.0,261503.0,69765.0,56905.0,1466107.0,44.0
SZUBIŃSKI,41939.0,279435.0,78671.0,50997.0,1119582.0,35.0
ŚREDZKI,81185.0,321214.0,92769.0,76612.0,1320785.0,144.0
ŚREMSKI,60209.0,362160.0,64284.0,66387.0,1203960.0,150.0
WĄGROWIECKI,38105.0,333134.0,82791.0,70955.0,1755989.0,133.0
WOLSZTYŃSKI,12390.0,211292.0,15334.0,39019.0,883436.0,73.0
WRZESIŃSKI,62065.0,250624.0,74825.0,58170.0,1133753.0,21.0
WYRZYSKI,80094.0,373649.0,129814.0,68861.0,1652500.0,40.0
ŻNIŃSKI,57788.0,267587.0,92572.0,53532.0,1088377.0,0.0
POZNAŃSKI,60233.0,456253.0,102166.0,77954.0,2166149.0,47.0
GNIEZNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
INOWROCŁAW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
DOLIŃSKI,8215.0,65943.0,3630.0,74856.0,621833.0,61.0
HORODEŃSKI,202376.0,138109.0,88933.0,47774.0,1117329.0,1317.0
KAŁUSKI,41396.0,84337.0,10386.0,88413.0,1078345.0,3539.0
KOŁOMYJSKI,144317.0,177288.0,40691.0,108024.0,1455111.0,261.0
KOSOWSKI (KOSÓW HUCULSKI),7209.0,14417.0,3996.0,7720.0,334038.0,0.0
NADWÓRNIAŃSKI,13849.0,95940.0,4970.0,67544.0,1170614.0,936.0
ROHATYŃSKI,188737.0,152631.0,68795.0,114272.0,1553556.0,6851.0
STANISŁAWOWSKI,94962.0,179526.0,14208.0,111040.0,1447055.0,3062.0
STRYJSKI,31899.0,111707.0,15013.0,139208.0,880630.0,1343.0
ŚNIATYŃSKI,122770.0,96840.0,35569.0,33608.0,603760.0,12.0
TŁUMACKI,130785.0,151218.0,34436.0,86017.0,1215569.0,943.0
ŻYDACZOWSKI,72354.0,93348.0,14401.0,58687.0,913024.0,5061.0
BIELSKI (BIELSKO),8864.0,38365.0,5379.0,52646.0,244883.0,0.0
BIELSKO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
CIESZYŃSKI,21987.0,41449.0,12709.0,83350.0,463772.0,24.0
TARNOGÓRSKI,3955.0,37743.0,4627.0,11963.0,229402.0,0.0
KATOWICE (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
KATOWICKI,4514.0,51155.0,5462.0,21542.0,306840.0,0.0
LUBLINIECKI,18789.0,88983.0,13465.0,47693.0,575342.0,20.0
PSZCZYŃSKI,32881.0,214325.0,20758.0,134405.0,1544082.0,64.0
RYBNICKI,47324.0,241563.0,19239.0,120565.0,1461661.0,0.0
ŚWIĘTOCHŁOWICKI,2770.0,21941.0,2803.0,9029.0,170004.0,0.0
CHORZÓW,0.0,0.0,0.0,0.0,0.0,0.0
BORSZCZOWSKI,174796.0,153158.0,69459.0,24554.0,1140189.0,3160.0
BRODZKI,95257.0,126350.0,59976.0,86583.0,959858.0,14342.0
BRZEŻAŃSKI,163221.0,195226.0,113639.0,143621.0,1714945.0,9737.0
BUCZACKI,188404.0,211322.0,76766.0,68084.0,1200910.0,12515.0
CZORTKOWSKI,173578.0,129224.0,59053.0,16730.0,712377.0,5772.0
KAMIONECKI,127565.0,107270.0,35875.0,73555.0,871761.0,6966.0
PODHAJECKI,154982.0,134070.0,59603.0,67587.0,1255632.0,18152.0
PRZEMYŚLAŃSKI,165409.0,112401.0,51005.0,117789.0,1066972.0,9902.0
RADZIECHOWSKI,122151.0,110741.0,58263.0,77007.0,785215.0,4378.0
SKAŁACKI,181594.0,97969.0,97219.0,31968.0,1010799.0,13942.0
TARNOPOLSKI,226379.0,192803.0,118550.0,122972.0,1528562.0,47285.0
TREMBOWELSKI,169740.0,141655.0,62955.0,42489.0,993401.0,26608.0
ZALESZCZYCKI,137924.0,104298.0,60233.0,20439.0,744820.0,5771.0
ZBARASKI,185324.0,95650.0,102945.0,111383.0,776366.0,24847.0
ZBOROWSKI,130313.0,152109.0,90258.0,136006.0,1166727.0,15383.0
ZŁOCZOWSKI,151548.0,144849.0,94649.0,118437.0,1187915.0,17984.0
KOPYCZYNIECKI,174169.0,149541.0,87494.0,26102.0,1144690.0,13985.0
BŁOŃSKI,82212.0,243742.0,26427.0,119123.0,1569313.0,785.0
CIECHANOWSKI,126051.0,326103.0,56791.0,70049.0,993769.0,1930.0
GOSTYNIŃSKI,76176.0,318558.0,22237.0,83334.0,1415468.0,871.0
GRÓJECKI,103726.0,490564.0,32853.0,227037.0,2617420.0,1472.0
KUTNOWSKI,182757.0,317463.0,60519.0,119154.0,1343301.0,165.0
LIPNOWSKI,70875.0,436940.0,110576.0,69574.0,1512327.0,1508.0
ŁOWICKI,101123.0,452051.0,33570.0,153980.0,1664934.0,1027.0
MAKOWSKI (MAKÓW MAZOWIECKI),48837.0,222807.0,17311.0,46024.0,790567.0,7861.0
MIŃSKI,32970.0,305118.0,37434.0,148662.0,2029836.0,5864.0
MŁAWSKI,20984.0,419230.0,22751.0,47672.0,1716991.0,6938.0
NIESZAWSKI,180051.0,573038.0,170601.0,56176.0,1792617.0,117.0
PŁOCKI,142276.0,499972.0,113956.0,103353.0,1926022.0,1835.0
PŁOŃSKI,86376.0,440137.0,56632.0,65274.0,1531873.0,2377.0
PRZASNYCKI,60047.0,215328.0,16431.0,23431.0,721105.0,2461.0
PUŁTUSKI,71380.0,376118.0,33931.0,94971.0,1549349.0,14258.0
RADZYMIŃSKI,16192.0,236791.0,14439.0,56902.0,1013921.0,7877.0
RAWSKI (RAWA MAZOWIECKA),36858.0,450427.0,36921.0,117636.0,2282335.0,1753.0
RYPIŃSKI,53555.0,352144.0,93925.0,58837.0,1262751.0,2006.0
SIERPECKI,39124.0,457165.0,34169.0,59416.0,1603659.0,3976.0
SKIERNIEWICKI,22961.0,259245.0,19940.0,94840.0,1079385.0,419.0
SOCHACZEWSKI,86222.0,269791.0,26326.0,92000.0,1394863.0,1229.0
WARSZAWSKI,45759.0,238014.0,21449.0,116438.0,1852733.0,1584.0
WŁOCŁAWSKI,130499.0,434759.0,138150.0,68000.0,1431535.0,503.0
DUBIEŃSKI,480934.0,487465.0,261273.0,360963.0,2207166.0,60962.0
HOROCHOWSKI,426547.0,236369.0,169918.0,169115.0,1427803.0,20375.0
KOWELSKI,232580.0,612929.0,105145.0,111031.0,2093088.0,25619.0
KRZEMIENIECKI,217170.0,549818.0,231920.0,335204.0,1988930.0,117663.0
LUBOMELSKI,35519.0,230711.0,32395.0,31894.0,621032.0,14490.0
ŁUCKI,552014.0,545848.0,227085.0,280408.0,2503544.0,22112.0
RÓWIEŃSKI,472828.0,549001.0,248226.0,380392.0,1847403.0,49671.0
WŁODZIMIERSKI,405255.0,354449.0,135232.0,224854.0,1465580.0,15600.0
KOSTOPOLSKI,58291.0,336523.0,34292.0,147282.0,1299343.0,43676.0
ZDOŁBUNOWSKI,206785.0,168515.0,145735.0,154216.0,1020876.0,18090.0
SARNEŃSKI,9207.0,408660.0,35138.0,70872.0,1411290.0,20570.0
OSZMIAŃSKI,4446.0,166819.0,60620.0,139018.0,898589.0,15470.0
ŚWIĘCIAŃSKI,32147.0,227570.0,38688.0,106612.0,1279123.0,5854.0
WILNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
DZIŚNIEŃSKI,36807.0,281858.0,33841.0,95094.0,1480163.0,94.0
WILEJSKI,6173.0,255447.0,52981.0,111161.0,1460103.0,4040.0
WILEŃSKO-TROCKI,31374.0,578746.0,81313.0,207519.0,2151850.0,68522.0
POSTAWSKI,28837.0,148687.0,21491.0,59721.0,813193.0,433.0
MOŁODECZAŃSKI,10057.0,121486.0,34841.0,85508.0,653520.0,642.0
