District,1. Number of workers in plants I-VII,2. Plants: total,3. Plants: I-III,4. Plants: IV-V,5. Plants: VI-VII,6. Plants: VIII,7. Mining: I-V,8. Mining: VI-VII,9. Mining: VIII,10. Mineral: I-V,11. Mineral: VI-VII,12. Mineral: VIII,13. Mineral: brickyards (within others),14. Mineral: concrete plants (within others),15. Metal and electrotechnical: I-V,16. Metal and electrotechnical: VI-VII,17. Metal and electrotechnical: VIII,18. Metal and electrotechnical: metal production (within others),19. Metal and electrotechnical: blacksmithing (within others),"20. Metal and electrotechnical: locksmithing, repairs (within others)",21. Metal and electrotechnical: tinsmithing (within others),22. Metal and electrotechnical: watchmaking and jewelry (within others),23. Chemical: I-V,24. Chemical: VI-VII,25. Chemical: VIII,26. Chemical: oil mills (within others),27. Textile: I-V,28. Textile: VI-VII,29. Textile: VIII,30. Paper: I-V,31. Paper: VI-VII,32. Paper: VIII,33. Leather: I-V,34. Leather: VI-VII,35. Leather: VIII,36. Leather: tanning and white leather (within others),37. Leather: saddlery and harness making (within others),38. Wood: I-V,39. Wood: VI-VII,40. Wood: VIII,41. Wood: sawmills (within others),42. Wood: carpentry (within others),43. Wood: wheelwrighting (within others),44. Food: I-V,45. Food: VI-VII,46. Food: VIII,47. Food: mills (within others),48. Food: bakeries (within others),49. Food: dairies (within others),50. Food: butchery and meat processing (within others),51. Clothing: I-V,52. Clothing: VI-VII,53. Clothing: VIII,54. Clothing: tailoring and clothing accessories (within others),55. Clothing: shoemaking and boot making (within others),56. Clothing: furriery (within others),57. Printing: I-V,58. Printing: VI-VII,59. Printing: VIII,60. Printing: printing houses (within others),61. Construction: I-V,62. Construction: VI-VII,63. Construction: VIII,64. Processing of various materials: VII,65. Processing of various materials: VIII,66. Power plants: I-V,67. Power plants: VI-VII,68. Power plants: VIII,69. Services: V-VII,70. Services: VIII,71. Services: hairdressing (within others),72. Services: transport (within others),73. Horticulture and fisheries: V-VII,74. Horticulture and fisheries: VIII,75. Other plants: VIII
KOŚCIERSKI,317.0,464.0,0.0,8.0,50.0,406.0,1.0,1.0,0.0,0.0,2.0,9.0,3.0,6.0,0.0,2.0,83.0,0.0,61.0,14.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,7.0,66.0,7.0,34.0,19.0,5.0,33.0,93.0,11.0,33.0,7.0,37.0,0.0,1.0,80.0,33.0,40.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0,11.0,0.0,4.0,0.0,0.0,1.0,0.0,34.0,22.0,8.0,1.0,7.0,0.0
LUBAWSKI,344.0,701.0,0.0,6.0,38.0,657.0,1.0,0.0,0.0,1.0,1.0,12.0,5.0,3.0,0.0,0.0,126.0,1.0,84.0,24.0,5.0,11.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,7.0,59.0,1.0,34.0,20.0,2.0,28.0,215.0,16.0,28.0,82.0,79.0,0.0,0.0,124.0,64.0,44.0,2.0,0.0,1.0,7.0,2.0,1.0,1.0,38.0,0.0,15.0,0.0,0.0,1.0,0.0,24.0,14.0,6.0,0.0,11.0,9.0
SĘPOLEŃSKI,178.0,467.0,0.0,4.0,40.0,423.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,5.0,0.0,1.0,92.0,4.0,60.0,18.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,8.0,1.0,7.0,57.0,2.0,31.0,22.0,2.0,27.0,63.0,4.0,19.0,6.0,27.0,0.0,0.0,111.0,62.0,43.0,0.0,0.0,0.0,6.0,3.0,1.0,2.0,13.0,0.0,4.0,0.0,0.0,2.0,1.0,38.0,21.0,11.0,0.0,13.0,4.0
STAROGARDZKI,1221.0,749.0,3.0,20.0,54.0,672.0,0.0,0.0,1.0,2.0,2.0,15.0,6.0,4.0,1.0,2.0,105.0,2.0,66.0,20.0,5.0,9.0,3.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,8.0,5.0,8.0,97.0,6.0,56.0,27.0,7.0,38.0,176.0,13.0,53.0,7.0,87.0,2.0,1.0,131.0,57.0,65.0,1.0,0.0,2.0,5.0,1.0,1.0,1.0,22.0,0.0,24.0,2.0,0.0,0.0,0.0,53.0,32.0,14.0,0.0,20.0,2.0
ŚWIECKI,1075.0,1135.0,3.0,18.0,107.0,1007.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0,8.0,2.0,3.0,176.0,0.0,118.0,38.0,5.0,11.0,0.0,0.0,7.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,27.0,2.0,22.0,5.0,34.0,191.0,12.0,119.0,47.0,11.0,64.0,211.0,23.0,62.0,27.0,85.0,0.0,0.0,215.0,85.0,117.0,0.0,0.0,2.0,8.0,1.0,2.0,3.0,22.0,0.0,23.0,1.0,0.0,0.0,0.0,75.0,49.0,15.0,0.0,19.0,10.0
TCZEWSKI,964.0,805.0,3.0,21.0,43.0,738.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,3.0,3.0,4.0,102.0,0.0,56.0,24.0,8.0,12.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,12.0,2.0,10.0,2.0,5.0,86.0,1.0,44.0,27.0,9.0,24.0,174.0,13.0,56.0,15.0,72.0,0.0,0.0,155.0,68.0,74.0,1.0,2.0,1.0,10.0,3.0,1.0,6.0,29.0,0.0,14.0,1.0,0.0,1.0,0.0,93.0,45.0,40.0,0.0,25.0,28.0
TORUŃ (MIASTO),1950.0,827.0,1.0,34.0,62.0,730.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,1.0,4.0,7.0,88.0,8.0,9.0,33.0,6.0,13.0,6.0,1.0,13.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,5.0,3.0,9.0,57.0,0.0,33.0,7.0,12.0,15.0,129.0,0.0,52.0,1.0,51.0,0.0,3.0,151.0,86.0,41.0,7.0,4.0,2.0,24.0,4.0,2.0,18.0,49.0,0.0,27.0,0.0,0.0,0.0,4.0,139.0,82.0,39.0,3.0,23.0,5.0
TORUŃSKI,1050.0,486.0,2.0,6.0,28.0,450.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,0.0,0.0,2.0,85.0,3.0,58.0,12.0,2.0,9.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,5.0,0.0,3.0,43.0,1.0,17.0,21.0,5.0,13.0,128.0,26.0,31.0,16.0,46.0,0.0,2.0,77.0,31.0,40.0,2.0,0.0,0.0,6.0,3.0,0.0,3.0,25.0,0.0,9.0,0.0,0.0,1.0,0.0,35.0,20.0,9.0,0.0,11.0,14.0
TUCHOLSKI,159.0,510.0,0.0,10.0,26.0,474.0,0.0,0.0,4.0,0.0,0.0,18.0,11.0,5.0,0.0,1.0,81.0,0.0,55.0,19.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,7.0,80.0,4.0,47.0,24.0,8.0,15.0,100.0,5.0,29.0,13.0,47.0,0.0,0.0,100.0,41.0,53.0,0.0,0.0,0.0,6.0,1.0,1.0,3.0,17.0,0.0,7.0,0.0,0.0,2.0,0.0,32.0,20.0,7.0,0.0,16.0,4.0
WĄBRZESKI,256.0,574.0,1.0,6.0,26.0,541.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,2.0,0.0,3.0,78.0,1.0,53.0,16.0,1.0,6.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,1.0,4.0,51.0,0.0,28.0,15.0,5.0,12.0,176.0,32.0,24.0,58.0,44.0,0.0,0.0,90.0,35.0,38.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,24.0,0.0,14.0,0.0,0.0,0.0,0.0,41.0,22.0,12.0,2.0,13.0,26.0
MORSKI,1313.0,1012.0,1.0,21.0,85.0,905.0,0.0,0.0,0.0,9.0,4.0,17.0,2.0,7.0,1.0,0.0,121.0,1.0,79.0,22.0,6.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,7.0,5.0,13.0,120.0,9.0,76.0,26.0,5.0,50.0,218.0,15.0,67.0,7.0,79.0,0.0,1.0,174.0,66.0,99.0,0.0,0.0,1.0,21.0,3.0,1.0,12.0,40.0,1.0,18.0,0.0,0.0,2.0,0.0,148.0,79.0,43.0,3.0,8.0,0.0
GDYNIA (MIASTO),2096.0,1108.0,4.0,41.0,107.0,956.0,0.0,1.0,3.0,2.0,2.0,11.0,0.0,0.0,2.0,7.0,107.0,3.0,15.0,42.0,14.0,17.0,2.0,1.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,10.0,69.0,0.0,50.0,8.0,8.0,22.0,118.0,3.0,23.0,2.0,48.0,0.0,3.0,219.0,126.0,69.0,5.0,0.0,5.0,37.0,5.0,26.0,45.0,86.0,0.0,49.0,0.0,0.0,0.0,10.0,217.0,100.0,88.0,5.0,5.0,5.0
BYDGOSKI,728.0,489.0,1.0,22.0,42.0,424.0,0.0,0.0,1.0,4.0,3.0,9.0,1.0,6.0,1.0,1.0,88.0,1.0,62.0,18.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,7.0,6.0,54.0,6.0,19.0,20.0,7.0,29.0,106.0,19.0,30.0,14.0,36.0,0.0,1.0,62.0,25.0,31.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,18.0,0.0,6.0,0.0,0.0,2.0,0.0,43.0,20.0,18.0,0.0,16.0,2.0
BYDGOSZCZ (MIASTO),6182.0,1784.0,7.0,93.0,157.0,1527.0,0.0,0.0,0.0,11.0,3.0,19.0,0.0,3.0,27.0,24.0,201.0,21.0,18.0,62.0,5.0,32.0,4.0,9.0,34.0,0.0,2.0,3.0,17.0,4.0,2.0,3.0,2.0,3.0,18.0,0.0,8.0,13.0,26.0,145.0,0.0,91.0,7.0,20.0,26.0,264.0,6.0,88.0,2.0,107.0,7.0,12.0,361.0,176.0,114.0,12.0,5.0,8.0,51.0,8.0,5.0,32.0,96.0,0.0,41.0,0.0,0.0,1.0,6.0,247.0,129.0,88.0,3.0,24.0,5.0
CHODZIESKI,1433.0,726.0,2.0,5.0,49.0,670.0,0.0,0.0,0.0,4.0,0.0,15.0,4.0,7.0,0.0,2.0,111.0,3.0,60.0,29.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,19.0,0.0,7.0,87.0,2.0,53.0,27.0,3.0,36.0,162.0,33.0,33.0,14.0,68.0,0.0,0.0,126.0,58.0,62.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,36.0,0.0,19.0,0.0,0.0,0.0,1.0,52.0,34.0,10.0,0.0,21.0,6.0
CZARNKOWSKI,337.0,596.0,0.0,6.0,31.0,559.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,7.0,1.0,0.0,69.0,0.0,41.0,18.0,3.0,6.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,4.0,77.0,2.0,45.0,24.0,4.0,22.0,150.0,13.0,43.0,11.0,76.0,0.0,0.0,121.0,56.0,51.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,30.0,0.0,13.0,0.0,0.0,7.0,0.0,42.0,24.0,14.0,0.0,11.0,0.0
GNIEŹNIEŃSKI,266.0,505.0,0.0,9.0,28.0,468.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,0.0,105.0,1.0,78.0,19.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,2.0,2.0,53.0,2.0,20.0,26.0,7.0,19.0,153.0,44.0,30.0,22.0,51.0,0.0,0.0,65.0,19.0,44.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,14.0,0.0,6.0,0.0,0.0,2.0,0.0,33.0,25.0,2.0,1.0,14.0,2.0
GOSTYŃSKI,717.0,779.0,1.0,9.0,37.0,732.0,0.0,0.0,0.0,2.0,3.0,11.0,0.0,10.0,0.0,3.0,123.0,0.0,66.0,38.0,9.0,9.0,0.0,0.0,6.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,15.0,0.0,8.0,102.0,3.0,55.0,34.0,8.0,12.0,182.0,27.0,62.0,6.0,72.0,0.0,1.0,174.0,55.0,113.0,0.0,0.0,0.0,12.0,2.0,0.0,7.0,23.0,0.0,19.0,0.0,0.0,2.0,1.0,53.0,37.0,9.0,0.0,6.0,2.0
INOWROCŁAWSKI,679.0,357.0,3.0,8.0,25.0,321.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,64.0,1.0,50.0,9.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,2.0,52.0,2.0,19.0,29.0,8.0,17.0,110.0,25.0,21.0,11.0,49.0,0.0,0.0,43.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,4.0,0.0,0.0,3.0,0.0,18.0,8.0,6.0,0.0,7.0,0.0
JAROCIŃSKI,997.0,894.0,0.0,19.0,61.0,814.0,0.0,0.0,0.0,6.0,3.0,17.0,2.0,10.0,1.0,0.0,142.0,1.0,72.0,47.0,8.0,11.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,16.0,1.0,13.0,4.0,7.0,82.0,2.0,44.0,31.0,7.0,40.0,257.0,35.0,89.0,19.0,100.0,0.0,2.0,134.0,58.0,69.0,0.0,0.0,1.0,9.0,3.0,0.0,6.0,41.0,0.0,10.0,0.0,0.0,3.0,2.0,81.0,41.0,30.0,0.0,9.0,6.0
KĘPIŃSKI,522.0,879.0,0.0,16.0,53.0,810.0,1.0,2.0,1.0,7.0,1.0,21.0,3.0,15.0,0.0,1.0,154.0,1.0,92.0,39.0,8.0,11.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,19.0,1.0,10.0,114.0,0.0,72.0,33.0,6.0,37.0,236.0,15.0,75.0,11.0,124.0,0.0,1.0,140.0,64.0,71.0,0.0,0.0,1.0,13.0,2.0,1.0,0.0,24.0,0.0,13.0,0.0,0.0,3.0,0.0,52.0,30.0,9.0,0.0,8.0,1.0
KOŚCIAŃSKI,1665.0,1067.0,1.0,14.0,61.0,991.0,0.0,0.0,1.0,4.0,2.0,19.0,1.0,12.0,0.0,2.0,167.0,1.0,99.0,41.0,14.0,11.0,0.0,1.0,13.0,12.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,16.0,1.0,6.0,126.0,1.0,73.0,39.0,10.0,36.0,304.0,68.0,104.0,16.0,102.0,0.0,2.0,196.0,75.0,104.0,2.0,0.0,2.0,15.0,2.0,0.0,6.0,32.0,0.0,22.0,0.0,0.0,3.0,1.0,57.0,33.0,17.0,2.0,11.0,2.0
KROTOSZYŃSKI,750.0,1010.0,2.0,18.0,49.0,941.0,0.0,0.0,0.0,4.0,5.0,18.0,0.0,11.0,0.0,2.0,164.0,1.0,96.0,45.0,10.0,7.0,0.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,2.0,23.0,2.0,8.0,123.0,1.0,65.0,39.0,13.0,19.0,246.0,29.0,98.0,21.0,80.0,0.0,2.0,204.0,70.0,115.0,1.0,0.0,1.0,10.0,3.0,0.0,9.0,30.0,0.0,12.0,0.0,0.0,0.0,1.0,84.0,44.0,28.0,1.0,14.0,1.0
LESZCZYŃSKI,727.0,1184.0,2.0,15.0,56.0,1111.0,0.0,0.0,9.0,4.0,2.0,15.0,1.0,9.0,2.0,4.0,150.0,4.0,76.0,46.0,7.0,9.0,0.0,2.0,10.0,6.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,17.0,2.0,5.0,155.0,3.0,84.0,49.0,7.0,28.0,305.0,97.0,107.0,8.0,76.0,1.0,3.0,233.0,85.0,130.0,1.0,0.0,1.0,16.0,2.0,0.0,8.0,53.0,0.0,30.0,0.0,0.0,0.0,0.0,89.0,48.0,33.0,0.0,15.0,2.0
MIĘDZYCHODZKI,146.0,512.0,0.0,2.0,38.0,472.0,0.0,1.0,0.0,1.0,0.0,10.0,3.0,4.0,0.0,1.0,73.0,0.0,44.0,19.0,3.0,6.0,0.0,0.0,6.0,5.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0,52.0,1.0,26.0,16.0,1.0,31.0,103.0,12.0,35.0,5.0,40.0,0.0,0.0,121.0,50.0,65.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,21.0,0.0,16.0,0.0,0.0,0.0,0.0,29.0,18.0,7.0,0.0,25.0,1.0
MOGILEŃSKI,711.0,1054.0,1.0,15.0,51.0,987.0,0.0,2.0,0.0,0.0,1.0,18.0,3.0,13.0,0.0,3.0,185.0,2.0,128.0,28.0,11.0,14.0,0.0,0.0,7.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,19.0,2.0,5.0,110.0,2.0,49.0,51.0,14.0,29.0,285.0,45.0,71.0,34.0,119.0,0.0,0.0,198.0,74.0,112.0,0.0,0.0,0.0,15.0,5.0,0.0,8.0,38.0,0.0,14.0,0.0,0.0,3.0,0.0,65.0,37.0,21.0,3.0,21.0,3.0
NOWOTOMYSKI,967.0,1258.0,1.0,20.0,74.0,1163.0,0.0,0.0,0.0,2.0,2.0,27.0,0.0,17.0,0.0,4.0,168.0,0.0,95.0,39.0,9.0,18.0,0.0,1.0,15.0,14.0,1.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,25.0,3.0,21.0,3.0,18.0,159.0,2.0,90.0,38.0,15.0,41.0,322.0,52.0,123.0,6.0,121.0,0.0,2.0,246.0,100.0,134.0,0.0,0.0,1.0,14.0,3.0,0.0,3.0,36.0,0.0,23.0,0.0,0.0,0.0,0.0,97.0,61.0,26.0,1.0,16.0,1.0
OBORNICKI,460.0,658.0,1.0,9.0,63.0,585.0,0.0,1.0,5.0,1.0,5.0,11.0,1.0,6.0,0.0,3.0,104.0,2.0,53.0,32.0,5.0,7.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,3.0,12.0,72.0,2.0,30.0,31.0,6.0,38.0,138.0,16.0,41.0,10.0,62.0,0.0,0.0,113.0,42.0,62.0,0.0,0.0,0.0,9.0,2.0,0.0,3.0,46.0,0.0,8.0,0.0,0.0,4.0,0.0,49.0,30.0,14.0,1.0,8.0,0.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),875.0,877.0,1.0,23.0,58.0,795.0,0.0,1.0,0.0,8.0,3.0,19.0,3.0,14.0,2.0,8.0,125.0,4.0,69.0,34.0,8.0,10.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,11.0,4.0,10.0,92.0,3.0,53.0,26.0,8.0,23.0,273.0,14.0,89.0,12.0,136.0,0.0,1.0,116.0,52.0,49.0,1.0,0.0,1.0,13.0,6.0,1.0,10.0,34.0,0.0,19.0,0.0,0.0,2.0,0.0,66.0,45.0,12.0,1.0,10.0,5.0
POZNAŃ (MIASTO),14214.0,3871.0,10.0,126.0,351.0,3384.0,0.0,0.0,3.0,7.0,3.0,37.0,0.0,6.0,24.0,56.0,445.0,39.0,51.0,150.0,58.0,68.0,11.0,23.0,103.0,2.0,1.0,5.0,50.0,8.0,3.0,14.0,3.0,3.0,40.0,0.0,20.0,9.0,18.0,195.0,0.0,106.0,22.0,31.0,56.0,483.0,3.0,144.0,4.0,180.0,9.0,69.0,853.0,368.0,309.0,26.0,15.0,19.0,131.0,48.0,15.0,66.0,159.0,3.0,126.0,0.0,0.0,0.0,26.0,680.0,331.0,237.0,4.0,24.0,41.0
RAWICKI,761.0,732.0,1.0,13.0,33.0,685.0,0.0,0.0,0.0,2.0,5.0,8.0,0.0,6.0,1.0,5.0,110.0,1.0,59.0,32.0,7.0,6.0,0.0,0.0,8.0,6.0,1.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,15.0,2.0,11.0,0.0,6.0,82.0,1.0,40.0,24.0,7.0,12.0,190.0,26.0,79.0,8.0,64.0,0.0,1.0,153.0,54.0,83.0,2.0,0.0,0.0,10.0,4.0,0.0,3.0,18.0,0.0,21.0,0.0,0.0,0.0,1.0,56.0,34.0,18.0,0.0,5.0,2.0
SZAMOTULSKI,699.0,836.0,2.0,12.0,64.0,758.0,0.0,0.0,1.0,2.0,3.0,16.0,1.0,11.0,0.0,2.0,117.0,1.0,69.0,32.0,6.0,7.0,0.0,1.0,10.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,15.0,1.0,8.0,92.0,0.0,45.0,33.0,9.0,41.0,220.0,26.0,82.0,10.0,86.0,0.0,1.0,148.0,59.0,80.0,0.0,0.0,2.0,13.0,1.0,1.0,4.0,28.0,0.0,12.0,0.0,1.0,0.0,0.0,64.0,38.0,18.0,2.0,16.0,2.0
SZUBIŃSKI,792.0,643.0,2.0,12.0,30.0,599.0,0.0,0.0,22.0,5.0,1.0,8.0,2.0,5.0,0.0,2.0,100.0,0.0,65.0,20.0,7.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,1.0,1.0,85.0,2.0,37.0,35.0,8.0,20.0,123.0,23.0,32.0,16.0,42.0,0.0,0.0,130.0,49.0,69.0,0.0,0.0,0.0,6.0,2.0,0.0,5.0,39.0,0.0,13.0,0.0,0.0,0.0,0.0,39.0,22.0,11.0,1.0,19.0,2.0
ŚREDZKI,616.0,672.0,1.0,11.0,32.0,628.0,0.0,0.0,0.0,1.0,0.0,13.0,4.0,6.0,0.0,4.0,99.0,0.0,64.0,23.0,5.0,7.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,5.0,80.0,1.0,37.0,34.0,8.0,19.0,167.0,48.0,43.0,6.0,60.0,0.0,0.0,148.0,54.0,81.0,0.0,0.0,0.0,6.0,1.0,1.0,4.0,31.0,0.0,11.0,0.0,0.0,4.0,0.0,52.0,28.0,18.0,0.0,2.0,3.0
ŚREMSKI,843.0,682.0,2.0,11.0,43.0,626.0,1.0,0.0,4.0,5.0,1.0,14.0,2.0,10.0,1.0,0.0,102.0,0.0,65.0,19.0,7.0,10.0,0.0,1.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,17.0,2.0,14.0,2.0,7.0,72.0,0.0,33.0,33.0,3.0,27.0,225.0,41.0,77.0,13.0,80.0,0.0,0.0,78.0,23.0,47.0,0.0,0.0,0.0,13.0,1.0,0.0,5.0,26.0,0.0,14.0,0.0,0.0,2.0,1.0,42.0,29.0,7.0,1.0,8.0,1.0
WĄGROWIECKI,690.0,595.0,1.0,13.0,33.0,548.0,1.0,0.0,13.0,1.0,1.0,11.0,2.0,6.0,0.0,2.0,116.0,1.0,75.0,23.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,13.0,2.0,5.0,59.0,1.0,25.0,26.0,10.0,21.0,157.0,29.0,45.0,19.0,57.0,0.0,0.0,81.0,32.0,40.0,0.0,0.0,2.0,6.0,1.0,0.0,2.0,17.0,0.0,8.0,0.0,0.0,1.0,0.0,44.0,27.0,10.0,0.0,15.0,2.0
WOLSZTYŃSKI,196.0,840.0,0.0,7.0,35.0,798.0,0.0,0.0,0.0,3.0,1.0,16.0,2.0,11.0,0.0,0.0,129.0,2.0,70.0,40.0,5.0,8.0,0.0,0.0,16.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,14.0,0.0,6.0,110.0,5.0,48.0,36.0,4.0,22.0,221.0,49.0,90.0,11.0,57.0,0.0,0.0,165.0,72.0,90.0,0.0,0.0,1.0,9.0,2.0,0.0,4.0,35.0,0.0,20.0,0.0,0.0,1.0,1.0,43.0,27.0,11.0,0.0,11.0,0.0
WRZESIŃSKI,701.0,559.0,2.0,10.0,34.0,513.0,0.0,1.0,0.0,3.0,1.0,9.0,1.0,5.0,0.0,1.0,88.0,2.0,48.0,20.0,7.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,3.0,3.0,53.0,0.0,34.0,12.0,6.0,22.0,163.0,33.0,47.0,9.0,64.0,0.0,0.0,96.0,44.0,47.0,0.0,0.0,1.0,8.0,1.0,0.0,5.0,16.0,0.0,18.0,0.0,0.0,2.0,0.0,36.0,24.0,9.0,0.0,9.0,1.0
WYRZYSKI,758.0,894.0,3.0,12.0,66.0,813.0,0.0,0.0,0.0,2.0,6.0,13.0,1.0,8.0,0.0,5.0,135.0,2.0,83.0,32.0,7.0,9.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,26.0,2.0,9.0,111.0,4.0,54.0,46.0,9.0,39.0,201.0,20.0,64.0,24.0,77.0,0.0,0.0,180.0,72.0,94.0,0.0,0.0,1.0,11.0,3.0,1.0,3.0,33.0,0.0,15.0,1.0,0.0,0.0,0.0,61.0,42.0,11.0,1.0,16.0,3.0
ŻNIŃSKI,391.0,495.0,1.0,7.0,22.0,465.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,3.0,94.0,1.0,69.0,17.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,7.0,0.0,4.0,60.0,2.0,23.0,29.0,8.0,12.0,137.0,44.0,25.0,15.0,48.0,0.0,0.0,71.0,20.0,45.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,20.0,0.0,4.0,0.0,1.0,2.0,0.0,31.0,19.0,8.0,0.0,16.0,1.0
POZNAŃSKI,2234.0,869.0,5.0,21.0,67.0,776.0,0.0,1.0,0.0,9.0,1.0,15.0,2.0,11.0,1.0,2.0,101.0,3.0,71.0,21.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,2.0,12.0,175.0,2.0,32.0,25.0,9.0,45.0,264.0,37.0,84.0,8.0,122.0,0.0,0.0,63.0,9.0,53.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,35.0,0.0,12.0,0.0,0.0,0.0,0.0,70.0,37.0,28.0,2.0,13.0,5.0
